layer,n_seeds,cosine_mean,cosine_min,margin_sign_agreement,pooled_vs_seed_cosine,n_build_per_seed,n_probe_states
6,3,0.2456064224243164,0.21426287293434143,0.662103433289874,0.7037544250488281,150,52
12,3,0.600573460261027,0.5690792202949524,0.8507170795306389,0.8564053575197855,150,52
18,3,0.8712925910949707,0.8307326436042786,0.924380704041721,0.9558700919151306,150,52
23,3,1.0,1.0,1.0,1.0,150,52
