lens,layer,relative_depth,site,condition,sign_consistency_z,permutation_p,displacement,control_displacement,specificity,beats_random_lens
jlens,11,0.3793,last_token,rename_opaque_encode_flatten,0.5416666666666666,0.544,0.04166666666666663,0.16666666666666669,0.24999999999999975,False
jlens,15,0.5172,last_token,clean_heldout,0.2361111111111111,0.0,0.2638888888888889,0.08333333333333331,3.1666666666666674,True
jlens,15,0.5172,last_token,encode_only,0.75,0.0,0.25,0.20833333333333337,1.1999999999999997,True
jlens,15,0.5172,last_token,flatten_only,0.5277777777777778,0.644,0.02777777777777779,0.08333333333333331,0.33333333333333354,False
jlens,15,0.5172,last_token,normalize,0.9166666666666666,0.0,0.41666666666666663,0.29166666666666663,1.4285714285714286,True
jlens,15,0.5172,last_token,opaque_only,0.625,0.0,0.125,0.13888888888888884,0.9000000000000004,False
jlens,15,0.5172,last_token,rename_cumulative,0.5138888888888888,0.64,0.01388888888888884,0.1527777777777778,0.09090909090909058,False
jlens,15,0.5172,last_token,rename_only,0.4583333333333333,0.722,0.041666666666666685,0.20833333333333337,0.20000000000000007,False
jlens,15,0.5172,last_token,rename_opaque,0.4722222222222222,0.92,0.02777777777777779,0.09722222222222221,0.28571428571428586,False
jlens,15,0.5172,last_token,rename_opaque_encode,0.3888888888888889,0.872,0.1111111111111111,0.11111111111111116,0.9999999999999996,False
jlens,15,0.5172,last_token,rename_opaque_encode_flatten,0.5138888888888888,0.888,0.01388888888888884,0.125,0.11111111111111072,False
jlens,19,0.6552,last_token,clean_heldout,0.5555555555555556,0.266,0.05555555555555558,0.08333333333333337,0.6666666666666666,False
jlens,19,0.6552,last_token,encode_only,0.6666666666666666,0.098,0.16666666666666663,0.3055555555555556,0.5454545454545453,False
jlens,19,0.6552,last_token,flatten_only,0.5416666666666666,0.592,0.04166666666666663,0.02777777777777779,1.499999999999998,True
jlens,19,0.6552,last_token,normalize,0.6805555555555556,0.004,0.18055555555555558,0.3055555555555556,0.5909090909090909,False
jlens,19,0.6552,last_token,opaque_only,0.3194444444444444,0.012,0.18055555555555558,0.23611111111111116,0.7647058823529411,False
jlens,19,0.6552,last_token,rename_cumulative,0.3333333333333333,0.002,0.16666666666666669,0.2222222222222222,0.7500000000000001,False
jlens,19,0.6552,last_token,rename_only,0.3472222222222222,0.008,0.1527777777777778,0.20833333333333337,0.7333333333333333,False
jlens,19,0.6552,last_token,rename_opaque,0.2916666666666667,0.0,0.20833333333333331,0.125,1.6666666666666665,True
jlens,19,0.6552,last_token,rename_opaque_encode,0.3611111111111111,0.0,0.1388888888888889,0.25,0.5555555555555556,False
jlens,19,0.6552,last_token,rename_opaque_encode_flatten,0.5555555555555556,0.718,0.05555555555555558,0.02777777777777779,2.0,True
jlens,23,0.7931,last_token,clean_heldout,0.6388888888888888,0.02,0.13888888888888884,0.08333333333333331,1.6666666666666665,True
jlens,23,0.7931,last_token,encode_only,0.4444444444444444,0.15,0.05555555555555558,0.04166666666666663,1.333333333333335,True
jlens,23,0.7931,last_token,flatten_only,0.4861111111111111,0.424,0.013888888888888895,0.05555555555555558,0.25,False
jlens,23,0.7931,last_token,normalize,0.5138888888888888,0.632,0.01388888888888884,0.06944444444444442,0.19999999999999937,False
jlens,23,0.7931,last_token,opaque_only,0.3611111111111111,0.004,0.1388888888888889,0.125,1.1111111111111112,True
jlens,23,0.7931,last_token,rename_cumulative,0.375,0.002,0.125,0.02777777777777779,4.499999999999998,True
jlens,23,0.7931,last_token,rename_only,0.375,0.01,0.125,0.05555555555555558,2.249999999999999,True
jlens,23,0.7931,last_token,rename_opaque,0.2916666666666667,0.004,0.20833333333333331,0.1111111111111111,1.875,True
jlens,23,0.7931,last_token,rename_opaque_encode,0.3472222222222222,0.006,0.1527777777777778,0.013888888888888895,10.999999999999996,True
jlens,23,0.7931,last_token,rename_opaque_encode_flatten,0.4722222222222222,0.688,0.02777777777777779,0.02777777777777779,1.0,False
jlens,27,0.931,last_token,clean_heldout,0.6388888888888888,0.0,0.13888888888888884,0.20833333333333337,0.6666666666666663,False
jlens,27,0.931,last_token,encode_only,0.4305555555555556,0.076,0.06944444444444442,0.13888888888888884,0.5,False
jlens,27,0.931,last_token,flatten_only,0.5138888888888888,0.512,0.01388888888888884,0.06944444444444442,0.19999999999999937,False
jlens,27,0.931,last_token,normalize,0.5138888888888888,0.534,0.01388888888888884,0.06944444444444442,0.19999999999999937,False
jlens,27,0.931,last_token,opaque_only,0.4027777777777778,0.034,0.09722222222222221,0.125,0.7777777777777777,False
jlens,27,0.931,last_token,rename_cumulative,0.3055555555555556,0.002,0.19444444444444442,0.11111111111111116,1.7499999999999991,True
jlens,27,0.931,last_token,rename_only,0.2777777777777778,0.0,0.2222222222222222,0.06944444444444442,3.200000000000001,True
jlens,27,0.931,last_token,rename_opaque,0.3055555555555556,0.0,0.19444444444444442,0.06944444444444442,2.8000000000000007,True
jlens,27,0.931,last_token,rename_opaque_encode,0.3055555555555556,0.002,0.19444444444444442,0.09722222222222221,2.0,True
