model,split,lens,layer,site,token_id,token,mean_delta_z,rank,sign_consistency,is_concept_unsafe,is_concept_safe,is_random_control,n_pairs
starcoder2-3b,train,clens,-1,sink_arg,210,�,-0.005592315265696321,116,0.125,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,35747,―,-0.028673931305574246,160,0.1130952380952381,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,13918, Entry,0.027749616652429133,32,0.14285714285714285,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,22377,听,0.0004465853049106847,102,0.1130952380952381,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,8624,wards,-0.031817968045162036,167,0.10714285714285714,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,37385,lain,0.017144440647394517,57,0.13690476190476192,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,9849,ientation,0.0199571855653072,47,0.13690476190476192,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,47637,Gq,-0.03227632360034461,169,0.125,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,43527,ول,0.016906677671282642,59,0.13690476190476192,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,29896,strator,-0.00804610731756903,124,0.1130952380952381,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,3861,redential,-0.07206624647959937,191,0.125,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,6648,ationship,-0.057161554598443735,184,0.08928571428571429,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,44362,Qc,0.0196368992865741,49,0.14285714285714285,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,9818,azz,-0.00528226107112564,114,0.11904761904761904,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,24150,""">�",-0.0041061167664646885,112,0.11904761904761904,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,10447,TK,0.04615819936116775,13,0.16071428571428573,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,22101,repl,-0.003668947136144645,109,0.125,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,40831,stances,-0.013620923357098394,137,0.10714285714285714,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,34950, libr,0.03973957590115302,18,0.14285714285714285,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,46927,substitute,-0.03849567106094208,172,0.09523809523809523,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,35545,alsy,-0.033613744884719375,170,0.10119047619047619,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,24979,Lm,-0.0017256807481027324,106,0.125,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,36550,҃,-0.026410749506873086,156,0.13095238095238096,0,0,0,168
