pair_id,base_id,template,op_family,split,variant,layer,position,v_source,v_target,both_counterfactuals_correct,lens,margin_source_minus_target,margin_bound_minus_other,bound_rank,correct
base_0000_affine,base_0000,global_shadow,affine,test,source,18,def_target,2,4,False,clens,0.028177201747894287,0.028177201747894287,1.0,True
base_0000_affine,base_0000,global_shadow,affine,test,source,18,def_target,2,4,False,logit,5.314706802368164,5.314706802368164,0.0,True
base_0000_affine,base_0000,global_shadow,affine,test,source,18,def_target,2,4,False,gram_random,-0.04852420091629028,-0.04852420091629028,6.0,False
base_0000_affine,base_0000,global_shadow,affine,test,source,18,def_target,2,4,False,probe,5.594513893127441,5.594513893127441,,True
base_0000_affine,base_0000,global_shadow,affine,test,source,23,def_target,2,4,False,clens,0.37483692169189453,0.37483692169189453,0.0,True
base_0000_affine,base_0000,global_shadow,affine,test,source,23,def_target,2,4,False,logit,11.370681762695312,11.370681762695312,0.0,True
base_0000_affine,base_0000,global_shadow,affine,test,source,23,def_target,2,4,False,gram_random,0.041168034076690674,0.041168034076690674,4.0,True
base_0000_affine,base_0000,global_shadow,affine,test,source,23,def_target,2,4,False,probe,5.9755778312683105,5.9755778312683105,,True
base_0000_affine,base_0000,global_shadow,affine,test,source,6,mutation,2,4,False,clens,0.030175626277923584,0.030175626277923584,1.0,True
base_0000_affine,base_0000,global_shadow,affine,test,source,6,mutation,2,4,False,logit,-0.5689916610717773,-0.5689916610717773,3.0,False
base_0000_affine,base_0000,global_shadow,affine,test,source,6,mutation,2,4,False,gram_random,0.010997757315635681,0.010997757315635681,2.0,True
base_0000_affine,base_0000,global_shadow,affine,test,source,6,mutation,2,4,False,probe,7.447264671325684,7.447264671325684,,True
base_0000_affine,base_0000,global_shadow,affine,test,source,12,mutation,2,4,False,clens,0.10106706619262695,0.10106706619262695,1.0,True
base_0000_affine,base_0000,global_shadow,affine,test,source,12,mutation,2,4,False,logit,1.3300654888153076,1.3300654888153076,1.0,True
base_0000_affine,base_0000,global_shadow,affine,test,source,12,mutation,2,4,False,gram_random,-0.008385777473449707,-0.008385777473449707,6.0,False
base_0000_affine,base_0000,global_shadow,affine,test,source,12,mutation,2,4,False,probe,7.862309455871582,7.862309455871582,,True
base_0000_affine,base_0000,global_shadow,affine,test,source,18,mutation,2,4,False,clens,0.13250263035297394,0.13250263035297394,2.0,True
base_0000_affine,base_0000,global_shadow,affine,test,source,18,mutation,2,4,False,logit,3.6962757110595703,3.6962757110595703,1.0,True
base_0000_affine,base_0000,global_shadow,affine,test,source,18,mutation,2,4,False,gram_random,0.04543715715408325,0.04543715715408325,5.0,True
base_0000_affine,base_0000,global_shadow,affine,test,source,18,mutation,2,4,False,probe,7.522196292877197,7.522196292877197,,True
base_0000_affine,base_0000,global_shadow,affine,test,source,23,mutation,2,4,False,clens,0.3693714141845703,0.3693714141845703,2.0,True
base_0000_affine,base_0000,global_shadow,affine,test,source,23,mutation,2,4,False,logit,11.205322265625,11.205322265625,2.0,True
base_0000_affine,base_0000,global_shadow,affine,test,source,23,mutation,2,4,False,gram_random,-0.04597821831703186,-0.04597821831703186,6.0,False
base_0000_affine,base_0000,global_shadow,affine,test,source,23,mutation,2,4,False,probe,10.408398628234863,10.408398628234863,,True
base_0000_affine,base_0000,global_shadow,affine,test,source,6,use,2,4,False,clens,0.04134106636047363,0.04134106636047363,0.0,True
base_0000_affine,base_0000,global_shadow,affine,test,source,6,use,2,4,False,logit,0.6827402114868164,0.6827402114868164,1.0,True
base_0000_affine,base_0000,global_shadow,affine,test,source,6,use,2,4,False,gram_random,0.03131517767906189,0.03131517767906189,1.0,True
base_0000_affine,base_0000,global_shadow,affine,test,source,6,use,2,4,False,probe,6.539982795715332,6.539982795715332,,True
base_0000_affine,base_0000,global_shadow,affine,test,source,12,use,2,4,False,clens,0.06500530242919922,0.06500530242919922,1.0,True
base_0000_affine,base_0000,global_shadow,affine,test,source,12,use,2,4,False,logit,1.6990022659301758,1.6990022659301758,0.0,True
base_0000_affine,base_0000,global_shadow,affine,test,source,12,use,2,4,False,gram_random,0.037542879581451416,0.037542879581451416,5.0,True
base_0000_affine,base_0000,global_shadow,affine,test,source,12,use,2,4,False,probe,5.456063270568848,5.456063270568848,,True
base_0000_affine,base_0000,global_shadow,affine,test,source,18,use,2,4,False,clens,0.12174558639526367,0.12174558639526367,1.0,True
base_0000_affine,base_0000,global_shadow,affine,test,source,18,use,2,4,False,logit,3.02976131439209,3.02976131439209,0.0,True
base_0000_affine,base_0000,global_shadow,affine,test,source,18,use,2,4,False,gram_random,0.13473844528198242,0.13473844528198242,1.0,True
base_0000_affine,base_0000,global_shadow,affine,test,source,18,use,2,4,False,probe,4.5077033042907715,4.5077033042907715,,True
base_0000_affine,base_0000,global_shadow,affine,test,source,23,use,2,4,False,clens,0.32141923904418945,0.32141923904418945,1.0,True
