split,subset,position,layer,contrast,accuracy_delta,accuracy_ci_lo,accuracy_ci_hi,n_rows,n_bases,clens_exceeds_control,reversal_delta,reversal_ci_lo,reversal_ci_hi
test,all,use,23,clens - gram_random,-0.014285714285714285,-0.04285714285714286,0.014285714285714285,280,70,False,-0.02142857142857143,-0.07142857142857142,0.02142857142857143
test,all,use,23,clens - logit,0.0,0.0,0.0,280,70,False,0.0,0.0,0.0
test,all,use,23,clens - probe,-0.5035714285714286,-0.5178571428571429,-0.48928571428571427,280,70,False,-0.9857142857142858,-1.0,-0.9642857142857143
