arm,site,layer,contrast,delta,ci_lo,ci_hi,n,n_bases,edit_fraction_treatment,edit_fraction_control
ab,use,8,das_binding - random_rank,9.033286830570017,8.955793805846147,9.112618582578643,560,280,0.47924267126430614,0.018192061901070148
ab,use,8,das_binding - random_norm,8.27226562430816,8.172225168202338,8.370827985038714,560,280,0.47924267126430614,0.5133763817871344
ab,use,8,das_binding - noop,9.029101561754942,8.95172433051946,9.108403318316808,560,280,0.47924267126430614,0.0
