arm,variant,site,rank,layer,split,delta_ld,ci_lo,ci_hi,flip_rate,edit_fraction,n,n_bases
ba,noop,use,0,24,test,0.0,0.0,0.0,0.0,0.0,560,280
ba,whole_state,def_source,4096,8,test,0.0,0.0,0.0,0.0,0.0,560,280
ba,whole_state,def_source,4096,12,test,0.0,0.0,0.0,0.0,0.0,560,280
ba,whole_state,def_source,4096,16,test,0.0,0.0,0.0,0.0,0.0,560,280
ba,whole_state,def_source,4096,20,test,0.0,0.0,0.0,0.0,0.0,560,280
ba,whole_state,def_source,4096,24,test,0.0,0.0,0.0,0.0,0.0,560,280
ba,whole_state,def_target,4096,8,test,0.15878906239356314,0.14704101651640877,0.17151437107207518,0.0,0.4600331386789852,560,280
ba,whole_state,def_target,4096,12,test,0.2662109373935631,0.24793387285300664,0.28407156986317467,0.0,0.49627712125558887,560,280
ba,whole_state,def_target,4096,16,test,0.37061941900423595,0.34435825650447177,0.39824218750532187,0.0,0.4683152635224146,560,280
ba,whole_state,def_target,4096,20,test,0.3574776755911963,0.338335656678038,0.3773458418888705,0.0,0.5842365720206297,560,280
ba,whole_state,def_target,4096,24,test,0.05758928411773273,0.05022042185600315,0.06537388101486223,0.0,0.6053160946614721,560,280
ba,whole_state,mutation,4096,8,test,0.5381138390728406,0.5052950608996409,0.5691699209090855,0.0,0.9236899371674496,560,280
ba,whole_state,mutation,4096,12,test,0.33987165135996683,0.31880510787346533,0.3603250544092485,0.0,0.9976200265939957,560,280
ba,whole_state,mutation,4096,16,test,0.037444196747882026,0.02645089358889631,0.04852190434666616,0.0,0.964209294466102,560,280
ba,whole_state,mutation,4096,20,test,-0.003097098640033177,-0.0073953695542046,0.0011725741465176817,0.0,0.9478891134133051,560,280
ba,whole_state,mutation,4096,24,test,0.004464286352906908,0.0019245242912854467,0.007087052538990974,0.0,0.9753965733766283,560,280
ba,whole_state,use,4096,8,test,4.7991350440042355,4.693656528898116,4.903284038989139,0.8785714285714286,0.805585787360008,560,280
ba,whole_state,use,4096,12,test,3.7615234370742527,3.6620438061069165,3.862755999932332,0.5339285714285714,0.9119901376287762,560,280
ba,whole_state,use,4096,16,test,0.08468191825917788,0.07329799313364285,0.0956480169588966,0.0,0.7968193662952586,560,280
ba,whole_state,use,4096,20,test,0.020312501915863583,0.015958427041769026,0.0248046884712364,0.0,0.7346288338003489,560,280
ba,whole_state,use,4096,24,test,-0.0061104932001658846,-0.008761163699839796,-0.003655137930597578,0.0,0.6996849678731821,560,280
