arm,kind,path,checksum_sha256,source_layer,n_tokens,jacobian_lens_commit,fitting_corpus,fitting_corpus_digest,gain_source,norm_class
answer_direction_jlens,j-lens,results/workspace_lens/deepseek-coder-6.7b/j-lens/lens.pt,aa75daa8b3d78a2535129051b52fc082b5b7b2c3c43bdcb13a99d726bab037ed,6,6,581d398613e5602a5af361e1c34d3a92ea82ba8e,pile10k-n100,483c1e1743d1293d3953ecdd23b3c23fa3a256ef10983da69076dac379f71482,final_norm.weight,LlamaRMSNorm
answer_direction_rlens,r-lens,results/workspace_lens/deepseek-coder-6.7b/r-lens/lens.pt,d4d2bcf2ff856c892c179c0494b902c58908b1f655266655d534a2d23bb43b63,6,6,581d398613e5602a5af361e1c34d3a92ea82ba8e,pile10k-n100,483c1e1743d1293d3953ecdd23b3c23fa3a256ef10983da69076dac379f71482,final_norm.weight,LlamaRMSNorm
