scope,arm,binding,split,accuracy,ci_lo,ci_hi,n,n_bases,threshold
overall,,,test,1.0,1.0,1.0,1120,280,0.85
cell,ab,source,test,1.0,1.0,1.0,280,280,0.75
cell,ab,target,test,1.0,1.0,1.0,280,280,0.75
cell,ba,source,test,1.0,1.0,1.0,280,280,0.75
cell,ba,target,test,1.0,1.0,1.0,280,280,0.75
