base_id,split,arm,binding,site,variant,layer,rank,own_answer,installed_answer,clean_logit_diff,patched_logit_diff,delta_ld,flipped,says_installed,says_own,says_other,edit_fraction,edit_norm,state_norm,effective_rank,degenerate,gates_required,gate_override,gate_override_reason
base_0259,calib,ba,source,use,das_binding,6,1,3,7,-2.75,4.875,7.625,1,1,0,0,0.45576059440139055,18.44463341985448,40.47000474905077,1,False,"H0,H1,H2,H3",False,
base_0259,calib,ba,source,use,whole_state,6,4096,3,7,-2.75,1.0,3.75,1,1,0,0,0.718209926803184,29.065959148540262,40.47000474905077,4096,False,"H0,H1,H2,H3",False,
base_0259,calib,ba,target,use,das_binding,6,1,7,3,-4.0,4.25,8.25,1,1,0,0,0.4116429395922699,18.44463341985448,44.80736008280329,1,False,"H0,H1,H2,H3",False,
base_0259,calib,ba,target,use,whole_state,6,4096,7,3,-4.0,0.75,4.75,1,1,0,0,0.6486871597618523,29.065959148540262,44.80736008280329,4096,False,"H0,H1,H2,H3",False,
base_0264,calib,ab,source,use,das_binding,6,1,5,4,-3.125,5.25,8.375,1,1,0,0,0.3804714755177063,17.523092934672665,46.056259305192455,1,False,"H0,H1,H2,H3",False,
base_0264,calib,ab,source,use,whole_state,6,4096,5,4,-3.125,1.375,4.5,1,1,0,0,0.6129496793531958,28.230169373325353,46.056259305192455,4096,False,"H0,H1,H2,H3",False,
base_0264,calib,ab,target,use,das_binding,6,1,4,5,-4.125,4.5,8.625,1,1,0,0,0.37479577604770736,17.523092934672665,46.753709765507516,1,False,"H0,H1,H2,H3",False,
base_0264,calib,ab,target,use,whole_state,6,4096,4,5,-4.125,1.25,5.375,1,1,0,0,0.6038059763580969,28.230169373325353,46.753709765507516,4096,False,"H0,H1,H2,H3",False,
base_0264,calib,ba,source,use,das_binding,6,1,4,5,-3.25,5.375,8.625,1,1,0,0,0.37860347740193157,17.35687662367341,45.844472276854106,1,False,"H0,H1,H2,H3",False,
base_0264,calib,ba,source,use,whole_state,6,4096,4,5,-3.25,2.75,6.0,1,1,0,0,0.6140057643585388,28.148770241963646,45.844472276854106,4096,False,"H0,H1,H2,H3",False,
base_0264,calib,ba,target,use,das_binding,6,1,5,4,-3.5,4.625,8.125,1,1,0,0,0.3732801659522957,17.35687662367341,46.49825575219975,1,False,"H0,H1,H2,H3",False,
base_0264,calib,ba,target,use,whole_state,6,4096,5,4,-3.5,1.25,4.75,1,1,0,0,0.6053726056300934,28.148770241963646,46.49825575219975,4096,False,"H0,H1,H2,H3",False,
base_0268,calib,ab,source,use,das_binding,6,1,6,7,-1.8750001192092896,4.75,6.6250001192092896,1,1,0,0,0.41890623620051715,18.35729656374291,43.82197011494442,1,False,"H0,H1,H2,H3",False,
base_0268,calib,ab,source,use,whole_state,6,4096,6,7,-1.8750001192092896,2.375,4.2500001192092896,1,1,0,0,0.7423499205842539,32.531236034674535,43.82197011494442,4096,False,"H0,H1,H2,H3",False,
base_0268,calib,ab,target,use,das_binding,6,1,7,6,-3.75,3.999999761581421,7.749999761581421,1,1,0,0,0.39488681594593217,18.35729656374291,46.48748912968618,1,False,"H0,H1,H2,H3",False,
base_0268,calib,ab,target,use,whole_state,6,4096,7,6,-3.75,0.5,4.25,1,1,0,0,0.6997847516333292,32.531236034674535,46.48748912968618,4096,False,"H0,H1,H2,H3",False,
base_0268,calib,ba,source,use,das_binding,6,1,7,6,-1.9999998807907104,4.75,6.7499998807907104,1,1,0,0,0.4158025310627373,18.136604728421784,43.61831247651855,1,False,"H0,H1,H2,H3",False,
base_0268,calib,ba,source,use,whole_state,6,4096,7,6,-1.9999998807907104,0.375,2.3749998807907104,1,1,0,0,0.731392398826236,31.902102194953237,43.61831247651855,4096,False,"H0,H1,H2,H3",False,
base_0268,calib,ba,target,use,das_binding,6,1,6,7,-4.125,5.0,9.125,1,1,0,0,0.39553078066829744,18.136604728421784,45.853838980060615,1,False,"H0,H1,H2,H3",False,
base_0268,calib,ba,target,use,whole_state,6,4096,6,7,-4.125,0.375,4.5,1,1,0,0,0.6957345972455165,31.902102194953237,45.853838980060615,4096,False,"H0,H1,H2,H3",False,
base_0271,calib,ab,source,use,das_binding,6,1,4,5,-2.875,5.25,8.125,1,1,0,0,0.3752496109203308,16.700916978326898,44.506154016699746,1,False,"H0,H1,H2,H3",False,
base_0271,calib,ab,source,use,whole_state,6,4096,4,5,-2.875,1.5,4.375,1,1,0,0,0.613038650689668,27.28399260578416,44.506154016699746,4096,False,"H0,H1,H2,H3",False,
base_0271,calib,ab,target,use,das_binding,6,1,5,4,-3.0,4.625,7.625,1,1,0,0,0.37092801029729316,16.700916978326898,45.02468542330186,1,False,"H0,H1,H2,H3",False,
base_0271,calib,ab,target,use,whole_state,6,4096,5,4,-3.0,1.75,4.75,1,1,0,0,0.6059785282067452,27.28399260578416,45.02468542330186,4096,False,"H0,H1,H2,H3",False,
base_0271,calib,ba,source,use,das_binding,6,1,5,4,-2.875,4.75,7.625,1,1,0,0,0.38178396113047974,17.01305287845216,44.56198952956466,1,False,"H0,H1,H2,H3",False,
base_0271,calib,ba,source,use,whole_state,6,4096,5,4,-2.875,-0.25,2.625,0,0,1,0,0.6198093156226306,27.619936233102305,44.56198952956466,4096,False,"H0,H1,H2,H3",False,
base_0271,calib,ba,target,use,das_binding,6,1,4,5,-3.5,4.75,8.25,1,1,0,0,0.3762328255619656,17.01305287845216,45.21948039233517,1,False,"H0,H1,H2,H3",False,
base_0271,calib,ba,target,use,whole_state,6,4096,4,5,-3.5,1.25,4.75,1,1,0,0,0.6107972934112698,27.619936233102305,45.21948039233517,4096,False,"H0,H1,H2,H3",False,
base_0280,calib,ab,source,use,das_binding,6,1,6,2,-2.75,3.875,6.625,1,1,0,0,0.4488206874718625,18.97656435355685,42.28094845727567,1,False,"H0,H1,H2,H3",False,
base_0280,calib,ab,source,use,whole_state,6,4096,6,2,-2.75,-1.625,1.125,0,0,1,0,0.7238491175136865,30.60502722844066,42.28094845727567,4096,False,"H0,H1,H2,H3",False,
base_0280,calib,ab,target,use,das_binding,6,1,2,6,-4.125,4.375,8.5,1,1,0,0,0.4208675774986529,18.97656435355685,45.089157179416105,1,False,"H0,H1,H2,H3",False,
