layer,rank,n_train,converged,orthogonality_error,concentration_top5,uniform_top5,final_loss
6,1,160,True,3.054480139930149e-07,0.011336692441221787,0.001220703125,0.015111638233065605
6,2,160,True,8.270652296360481e-08,0.007920859405288708,0.001220703125,0.013549689203500748
6,4,160,True,1.267492202305931e-07,0.007565565323958782,0.001220703125,0.009536080062389374
6,8,160,True,1.8269767498857448e-07,0.007730318619457773,0.001220703125,0.009314008057117462
