example,max_abs_delta,logit_scale,rel_delta
0,0.03515625,29.0625,0.0012096774193548388
1,0.03515625,30.984375,0.0011346444780635401
2,0.029296875,30.96875,0.0009460141271442987
3,0.03515625,30.0,0.001171875
4,0.03515625,30.3125,0.0011597938144329897
