arm,layer,median_abs_error,median_rho,n
all,-1,0.0003248453140258789,1.0003248453140259,10
all,0,0.0003663301467895508,1.0003663301467896,10
all,3,0.00013309717178344727,1.0001330971717834,10
all,7,0.00025132298469543457,0.9997486770153046,10
all,11,0.00012990832328796387,0.9999254643917084,10
all,15,9.873509407043457e-05,0.9999171793460846,10
all,19,8.270144462585449e-05,0.9999422430992126,10
all,23,7.599592208862305e-05,0.9999703764915466,10
all,27,3.7223100662231445e-05,0.9999627768993378,10
all,31,4.050135612487793e-05,0.9999594986438751,10
no_attn,-1,1.462742567062378,2.462742567062378,10
no_attn,0,1.2691577672958374,2.2691577672958374,10
no_attn,3,0.8863006234169006,1.8863006234169006,10
no_attn,7,0.6831841468811035,1.6831841468811035,10
no_attn,11,0.39089637994766235,1.3908963799476624,10
no_attn,15,0.21800249814987183,1.2180024981498718,10
no_attn,19,0.07935458421707153,1.0793545842170715,10
no_attn,23,0.05187171697616577,1.034873604774475,10
no_attn,27,0.10998949408531189,0.8900105059146881,10
no_attn,31,4.050135612487793e-05,0.9999594986438751,10
no_half,-1,29.345879554748535,30.345879554748535,10
no_half,0,18.262553215026855,19.262553215026855,10
no_half,3,7.437139987945557,8.437139987945557,10
no_half,7,5.789870262145996,6.789870262145996,10
no_half,11,4.90934944152832,5.90934944152832,10
no_half,15,4.01630711555481,5.01630711555481,10
no_half,19,2.703158736228943,3.703158736228943,10
no_half,23,1.8619816303253174,2.8619816303253174,10
no_half,27,1.097847580909729,2.097847580909729,10
no_half,31,4.0531158447265625e-05,0.9999594688415527,10
no_identity,-1,0.4555685222148895,0.5444314777851105,10
no_identity,0,0.4470369517803192,0.5529630482196808,10
no_identity,3,0.45082569122314453,0.5491743087768555,10
no_identity,7,0.4289911985397339,0.5710088014602661,10
no_identity,11,0.41293320059776306,0.5870667994022369,10
no_identity,15,0.37521088123321533,0.6247891187667847,10
no_identity,19,0.352744460105896,0.647255539894104,10
no_identity,23,0.3099933862686157,0.6900066137313843,10
no_identity,27,0.25475364923477173,0.7452463507652283,10
no_identity,31,4.056096076965332e-05,0.9999594390392303,10
no_ln,-1,0.9909574310295284,0.00904256897047162,10
no_ln,0,0.9967091634171084,0.003290836582891643,10
no_ln,3,0.9894359085010365,0.010564091498963535,10
no_ln,7,1.0021378404926509,-0.0021378404926508665,10
no_ln,11,0.9874873696826398,0.012512630317360163,10
no_ln,15,0.985301849199459,0.014698150800541043,10
no_ln,19,0.9758037496358156,0.02419625036418438,10
no_ln,23,1.0248434655368328,-0.02484346553683281,10
no_ln,27,0.9685347881168127,0.031465211883187294,10
no_ln,31,4.050135612487793e-05,0.9999594986438751,10
none,-1,0.9665392618626356,0.03346073813736439,10
none,0,0.9548835661262274,0.04511643387377262,10
none,3,0.8659056648612022,0.13409433513879776,10
none,7,0.8651113510131836,0.1348886489868164,10
none,11,0.869808129966259,0.130191870033741,10
none,15,0.908176776021719,0.09182322397828102,10
none,19,0.8439330756664276,0.1560669243335724,10
none,23,0.8192497342824936,0.1807502657175064,10
none,27,0.6518595367670059,0.3481404632329941,10
none,31,4.0531158447265625e-05,0.9999594688415527,10
