layer,n_seeds,cosine_mean,cosine_min,margin_sign_agreement,pooled_vs_seed_cosine,n_build_per_seed,n_probe_states
8,3,0.30713077386220294,0.2792811095714569,0.5609318996415771,0.7322396636009216,200,12
12,3,0.6107054551442465,0.5857799053192139,0.6774193548387096,0.8600883682568868,200,12
16,3,0.8076322873433431,0.789455235004425,0.7831541218637993,0.9334197441736857,200,12
20,3,0.9000664353370667,0.8940232396125793,0.875448028673835,0.9659711321194967,200,12
24,3,0.9473039110501608,0.9448091983795166,0.9166666666666666,0.9822014371554056,200,12
31,3,1.0,1.0,1.0,1.0,200,12
