model,layer,arm,seed,family,pair_index,inner_word,outer_word,reversal,mean_delta,n
deepseek-coder-6.7b,8,ba,44,positional,5,second,first,0.9525,0.050002194941043854,400
deepseek-coder-6.7b,8,ba,44,positional,6,new,original,0.96,0.05512164533138275,400
deepseek-coder-6.7b,8,ba,44,action,7,replaced,kept,0.02,-0.07465650141239166,400
deepseek-coder-6.7b,8,ba,44,action,8,changed,unchanged,0.3325,-0.011130592785775661,400
deepseek-coder-6.7b,8,ba,45,scope,0,local,global,0.84,0.025516629219055176,400
deepseek-coder-6.7b,8,ba,45,scope,1,inner,outer,0.005,-0.04911242052912712,400
deepseek-coder-6.7b,8,ba,45,scope,2,inside,outside,0.0025,-0.07333089411258698,400
deepseek-coder-6.7b,8,ba,45,scope,3,nested,module,0.1025,-0.041290540248155594,400
deepseek-coder-6.7b,8,ba,45,positional,4,later,earlier,1.0,0.06691015511751175,400
deepseek-coder-6.7b,8,ba,45,positional,5,second,first,0.28,-0.015916407108306885,400
deepseek-coder-6.7b,8,ba,45,positional,6,new,original,0.345,-0.013134796172380447,400
deepseek-coder-6.7b,8,ba,45,action,7,replaced,kept,0.44,-0.00376652623526752,400
deepseek-coder-6.7b,8,ba,45,action,8,changed,unchanged,0.7625,0.021495237946510315,400
deepseek-coder-6.7b,8,ba,46,scope,0,local,global,0.3925,-0.004392592702060938,400
deepseek-coder-6.7b,8,ba,46,scope,1,inner,outer,1.0,0.07842768728733063,400
deepseek-coder-6.7b,8,ba,46,scope,2,inside,outside,1.0,0.09576466679573059,400
deepseek-coder-6.7b,8,ba,46,scope,3,nested,module,0.6025,0.0058227120898664,400
deepseek-coder-6.7b,8,ba,46,positional,4,later,earlier,0.7275,0.013900981284677982,400
deepseek-coder-6.7b,8,ba,46,positional,5,second,first,0.14,-0.021739954128861427,400
deepseek-coder-6.7b,8,ba,46,positional,6,new,original,0.43,-0.006691502407193184,400
deepseek-coder-6.7b,8,ba,46,action,7,replaced,kept,0.01,-0.06646901369094849,400
deepseek-coder-6.7b,8,ba,46,action,8,changed,unchanged,0.0075,-0.054666873067617416,400
deepseek-coder-6.7b,12,ab,42,scope,0,local,global,0.0425,-0.07599876821041107,400
deepseek-coder-6.7b,12,ab,42,scope,1,inner,outer,0.7525,0.024609064683318138,400
deepseek-coder-6.7b,12,ab,42,scope,2,inside,outside,0.485,-0.0009309396846219897,400
deepseek-coder-6.7b,12,ab,42,scope,3,nested,module,0.9925,0.16756923496723175,400
deepseek-coder-6.7b,12,ab,42,positional,4,later,earlier,0.68,0.029217761009931564,400
deepseek-coder-6.7b,12,ab,42,positional,5,second,first,0.9325,0.07949378341436386,400
deepseek-coder-6.7b,12,ab,42,positional,6,new,original,0.9775,0.11780612915754318,400
deepseek-coder-6.7b,12,ab,42,action,7,replaced,kept,0.1575,-0.047137144953012466,400
deepseek-coder-6.7b,12,ab,42,action,8,changed,unchanged,0.04,-0.09865537285804749,400
deepseek-coder-6.7b,12,ab,43,scope,0,local,global,1.0,0.1664109230041504,400
deepseek-coder-6.7b,12,ab,43,scope,1,inner,outer,0.1825,-0.04858354106545448,400
deepseek-coder-6.7b,12,ab,43,scope,2,inside,outside,0.64,0.013324112631380558,400
deepseek-coder-6.7b,12,ab,43,scope,3,nested,module,0.55,0.007167133502662182,400
deepseek-coder-6.7b,12,ab,43,positional,4,later,earlier,0.055,-0.09102966636419296,400
deepseek-coder-6.7b,12,ab,43,positional,5,second,first,0.4625,0.004181347321718931,400
deepseek-coder-6.7b,12,ab,43,positional,6,new,original,0.995,0.14767280220985413,400
deepseek-coder-6.7b,12,ab,43,action,7,replaced,kept,0.085,-0.0767204761505127,400
deepseek-coder-6.7b,12,ab,43,action,8,changed,unchanged,0.045,-0.09968090057373047,400
deepseek-coder-6.7b,12,ab,44,scope,0,local,global,1.0,0.15047459304332733,400
deepseek-coder-6.7b,12,ab,44,scope,1,inner,outer,0.6975,0.02119678258895874,400
deepseek-coder-6.7b,12,ab,44,scope,2,inside,outside,0.5425,0.006272333208471537,400
deepseek-coder-6.7b,12,ab,44,scope,3,nested,module,0.6375,0.021501226350665092,400
deepseek-coder-6.7b,12,ab,44,positional,4,later,earlier,1.0,0.2722441852092743,400
deepseek-coder-6.7b,12,ab,44,positional,5,second,first,0.1575,-0.05436883494257927,400
deepseek-coder-6.7b,12,ab,44,positional,6,new,original,0.0025,-0.17939674854278564,400
deepseek-coder-6.7b,12,ab,44,action,7,replaced,kept,0.975,0.09870448708534241,400
deepseek-coder-6.7b,12,ab,44,action,8,changed,unchanged,0.275,-0.03188592568039894,400
deepseek-coder-6.7b,12,ab,45,scope,0,local,global,0.8625,0.05889343097805977,400
deepseek-coder-6.7b,12,ab,45,scope,1,inner,outer,0.0175,-0.10007111728191376,400
deepseek-coder-6.7b,12,ab,45,scope,2,inside,outside,0.01,-0.09677423536777496,400
deepseek-coder-6.7b,12,ab,45,scope,3,nested,module,0.86,0.06977664679288864,400
deepseek-coder-6.7b,12,ab,45,positional,4,later,earlier,0.4375,-0.006071267183870077,400
deepseek-coder-6.7b,12,ab,45,positional,5,second,first,0.2625,-0.040828172117471695,400
deepseek-coder-6.7b,12,ab,45,positional,6,new,original,0.975,0.16805391013622284,400
deepseek-coder-6.7b,12,ab,45,action,7,replaced,kept,0.0025,-0.146858811378479,400
deepseek-coder-6.7b,12,ab,45,action,8,changed,unchanged,0.9925,0.10879138857126236,400
deepseek-coder-6.7b,12,ab,46,scope,0,local,global,0.0425,-0.08846493065357208,400
deepseek-coder-6.7b,12,ab,46,scope,1,inner,outer,0.845,0.04442749172449112,400
deepseek-coder-6.7b,12,ab,46,scope,2,inside,outside,0.5075,0.0021409650798887014,400
deepseek-coder-6.7b,12,ab,46,scope,3,nested,module,0.0,-0.25762882828712463,400
deepseek-coder-6.7b,12,ab,46,positional,4,later,earlier,0.5575,0.005237292498350143,400
deepseek-coder-6.7b,12,ab,46,positional,5,second,first,0.0525,-0.06996346265077591,400
deepseek-coder-6.7b,12,ab,46,positional,6,new,original,0.565,0.009482990950345993,400
deepseek-coder-6.7b,12,ab,46,action,7,replaced,kept,0.6075,0.014254153706133366,400
deepseek-coder-6.7b,12,ab,46,action,8,changed,unchanged,0.9925,0.15522411465644836,400
deepseek-coder-6.7b,12,ba,42,scope,0,local,global,0.0525,-0.07690873742103577,400
deepseek-coder-6.7b,12,ba,42,scope,1,inner,outer,0.7575,0.024977821856737137,400
deepseek-coder-6.7b,12,ba,42,scope,2,inside,outside,0.4875,9.815873636398464e-05,400
deepseek-coder-6.7b,12,ba,42,scope,3,nested,module,0.9925,0.16852834820747375,400
deepseek-coder-6.7b,12,ba,42,positional,4,later,earlier,0.68,0.029297009110450745,400
deepseek-coder-6.7b,12,ba,42,positional,5,second,first,0.92,0.07918047904968262,400
deepseek-coder-6.7b,12,ba,42,positional,6,new,original,0.9725,0.11763295531272888,400
deepseek-coder-6.7b,12,ba,42,action,7,replaced,kept,0.165,-0.0468987375497818,400
deepseek-coder-6.7b,12,ba,42,action,8,changed,unchanged,0.0625,-0.09766759723424911,400
deepseek-coder-6.7b,12,ba,43,scope,0,local,global,1.0,0.1668492555618286,400
deepseek-coder-6.7b,12,ba,43,scope,1,inner,outer,0.18,-0.048903688788414,400
deepseek-coder-6.7b,12,ba,43,scope,2,inside,outside,0.6325,0.012791926972568035,400
deepseek-coder-6.7b,12,ba,43,scope,3,nested,module,0.565,0.007065010257065296,400
deepseek-coder-6.7b,12,ba,43,positional,4,later,earlier,0.0475,-0.09153112769126892,400
deepseek-coder-6.7b,12,ba,43,positional,5,second,first,0.4775,0.004331675358116627,400
deepseek-coder-6.7b,12,ba,43,positional,6,new,original,0.995,0.14827053248882294,400
deepseek-coder-6.7b,12,ba,43,action,7,replaced,kept,0.0775,-0.0754164606332779,400
deepseek-coder-6.7b,12,ba,43,action,8,changed,unchanged,0.0325,-0.09813079982995987,400
deepseek-coder-6.7b,12,ba,44,scope,0,local,global,1.0,0.1509244292974472,400
deepseek-coder-6.7b,12,ba,44,scope,1,inner,outer,0.6975,0.021015996113419533,400
deepseek-coder-6.7b,12,ba,44,scope,2,inside,outside,0.545,0.006198474671691656,400
deepseek-coder-6.7b,12,ba,44,scope,3,nested,module,0.6475,0.02255242131650448,400
deepseek-coder-6.7b,12,ba,44,positional,4,later,earlier,1.0,0.27232128381729126,400
deepseek-coder-6.7b,12,ba,44,positional,5,second,first,0.165,-0.05379171296954155,400
deepseek-coder-6.7b,12,ba,44,positional,6,new,original,0.0,-0.180849090218544,400
deepseek-coder-6.7b,12,ba,44,action,7,replaced,kept,0.985,0.09761767089366913,400
deepseek-coder-6.7b,12,ba,44,action,8,changed,unchanged,0.295,-0.030264319851994514,400
deepseek-coder-6.7b,12,ba,45,scope,0,local,global,0.87,0.058569736778736115,400
deepseek-coder-6.7b,12,ba,45,scope,1,inner,outer,0.015,-0.10012521594762802,400
deepseek-coder-6.7b,12,ba,45,scope,2,inside,outside,0.0075,-0.09572853893041611,400
deepseek-coder-6.7b,12,ba,45,scope,3,nested,module,0.825,0.0696050152182579,400
deepseek-coder-6.7b,12,ba,45,positional,4,later,earlier,0.4375,-0.005954325199127197,400
deepseek-coder-6.7b,12,ba,45,positional,5,second,first,0.265,-0.03919409215450287,400
deepseek-coder-6.7b,12,ba,45,positional,6,new,original,0.9725,0.16754136979579926,400
deepseek-coder-6.7b,12,ba,45,action,7,replaced,kept,0.0025,-0.14784568548202515,400
deepseek-coder-6.7b,12,ba,45,action,8,changed,unchanged,0.985,0.1084294393658638,400
deepseek-coder-6.7b,12,ba,46,scope,0,local,global,0.0675,-0.08821697533130646,400
deepseek-coder-6.7b,12,ba,46,scope,1,inner,outer,0.845,0.04438610374927521,400
deepseek-coder-6.7b,12,ba,46,scope,2,inside,outside,0.48,0.0010417241137474775,400
deepseek-coder-6.7b,12,ba,46,scope,3,nested,module,0.0,-0.25645819306373596,400
deepseek-coder-6.7b,12,ba,46,positional,4,later,earlier,0.5575,0.0037756101228296757,400
