model,item_id,family,pair_id,arm,read,layer,direction,edit,clean_logit_diff,ablated_logit_diff,delta_logit_diff,edit_norm_ratio
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,26,offtarget_j,erase,3.25,3.25,0.0,0.012844202857801669
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,26,offtarget_r,erase,3.25,3.5,0.25,0.010507660088701725
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,26,random,erase,3.25,3.25,0.0,0.013233763422590944
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,26,random_matched,erase,3.25,3.5,0.25,0.009603570194979748
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,24,jlens,erase,3.25,3.25,0.0,0.007040704365309366
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,24,rlens,erase,3.25,3.25,0.0,0.019146124583652113
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,24,logit,erase,3.25,3.25,0.0,0.0018944392280208244
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,24,offtarget_j,erase,3.25,3.25,0.0,0.007455945370520638
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,24,offtarget_r,erase,3.25,3.25,0.0,0.017556509645875677
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,24,random,erase,3.25,3.25,0.0,0.005792783287222725
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,24,random_matched,erase,3.25,3.25,0.0,0.007040704365309366
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,25,jlens,erase,3.25,3.25,0.0,0.0031145488424712863
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,25,rlens,erase,3.25,3.25,0.0,0.00206655947220377
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,25,logit,erase,3.25,3.25,0.0,0.0031634394679974885
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,25,offtarget_j,erase,3.25,3.25,0.0,0.0058290440075136835
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,25,offtarget_r,erase,3.25,3.25,0.0,0.000662600281160301
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,25,random,erase,3.25,3.25,0.0,0.018482324496040477
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,25,random_matched,erase,3.25,3.5,0.25,0.003114548656138943
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,26,jlens,erase,3.25,3.5,0.25,0.009993663705562136
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,26,rlens,erase,3.25,3.5,0.25,0.010234138472406647
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,26,logit,erase,3.25,3.25,0.0,0.003208870007144546
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,26,offtarget_j,erase,3.25,3.25,0.0,0.019363541605352263
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,26,offtarget_r,erase,3.25,3.5,0.25,0.019434645657651132
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,26,random,erase,3.25,3.25,0.0,0.024032369678965063
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,26,random_matched,erase,3.25,3.5,0.25,0.009993665114009412
starcoder2-3b,binding-0-outer-call,binding,binding-0,outer,call,24,jlens,erase,3.25,3.5,0.25,0.007936087574761058
starcoder2-3b,binding-0-outer-call,binding,binding-0,outer,call,24,rlens,erase,3.25,3.25,0.0,0.017227846711533365
starcoder2-3b,binding-0-outer-call,binding,binding-0,outer,call,24,logit,erase,3.25,3.25,0.0,0.0022902305847508483
starcoder2-3b,binding-0-outer-call,binding,binding-0,outer,call,24,offtarget_j,erase,3.25,3.25,0.0,0.02265190129049102
starcoder2-3b,binding-0-outer-call,binding,binding-0,outer,call,24,offtarget_r,erase,3.25,3.25,0.0,0.027554282914590125
starcoder2-3b,binding-0-outer-call,binding,binding-0,outer,call,24,random,erase,3.25,3.25,0.0,0.04302934352120848
starcoder2-3b,binding-0-outer-call,binding,binding-0,outer,call,24,random_matched,erase,3.25,3.25,0.0,0.007936087574761058
starcoder2-3b,binding-0-outer-call,binding,binding-0,outer,call,25,jlens,erase,3.25,3.25,0.0,0.008541786409092282
starcoder2-3b,binding-0-outer-call,binding,binding-0,outer,call,25,rlens,erase,3.25,3.5,0.25,0.002139185490920689
starcoder2-3b,binding-0-outer-call,binding,binding-0,outer,call,25,logit,erase,3.25,3.25,0.0,0.0024906495978248453
