layer,contrast,n,mean,lo,hi,excludes_zero
20,jlens_vs_offtarget,200,-0.28451904296875,-0.34695137895748324,-0.2173238025640806,True
20,rlens_vs_offtarget,200,-0.374893798828125,-0.4526577725647801,-0.2925950428200834,True
20,jlens_vs_random_matched,200,-0.14858642578125,-0.19622563515940022,-0.1054106036549211,True
20,rlens_vs_random_matched,200,-0.239244384765625,-0.31349625363140643,-0.17559027348168835,True
20,jlens_vs_logit,200,0.20440185546875,0.1489451173772466,0.26955382249084975,True
20,rlens_vs_jlens,200,-0.090657958984375,-0.12148014247410267,-0.06345061698011173,True
21,jlens_vs_offtarget,200,-0.6089208984375,-0.738368105856788,-0.4769790244414428,True
21,rlens_vs_offtarget,200,-0.7089404296875,-0.8584003978056066,-0.5576064037791156,True
21,jlens_vs_random_matched,200,-0.37677978515625,-0.49243412152821664,-0.27785200232563495,True
21,rlens_vs_random_matched,200,-0.4698583984375,-0.6129029541015625,-0.34483596485058765,True
21,jlens_vs_logit,200,0.226025390625,0.16930267776268115,0.2904611119852603,True
21,rlens_vs_jlens,200,-0.09307861328125,-0.12835959971170524,-0.06307580566406251,True
22,jlens_vs_offtarget,200,-1.2886083984375,-1.532887644334377,-1.0288804165152619,True
22,rlens_vs_offtarget,200,-1.2886083984375,-1.532887644334377,-1.0288804165152619,True
22,jlens_vs_random_matched,200,-0.874381103515625,-1.1020909126558454,-0.6691295298046136,True
22,rlens_vs_random_matched,200,-0.874381103515625,-1.1020909126558454,-0.6691295298046136,True
22,jlens_vs_logit,200,0.0,0.0,0.0,False
22,rlens_vs_jlens,200,0.0,0.0,0.0,False
