edit,direction,layer,n,mean_delta,median_delta,mean_edit_norm
erase,jlens,19,100,0.4371044921875,0.33203125,0.0975106131122983
erase,jlens,21,100,0.0786767578125,-0.01171875,0.13252345155819611
erase,jlens,22,100,-0.830556640625,-0.625,0.14246344206504147
erase,logit,19,100,-0.4111376953125,-0.25,0.10967308670895169
erase,logit,21,100,-0.5489013671875,-0.28125,0.13798111927381063
erase,logit,22,100,-0.830556640625,-0.625,0.14246344206504147
erase,offtarget,19,100,-0.4110888671875,-0.25,0.06189523948299706
erase,offtarget,21,100,-0.2993310546875,-0.22265625,0.08378392791608506
erase,offtarget,22,100,-0.1415673828125,-0.25,0.09284723422454415
erase,random,19,100,-0.01445556640625,0.0,0.018659077759128485
erase,random,21,100,0.0026123046875,0.0,0.01701356702066556
erase,random,22,100,0.0053076171875,0.0,0.016540182819673097
erase,rlens,19,100,0.344208984375,0.21875,0.10326191730409429
erase,rlens,21,100,-0.1041650390625,-0.05859375,0.1359853523371794
erase,rlens,22,100,-0.830556640625,-0.625,0.14246344206504147
