split,subset,layer,position,lens,accuracy,accuracy_ci_lo,accuracy_ci_hi,n_rows,n_bases,mean_bound_rank,reversal_rate,reversal_ci_lo,reversal_ci_hi,paired_gap,paired_gap_ci_lo,paired_gap_ci_hi,n_pairs
calib,all,24,def_target,gram_random,0.5416666666666666,0.5,0.5916666666666667,120,30,5.425,0.08333333333333333,0.0,0.18333333333333332,0.03518826588988304,-0.012990505651881297,0.08482007056474683,60
calib,all,31,def_target,gram_random,0.4666666666666667,0.4166666666666667,0.5083333333333333,120,30,4.5,0.016666666666666666,0.0,0.05,-0.005559749901294708,-0.06622380264103413,0.05428676929324864,60
calib,all,8,def_target,jlens,0.5416666666666666,0.5,0.5916666666666667,120,30,4.616666666666666,0.08333333333333333,0.0,0.18333333333333332,0.0017938614512483279,-0.003481546388939023,0.006846722561555603,60
calib,all,16,def_target,jlens,0.49166666666666664,0.475,0.5,120,30,1.6,0.0,0.0,0.0,-0.003795717159907023,-0.02241499318430821,0.014153438049058118,60
calib,all,24,def_target,jlens,0.5166666666666667,0.5,0.55,120,30,1.6666666666666667,0.03333333333333333,0.0,0.1,0.24372023940086365,0.1632415136694908,0.32886943479379016,60
calib,all,31,def_target,jlens,0.5833333333333334,0.525,0.65,120,30,2.3916666666666666,0.16666666666666666,0.05,0.3,0.4412733554840088,0.3346624406178792,0.5489056905110676,60
calib,all,8,def_target,logit,0.5083333333333333,0.475,0.55,120,30,5.75,0.03333333333333333,0.0,0.1,-0.04197353025277455,-0.20069751046597958,0.1288917685548463,60
calib,all,16,def_target,logit,0.475,0.4166666666666667,0.5333333333333333,120,30,4.558333333333334,0.03333333333333333,0.0,0.1,0.05986349682013194,-0.40762594401836394,0.5322434308131535,60
calib,all,24,def_target,logit,0.5166666666666667,0.5,0.55,120,30,2.125,0.03333333333333333,0.0,0.1,5.2569044431050616,3.3083114484945932,7.313851954142248,60
calib,all,31,def_target,logit,0.5833333333333334,0.525,0.65,120,30,2.3916666666666666,0.16666666666666666,0.05,0.3,13.387721761067708,10.153496360778808,16.653450826009113,60
calib,all,8,def_target,probe,1.0,1.0,1.0,120,30,0.0,1.0,1.0,1.0,1.9283960004647573,1.9176540044446786,1.9395089274644852,60
calib,all,16,def_target,probe,1.0,1.0,1.0,120,30,0.0,1.0,1.0,1.0,1.9314418991406759,1.9213725339621304,1.941079355577628,60
calib,all,24,def_target,probe,1.0,1.0,1.0,120,30,0.0,1.0,1.0,1.0,1.9429396937290828,1.9316853649665913,1.953903546904524,60
calib,all,31,def_target,probe,1.0,1.0,1.0,120,30,0.0,1.0,1.0,1.0,1.9465521802504857,1.9355639022837083,1.9568274795512357,60
calib,all,8,mutation,gram_random,0.49166666666666664,0.39166666666666666,0.5916666666666667,120,30,4.641666666666667,0.16666666666666666,0.03333333333333333,0.3,-0.005283113894984126,-0.018683170282747595,0.007949713361449536,60
calib,all,16,mutation,gram_random,0.475,0.35833333333333334,0.5833333333333334,120,30,4.8,0.16666666666666666,0.03333333333333333,0.3,0.005483806133270264,-0.03143829323661824,0.0422923842196663,60
calib,all,24,mutation,gram_random,0.5083333333333333,0.425,0.5916666666666667,120,30,4.55,0.13333333333333333,0.03333333333333333,0.25,0.005077001576622327,-0.10511876016544798,0.11286182567787663,60
calib,all,31,mutation,gram_random,0.49166666666666664,0.43333333333333335,0.55,120,30,4.575,0.05,0.0,0.13333333333333333,-0.026799211154381435,-0.16401694615061083,0.11760442905127994,60
calib,all,8,mutation,jlens,0.4666666666666667,0.4,0.5333333333333333,120,30,5.966666666666667,0.03333333333333333,0.0,0.1,-0.0052289788300792376,-0.020457116262987258,0.009906187495216724,60
calib,all,16,mutation,jlens,0.475,0.375,0.5666666666666667,120,30,3.1166666666666667,0.13333333333333333,0.03333333333333333,0.26666666666666666,-0.02074521780014038,-0.05929890125989914,0.016051274538040127,60
calib,all,24,mutation,jlens,0.43333333333333335,0.35833333333333334,0.5,120,30,3.7083333333333335,0.03333333333333333,0.0,0.1,-0.07170269886652629,-0.14573938235640527,-0.004366826415061955,60
calib,all,31,mutation,jlens,0.5,0.45,0.55,120,30,4.6,0.03333333333333333,0.0,0.1,-0.09407033920288085,-0.2589150094985962,0.0672898717721303,60
calib,all,8,mutation,logit,0.4166666666666667,0.325,0.5083333333333333,120,30,4.35,0.06666666666666667,0.0,0.16666666666666666,-0.3410565733909607,-0.7115933070331811,0.026377241636315753,60
calib,all,16,mutation,logit,0.5,0.4166666666666667,0.5833333333333334,120,30,4.15,0.1,0.0,0.23333333333333334,-0.39256588617960614,-1.3594846002260843,0.5056499827901523,60
calib,all,24,mutation,logit,0.48333333333333334,0.4,0.5666666666666667,120,30,4.191666666666666,0.1,0.0,0.2,-1.0433851559956868,-2.713548656304677,0.6176340202490486,60
calib,all,31,mutation,logit,0.5,0.45,0.55,120,30,4.6,0.03333333333333333,0.0,0.1,-2.8542470296223956,-7.856203104654948,2.0415863037109365,60
calib,all,8,mutation,probe,1.0,1.0,1.0,120,30,0.0,1.0,1.0,1.0,1.8891133358081182,1.865200338885188,1.9116799484938383,60
calib,all,16,mutation,probe,1.0,1.0,1.0,120,30,0.0,1.0,1.0,1.0,1.9121387590964636,1.8983834771315258,1.926187966739138,60
calib,all,24,mutation,probe,1.0,1.0,1.0,120,30,0.0,1.0,1.0,1.0,1.9112245311339697,1.8989624114334582,1.9249818102270366,60
calib,all,31,mutation,probe,1.0,1.0,1.0,120,30,0.0,1.0,1.0,1.0,1.897136202454567,1.8818985730657973,1.913441958303253,60
calib,all,8,pre_def,gram_random,0.5,0.5,0.5,120,30,4.566666666666666,0.0,0.0,0.0,0.0,0.0,0.0,60
calib,all,16,pre_def,gram_random,0.5,0.5,0.5,120,30,4.883333333333334,0.0,0.0,0.0,0.0,0.0,0.0,60
calib,all,24,pre_def,gram_random,0.5,0.5,0.5,120,30,5.7,0.0,0.0,0.0,0.0,0.0,0.0,60
calib,all,31,pre_def,gram_random,0.5,0.5,0.5,120,30,5.433333333333334,0.0,0.0,0.0,0.0,0.0,0.0,60
calib,all,8,pre_def,jlens,0.5,0.5,0.5,120,30,4.95,0.0,0.0,0.0,0.0,0.0,0.0,60
calib,all,16,pre_def,jlens,0.5,0.5,0.5,120,30,3.8333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,60
calib,all,24,pre_def,jlens,0.5,0.5,0.5,120,30,4.0,0.0,0.0,0.0,0.0,0.0,0.0,60
calib,all,31,pre_def,jlens,0.5,0.5,0.5,120,30,4.583333333333333,0.0,0.0,0.0,0.0,0.0,0.0,60
calib,all,8,pre_def,logit,0.5,0.5,0.5,120,30,4.566666666666666,0.0,0.0,0.0,0.0,0.0,0.0,60
calib,all,16,pre_def,logit,0.5,0.5,0.5,120,30,4.933333333333334,0.0,0.0,0.0,0.0,0.0,0.0,60
calib,all,24,pre_def,logit,0.5,0.5,0.5,120,30,4.633333333333334,0.0,0.0,0.0,0.0,0.0,0.0,60
calib,all,31,pre_def,logit,0.5,0.5,0.5,120,30,4.566666666666666,0.0,0.0,0.0,0.0,0.0,0.0,60
calib,all,8,pre_def,probe,0.5,0.5,0.5,120,30,0.5,0.0,0.0,0.0,0.0,0.0,0.0,60
calib,all,16,pre_def,probe,0.5,0.5,0.5,120,30,0.5,0.0,0.0,0.0,0.0,0.0,0.0,60
calib,all,24,pre_def,probe,0.5,0.5,0.5,120,30,0.5,0.0,0.0,0.0,0.0,0.0,0.0,60
calib,all,31,pre_def,probe,0.5,0.5,0.5,120,30,0.5,0.0,0.0,0.0,0.0,0.0,0.0,60
calib,all,8,use,gram_random,0.475,0.4166666666666667,0.5416666666666666,120,30,4.733333333333333,0.05,0.0,0.13333333333333333,0.0021059894002974032,-0.005990144716730962,0.011498962029193828,60
calib,all,16,use,gram_random,0.49166666666666664,0.4583333333333333,0.525,120,30,4.85,0.05,0.0,0.11666666666666667,-0.002806469984352589,-0.0169418055874606,0.012023063087835907,60
calib,all,24,use,gram_random,0.4583333333333333,0.4,0.5083333333333333,120,30,4.508333333333334,0.016666666666666666,0.0,0.05,-0.050286870015164215,-0.0900317713059485,-0.014526873456003767,60
calib,all,31,use,gram_random,0.5083333333333333,0.5,0.525,120,30,4.641666666666667,0.016666666666666666,0.0,0.05,-0.028775104880332948,-0.09232418735822041,0.03220759569356838,60
calib,all,8,use,jlens,0.48333333333333334,0.43333333333333335,0.525,120,30,5.575,0.03333333333333333,0.0,0.08333333333333333,0.0005610506981611252,-0.0124738941139852,0.012601055079139755,60
calib,all,16,use,jlens,0.55,0.48333333333333334,0.625,120,30,2.1083333333333334,0.18333333333333332,0.08333333333333333,0.3,0.03554388247430325,0.0046374013678481185,0.0635854830748091,60
calib,all,24,use,jlens,0.48333333333333334,0.4083333333333333,0.5583333333333333,120,30,2.591666666666667,0.11666666666666667,0.03333333333333333,0.21666666666666667,0.05770747264226277,-0.014898954865833123,0.12749016559372342,60
calib,all,31,use,jlens,0.5583333333333333,0.5166666666666667,0.6,120,30,4.166666666666667,0.11666666666666667,0.03333333333333333,0.2,0.08499293327331543,0.0021742731332778935,0.16492017209529872,60
calib,all,8,use,logit,0.5416666666666666,0.45,0.6416666666666667,120,30,3.025,0.23333333333333334,0.1,0.38333333333333336,0.3458537528912226,-0.12377265875538189,0.8166568266352017,60
calib,all,16,use,logit,0.55,0.48333333333333334,0.6166666666666667,120,30,2.9916666666666667,0.15,0.05,0.26666666666666666,0.8684364418188731,0.25111427500844,1.4655843597153821,60
calib,all,24,use,logit,0.5333333333333333,0.48333333333333334,0.5916666666666667,120,30,3.1666666666666665,0.13333333333333333,0.05,0.23333333333333334,1.5445136109987894,0.08563607076803845,3.018355542322,60
calib,all,31,use,logit,0.5583333333333333,0.5166666666666667,0.6,120,30,4.166666666666667,0.11666666666666667,0.03333333333333333,0.2,2.577986145019531,0.06554962158203126,5.002768491109211,60
calib,all,8,use,probe,1.0,1.0,1.0,120,30,0.0,1.0,1.0,1.0,1.8901939123868943,1.874966022570928,1.9060016677280267,60
calib,all,16,use,probe,1.0,1.0,1.0,120,30,0.0,1.0,1.0,1.0,1.9217881739139557,1.9117474451412757,1.932033999338746,60
calib,all,24,use,probe,1.0,1.0,1.0,120,30,0.0,1.0,1.0,1.0,1.9040173023939133,1.8923871803283692,1.9160718515515327,60
calib,all,31,use,probe,1.0,1.0,1.0,120,30,0.0,1.0,1.0,1.0,1.8812714477380117,1.8666874075184265,1.8962009166181086,60
calib,both_correct,8,answer,gram_random,0.5,0.5,0.5,56,23,3.875,0.0,0.0,0.0,-0.00023356026836803982,-0.0011333150074018963,0.0006205036105067107,28
calib,both_correct,16,answer,gram_random,0.5357142857142857,0.43548387096774194,0.6346982758620685,56,23,6.035714285714286,0.17857142857142858,0.060561497326203216,0.3333333333333333,0.01353973409693156,-0.009533490536478225,0.03687093929435673,28
calib,both_correct,24,answer,gram_random,0.4642857142857143,0.38325000000000004,0.5535714285714286,56,23,5.875,0.07142857142857142,0.0,0.19230769230769232,-0.013805665607963289,-0.06474869863584344,0.03480789436648287,28
calib,both_correct,31,answer,gram_random,0.5357142857142857,0.5,0.5961538461538461,56,23,5.017857142857143,0.07142857142857142,0.0,0.19230769230769232,0.026662778641496385,-0.04357362495267332,0.10451495369466449,28
calib,both_correct,8,answer,jlens,0.48214285714285715,0.4423076923076923,0.5,56,23,6.160714285714286,0.0,0.0,0.0,-0.00024096002536160604,-0.001270657610790483,0.0007352962351307775,28
calib,both_correct,16,answer,jlens,0.5892857142857143,0.52,0.6666666666666666,56,23,2.3392857142857144,0.17857142857142858,0.04,0.3333333333333333,0.06422768453402179,0.04596440962728645,0.0819461520158109,28
calib,both_correct,24,answer,jlens,0.7678571428571429,0.6785714285714286,0.8518518518518519,56,23,2.7857142857142856,0.5357142857142857,0.35714285714285715,0.7037037037037037,1.3121198468974657,1.0670134887720146,1.5624464611853321,28
calib,both_correct,31,answer,jlens,0.8214285714285714,0.7321428571428571,0.9032258064516129,56,23,2.125,0.6428571428571429,0.4642857142857143,0.8064516129032258,1.262155260358538,0.9896343899974772,1.4985602954338335,28
calib,both_correct,8,answer,logit,0.5,0.5,0.5,56,23,5.267857142857143,0.0,0.0,0.0,-0.019263803958892822,-0.06415378239648095,0.019835168218671387,28
calib,both_correct,16,answer,logit,0.5714285714285714,0.5166666666666667,0.6481481481481481,56,23,2.517857142857143,0.14285714285714285,0.03333333333333333,0.2962962962962963,1.8402422155652727,1.3946759261431232,2.2846754155005176,28
calib,both_correct,24,answer,logit,0.75,0.6551724137931034,0.8448275862068966,56,23,2.8392857142857144,0.5,0.3103448275862069,0.6896551724137931,26.33300851072584,20.642239399751027,32.220488600582904,28
calib,both_correct,31,answer,logit,0.8214285714285714,0.7321428571428571,0.9032258064516129,56,23,2.125,0.6428571428571429,0.4642857142857143,0.8064516129032258,38.28892299107143,30.02154962453665,45.45897952834013,28
calib,both_correct,8,answer,probe,1.0,1.0,1.0,56,23,0.0,1.0,1.0,1.0,1.734505023275103,1.6902850465370074,1.7778688560536615,28
calib,both_correct,16,answer,probe,1.0,1.0,1.0,56,23,0.0,1.0,1.0,1.0,1.8902973937136787,1.8734582141041756,1.9071180024462888,28
calib,both_correct,24,answer,probe,1.0,1.0,1.0,56,23,0.0,1.0,1.0,1.0,1.9396712609699793,1.9198658670298756,1.9615621818949778,28
calib,both_correct,31,answer,probe,1.0,1.0,1.0,56,23,0.0,1.0,1.0,1.0,1.9422373005322047,1.9225687895866639,1.9628749546284476,28
calib,both_correct,8,def_source,gram_random,0.5,0.5,0.5,56,23,4.821428571428571,0.0,0.0,0.0,0.0,0.0,0.0,28
calib,both_correct,16,def_source,gram_random,0.5,0.5,0.5,56,23,5.571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,28
