model,lens,layer,relative_depth,prompt_style,condition,condition_kind,condition_order,base_id,family,structure,orientation,taint_delta_contrast_z,taint_delta_contrast_prob,taint_contrast_z_unsafe,taint_contrast_z_safe,model_delta_margin,model_margin_unsafe,model_margin_safe,model_correct_unsafe,model_correct_safe,security_delta_contrast_z,security_delta_contrast_prob
starcoder2-3b,jlens,-1,,e6,clean_heldout,clean,-1,command_exec_assign_chain_02,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.0361328125,-0.2216796875,-0.2578125,0,1,0.0,0.0
starcoder2-3b,jlens,-1,,sink,clean_heldout,clean,-1,command_exec_assign_chain_02,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,-0.01171875,0.3984375,0.41015625,1,0,0.0,0.0
starcoder2-3b,jlens,-1,,e6,encode_only,atomic,13,command_exec_assign_chain_02,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.040039002895355225,-0.3125000596046448,-0.3525390625,0,1,0.0,0.0
starcoder2-3b,jlens,-1,,sink,encode_only,atomic,13,command_exec_assign_chain_02,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.001953125,0.3984375,0.396484375,1,0,0.0,0.0
starcoder2-3b,jlens,-1,,e6,flatten_only,atomic,14,command_exec_assign_chain_02,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,-0.0263671875,0.00048828125,0.02685546875,1,0,0.0,0.0
starcoder2-3b,jlens,-1,,sink,flatten_only,atomic,14,command_exec_assign_chain_02,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.0234375,0.28515625,0.26171875,1,0,0.0,0.0
starcoder2-3b,jlens,-1,,e6,normalize,baseline,0,command_exec_assign_chain_02,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.044921875,-0.380859375,-0.42578125,0,1,0.0,0.0
starcoder2-3b,jlens,-1,,sink,normalize,baseline,0,command_exec_assign_chain_02,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,-0.009765625,0.326171875,0.3359375,1,0,0.0,0.0
starcoder2-3b,jlens,-1,,e6,opaque_only,atomic,12,command_exec_assign_chain_02,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.0791015625,0.04296875,-0.0361328125,1,1,0.0,0.0
starcoder2-3b,jlens,-1,,sink,opaque_only,atomic,12,command_exec_assign_chain_02,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.01953125,-0.091796875,-0.111328125,0,1,0.0,0.0
starcoder2-3b,jlens,-1,,e6,rename_cumulative,cumulative,21,command_exec_assign_chain_02,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.0087890625,-0.4130859375,-0.421875,0,1,0.0,0.0
starcoder2-3b,jlens,-1,,sink,rename_cumulative,cumulative,21,command_exec_assign_chain_02,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,-0.01953125,-0.263671875,-0.244140625,0,1,0.0,0.0
starcoder2-3b,jlens,-1,,e6,rename_only,atomic,11,command_exec_assign_chain_02,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.01953125,-0.3515625,-0.37109375,0,1,0.0,0.0
