layer,task,accuracy,f1,auc,control_accuracy,selectivity,n_train,n_test,n_groups,pos_frac,converged,control_converged,notes,n_classes,majority_class_rate,anchor,features
7,binding,1.0,1.0,1.0,0.480625,0.5193749999999999,1280,320,400,0.5,True,True,,2,0.5,use,hidden
7,binding,0.5,0.39064138465759946,0.5,0.5075000000000001,-0.007500000000000062,1280,320,400,0.5,False,True,,2,0.5,use,surface
11,binding,1.0,1.0,1.0,0.476875,0.5231250000000001,1280,320,400,0.5,True,True,,2,0.5,use,hidden
11,binding,0.5,0.39064138465759946,0.5,0.5075000000000001,-0.007500000000000062,1280,320,400,0.5,False,True,,2,0.5,use,surface
15,binding,1.0,1.0,1.0,0.46375,0.53625,1280,320,400,0.5,True,True,,2,0.5,use,hidden
15,binding,0.5,0.39064138465759946,0.5,0.5075000000000001,-0.007500000000000062,1280,320,400,0.5,False,True,,2,0.5,use,surface
