layer,rank,n_train,converged,orthogonality_error,concentration_top5,uniform_top5,final_loss
7,1,160,True,6.747617531388528e-08,0.011485275811959253,0.0016276041666666667,0.005109473597258329
7,2,160,True,2.0661554334111543e-07,0.009867937004633804,0.0016276041666666667,0.004240529611706734
7,4,160,True,3.3259857890044486e-07,0.0075277099100392215,0.0016276041666666667,0.0029887701384723186
11,1,160,True,2.2389117093624122e-07,0.013350044239541684,0.0016276041666666667,0.005453069694340229
11,2,160,True,1.7398908602750396e-07,0.007993681656270995,0.0016276041666666667,0.004198653623461723
11,4,160,True,7.092912102102389e-08,0.014336777754713556,0.0016276041666666667,0.003443191759288311
15,1,160,True,1.0715608689260137e-07,0.013186483526024159,0.0016276041666666667,0.006448593456298113
15,2,160,True,1.8644499322206798e-07,0.012083960489606286,0.0016276041666666667,0.005718345288187265
15,4,160,True,2.867008852547315e-07,0.01695456108337699,0.0016276041666666667,0.004578437656164169
