base_id,split,arm,binding,site,variant,layer,rank,own_answer,installed_answer,clean_logit_diff,patched_logit_diff,delta_ld,clean_logit_diff_unbatched,clean_path_shift,flipped,says_installed,says_own,says_other,edit_fraction,edit_norm,state_norm,effective_rank,degenerate,gates_required,gate_override,gate_override_reason
base_0000,test,ba,target,use,whole_state,6,3072,2,4,-0.9374999403953552,1.1875,2.1249999403953552,-0.9374999403953552,0.0,1,1,0,0,0.727505572323865,15.452498927116459,21.240385661592487,3072,False,"H0,H1,H2",False,
base_0000,test,ba,target,use,noop,6,0,2,4,-0.9375,-0.9375,0.0,-0.9374999403953552,-5.960464477539063e-08,0,0,1,0,0.0,0.0,21.240385661592487,0,True,"H0,H1,H2",False,
base_0001,test,ab,source,def_source,whole_state,6,3072,3,2,-1.875,-1.875,0.0,-1.8750001192092896,1.1920928955078125e-07,0,0,1,0,0.0,0.0,21.439174760893955,3072,True,"H0,H1,H2",False,
base_0001,test,ab,source,def_source,noop,6,0,3,2,-1.875,-1.875,0.0,-1.8750001192092896,1.1920928955078125e-07,0,0,1,0,0.0,0.0,21.439174760893955,0,True,"H0,H1,H2",False,
base_0001,test,ab,source,def_target,whole_state,6,3072,3,2,-1.8750001192092896,-1.625,0.25000011920928955,-1.8750001192092896,0.0,0,0,1,0,0.5010542715181103,10.141731189304194,20.24078381484794,3072,False,"H0,H1,H2",False,
base_0001,test,ab,source,def_target,noop,6,0,3,2,-1.875,-1.875,0.0,-1.8750001192092896,1.1920928955078125e-07,0,0,1,0,0.0,0.0,20.24078381484794,0,True,"H0,H1,H2",False,
base_0001,test,ab,source,mutation,whole_state,6,3072,3,2,-1.8749998807907104,-1.71875,0.15624988079071045,-1.8750001192092896,2.384185791015625e-07,0,0,1,0,1.0180651115876667,19.429870908204993,19.08509651008885,3072,False,"H0,H1,H2",False,
base_0001,test,ab,source,mutation,noop,6,0,3,2,-1.875,-1.875,0.0,-1.8750001192092896,1.1920928955078125e-07,0,0,1,0,0.0,0.0,19.08509651008885,0,True,"H0,H1,H2",False,
base_0001,test,ab,source,use,whole_state,6,3072,3,2,-1.875,0.15625,2.03125,-1.8750001192092896,1.1920928955078125e-07,1,1,0,0,0.7700042997437269,16.625530769678615,21.59147783358084,3072,False,"H0,H1,H2",False,
base_0001,test,ab,source,use,noop,6,0,3,2,-1.875,-1.875,0.0,-1.8750001192092896,1.1920928955078125e-07,0,0,1,0,0.0,0.0,21.59147783358084,0,True,"H0,H1,H2",False,
base_0001,test,ab,target,def_source,whole_state,6,3072,2,3,-1.21875,-1.21875,0.0,-1.21875,0.0,0,0,1,0,0.0,0.0,21.439174760893955,3072,True,"H0,H1,H2",False,
base_0001,test,ab,target,def_source,noop,6,0,2,3,-1.25,-1.25,0.0,-1.21875,-0.03125,0,0,1,0,0.0,0.0,21.439174760893955,0,True,"H0,H1,H2",False,
base_0001,test,ab,target,def_target,whole_state,6,3072,2,3,-1.21875,-1.28125,-0.0625,-1.21875,0.0,0,0,1,0,0.49110852372510955,10.141731189304194,20.65069266641536,3072,False,"H0,H1,H2",False,
base_0001,test,ab,target,def_target,noop,6,0,2,3,-1.25,-1.25,0.0,-1.21875,-0.03125,0,0,1,0,0.0,0.0,20.65069266641536,0,True,"H0,H1,H2",False,
base_0001,test,ab,target,mutation,whole_state,6,3072,2,3,-1.21875,-1.21875,0.0,-1.21875,0.0,0,0,1,0,0.8955821787235192,19.429870908204993,21.695240671155997,3072,False,"H0,H1,H2",False,
base_0001,test,ab,target,mutation,noop,6,0,2,3,-1.25,-1.25,0.0,-1.21875,-0.03125,0,0,1,0,0.0,0.0,21.695240671155997,0,True,"H0,H1,H2",False,
base_0001,test,ab,target,use,whole_state,6,3072,2,3,-1.21875,0.9375,2.15625,-1.21875,0.0,1,1,0,0,0.7442676250402934,16.625530769678615,22.33810824268829,3072,False,"H0,H1,H2",False,
base_0001,test,ab,target,use,noop,6,0,2,3,-1.25,-1.25,0.0,-1.21875,-0.03125,0,0,1,0,0.0,0.0,22.33810824268829,0,True,"H0,H1,H2",False,
base_0001,test,ba,source,def_source,whole_state,6,3072,2,3,-2.0,-2.0,0.0,-2.0,0.0,0,0,1,0,0.0,0.0,22.097166614927687,3072,True,"H0,H1,H2",False,
base_0001,test,ba,source,def_source,noop,6,0,2,3,-2.0,-2.0,0.0,-2.0,0.0,0,0,1,0,0.0,0.0,22.097166614927687,0,True,"H0,H1,H2",False,
