base_id,split,arm,binding,site,variant,layer,rank,own_answer,installed_answer,clean_logit_diff,patched_logit_diff,delta_ld,clean_logit_diff_unbatched,clean_path_shift,flipped,says_installed,says_own,says_other,edit_fraction,edit_norm,state_norm,effective_rank,degenerate,gates_required,gate_override,gate_override_reason
base_0001,test,ab,source,use,das_binding,12,1,3,2,-1.875,5.984375,7.859375,-1.8750001192092896,1.1920928955078125e-07,1,1,0,0,0.46264317424303797,14.951733666356327,32.318068219248836,1,False,"H0,H1,H2,H3",False,
base_0001,test,ab,source,use,das_answer_control,12,1,3,2,-1.875,4.03125,5.90625,-1.8750001192092896,1.1920928955078125e-07,1,1,0,0,0.4626431742430381,14.951733666356331,32.318068219248836,1,False,"H0,H1,H2,H3",False,
base_0001,test,ab,source,use,mean_difference,12,1,3,2,-1.875,-0.375,1.5,-1.8750001192092896,1.1920928955078125e-07,0,0,1,0,0.6830082878359417,22.07350844059431,32.318068219248836,1,False,"H0,H1,H2,H3",False,
base_0001,test,ab,source,use,random_rank,12,1,3,2,-1.8750001192092896,-1.84375,0.03125011920928955,-1.8750001192092896,0.0,0,0,1,0,0.014088309334424766,0.45530694216381973,32.318068219248836,1,False,"H0,H1,H2,H3",False,
base_0001,test,ab,source,use,random_norm,12,1728,3,2,-1.8750001192092896,-1.5,0.37500011920928955,-1.8750001192092896,0.0,0,0,1,0,0.588177924511151,19.008774289407572,32.318068219248836,1728,False,"H0,H1,H2,H3",False,
base_0001,test,ab,source,use,noop,12,1,3,2,-1.875,-1.875,0.0,-1.8750001192092896,1.1920928955078125e-07,0,0,1,0,0.0,0.0,32.318068219248836,1,True,"H0,H1,H2,H3",False,
base_0001,test,ab,source,use,whole_state,12,3072,3,2,-1.875,0.9375,2.8125,-1.8750001192092896,1.1920928955078125e-07,1,1,0,0,0.7671290937872739,24.792130385987658,32.318068219248836,3072,False,"H0,H1,H2,H3",False,
base_0001,test,ab,target,use,das_binding,12,1,2,3,-1.25,6.03125,7.28125,-1.21875,-0.03125,1,1,0,0,0.47383677473047314,14.951733666356327,31.55460796570959,1,False,"H0,H1,H2,H3",False,
base_0001,test,ab,target,use,das_answer_control,12,1,2,3,-1.25,3.375,4.625,-1.21875,-0.03125,1,1,0,0,0.47383677473047325,14.951733666356331,31.55460796570959,1,False,"H0,H1,H2,H3",False,
base_0001,test,ab,target,use,mean_difference,12,1,2,3,-1.21875,-0.015625,1.203125,-1.21875,0.0,0,0,1,0,0.699533597900554,22.07350844059431,31.55460796570959,1,False,"H0,H1,H2,H3",False,
