base_id,split,arm,binding,site,variant,layer,rank,own_answer,installed_answer,clean_logit_diff,patched_logit_diff,delta_ld,clean_logit_diff_unbatched,clean_path_shift,flipped,says_installed,says_own,says_other,edit_fraction,edit_norm,state_norm,effective_rank,degenerate,gates_required,gate_override,gate_override_reason
base_0259,calib,ab,target,use,whole_state,12,3072,3,7,-0.6875,0.4999999403953552,1.1874999403953552,-0.6875,0.0,1,1,0,0,0.7773134307401965,24.394156172656718,31.38265107477609,3072,False,"H0,H1,H2,H3",False,
base_0259,calib,ba,source,use,das_binding,12,1,3,7,-2.5625,5.84375,8.40625,-2.5625,0.0,1,1,0,0,0.46349975225637463,14.478573909026082,31.237500858506564,1,False,"H0,H1,H2,H3",False,
base_0259,calib,ba,source,use,whole_state,12,3072,3,7,-2.5625,-1.28125,1.28125,-2.5625,0.0,0,0,1,0,0.7731081376109412,24.149966112340188,31.237500858506564,3072,False,"H0,H1,H2,H3",False,
base_0259,calib,ba,target,use,das_binding,12,1,7,3,-0.21875,6.5625,6.78125,-0.1875,-0.03125,1,1,0,0,0.46472449295818274,14.478573909026082,31.155177160694446,1,False,"H0,H1,H2,H3",False,
base_0259,calib,ba,target,use,whole_state,12,3072,7,3,-0.1875,0.625,0.8125,-0.1875,0.0,1,1,0,0,0.7751509801333413,24.149966112340188,31.155177160694446,3072,False,"H0,H1,H2,H3",False,
base_0264,calib,ab,source,use,das_binding,12,1,5,4,-2.6875,5.65625,8.34375,-2.6875,0.0,1,1,0,0,0.4800826711697574,15.42743052990359,32.13494561741523,1,False,"H0,H1,H2,H3",False,
base_0264,calib,ab,source,use,whole_state,12,3072,5,4,-2.6875,-0.8125,1.875,-2.6875,0.0,0,0,1,0,0.7733427377097517,24.85132681992588,32.13494561741523,3072,False,"H0,H1,H2,H3",False,
base_0264,calib,ab,target,use,das_binding,12,1,4,5,-0.65625,6.859375,7.515625,-0.625,-0.03125,1,1,0,0,0.47507481399860096,15.42743052990359,32.47368640752448,1,False,"H0,H1,H2,H3",False,
base_0264,calib,ab,target,use,whole_state,12,3072,4,5,-0.6250000596046448,0.9218749403953552,1.546875,-0.625,-5.960464477539063e-08,1,1,0,0,0.7652758146413453,24.85132681992588,32.47368640752448,3072,False,"H0,H1,H2,H3",False,
base_0264,calib,ba,source,use,das_binding,12,1,4,5,-3.3125,7.0625,10.375,-3.28125,-0.03125,1,1,0,0,0.49091767506367595,15.885926663178093,32.359655131825434,1,False,"H0,H1,H2,H3",False,
base_0264,calib,ba,source,use,whole_state,12,3072,4,5,-3.28125,-1.03125,2.25,-3.28125,0.0,0,0,1,0,0.7923352764758593,25.639696295538364,32.359655131825434,3072,False,"H0,H1,H2,H3",False,
base_0264,calib,ba,target,use,das_binding,12,1,5,4,-0.7187500596046448,6.78125,7.500000059604645,-0.71875,-5.960464477539063e-08,1,1,0,0,0.4886212316594072,15.885926663178093,32.51174045226786,1,False,"H0,H1,H2,H3",False,
base_0264,calib,ba,target,use,whole_state,12,3072,5,4,-0.7187500596046448,1.125,1.8437500596046448,-0.71875,-5.960464477539063e-08,1,1,0,0,0.7886288441918792,25.639696295538364,32.51174045226786,3072,False,"H0,H1,H2,H3",False,
base_0268,calib,ab,source,use,das_binding,12,1,6,7,-1.75,5.515625,7.265625,-1.75,0.0,1,1,0,0,0.44859461036446535,14.02214005456641,31.257932508761034,1,False,"H0,H1,H2,H3",False,
base_0268,calib,ab,source,use,whole_state,12,3072,6,7,-1.75,-0.6875,1.0625,-1.75,0.0,0,0,1,0,0.7687599913118602,24.029847923861844,31.257932508761034,3072,False,"H0,H1,H2,H3",False,
base_0268,calib,ab,target,use,das_binding,12,1,7,6,-1.03125,5.53125,6.5625,-1.03125,0.0,1,1,0,0,0.44209390720492403,14.02214005456641,31.717560061434458,1,False,"H0,H1,H2,H3",False,
