arm,variant,site,rank,rank_min,rank_max,layer,split,delta_ld,ci_lo,ci_hi,flip_rate,says_installed_rate,says_other_rate,edit_fraction,edit_norm,state_norm,n,n_bases
ab,das_answer_control,use,1,1,1,12,test,4.751674105493086,4.595190427260739,4.900032084420589,0.9428571428571428,0.9660714285714286,0.0,0.4660048507177728,14.884236278409247,31.946411958899397,560,280
ab,das_binding,use,1,1,1,12,test,7.7404017855546305,7.6617313066124915,7.816247907694695,0.9767857142857143,1.0,0.0,0.4660048507177728,14.884236278409244,31.946411958899397,560,280
ab,mean_difference,use,1,1,1,12,test,1.0662109376596554,1.025055106342105,1.10731026819508,0.44821428571428573,0.4714285714285714,0.0,0.696682330509531,22.2518617005072,31.946411958899397,560,280
ab,noop,def_source,1,1,1,12,test,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,31.51007104637093,120,60
ab,noop,use,1,1,1,12,test,0.0,0.0,0.0,0.0,0.023214285714285715,0.0,0.0,0.0,31.946411958899397,560,280
ab,random_norm,use,1216,832,1920,12,test,0.41721540061490875,0.3790994690438466,0.4537988275914852,0.18392857142857144,0.2125,0.0,0.5147643531137949,16.441353501923828,31.946411958899397,560,280
ab,random_rank,use,1,1,1,12,test,0.003348213966403687,0.0017578124707298616,0.004771903750619712,0.0,0.023214285714285715,0.0,0.013217929180552795,0.4219574948083649,31.946411958899397,560,280
ab,whole_state,def_source,3072,3072,3072,12,test,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,31.51007104637093,120,60
ab,whole_state,use,3072,3072,3072,12,test,1.6270647294819356,1.5684751652979425,1.6830503589686538,0.5964285714285714,0.6267857142857143,0.0,0.7812725816730232,24.95096561756968,31.946411958899397,560,280
ba,das_answer_control,use,1,1,1,12,test,1.105245533425893,0.9235156252088824,1.276788499911449,0.44285714285714284,0.4517857142857143,0.005357142857142857,0.46704443411044444,14.910400930479655,31.932115374909262,560,280
ba,das_binding,use,1,1,1,12,test,7.764871653222612,7.6929359672777355,7.834213171085077,0.9875,1.0,0.0,0.46704443411044433,14.910400930479653,31.932115374909262,560,280
ba,mean_difference,use,1,1,1,12,test,1.0777901800083263,1.03886439723894,1.116886859807585,0.44285714285714284,0.4589285714285714,0.0,0.6982033492416775,22.29003930724401,31.932115374909262,560,280
ba,noop,def_source,1,1,1,12,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.645120435775144,120,60
ba,noop,use,1,1,1,12,test,0.0,0.0,0.0,0.0,0.014285714285714285,0.0,0.0,0.0,31.932115374909262,560,280
ba,random_norm,use,1216,832,1920,12,test,0.42327008694410323,0.38772042179746286,0.4578982967204813,0.20535714285714285,0.22321428571428573,0.0,0.5144908045997625,16.424878620490862,31.932115374909262,560,280
ba,random_rank,use,1,1,1,12,test,0.00357142649590969,0.0020640305270041735,0.005078822198723038,0.0,0.014285714285714285,0.0,0.013134483177808121,0.4191324264968019,31.932115374909262,560,280
ba,whole_state,def_source,3072,3072,3072,12,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.645120435775144,120,60
ba,whole_state,use,3072,3072,3072,12,test,1.6598493299313954,1.6018938343426479,1.7180929160397498,0.6321428571428571,0.6464285714285715,0.0,0.7826649646056383,24.984190342581844,31.932115374909262,560,280
