model,split,correct_only,contrast,contrast_kind,contrast_order,binding_changes,expect,layer,target_condition,statistic,role,token_identical,n_pairs,n_bases,mean_delta,median_delta,sd_delta,cohens_d,ci_lo,ci_hi,sign_consistency,n_nonzero,degenerate,sign_test_p,permutation_p,permutation_effect_size,mean_frac_from,mean_frac_to,same_target_token,median_abs_rho_minus_one
deepseek-coder-6.7b,calib,0,flip_ab,binding_flip,0,1,shift,0,bound,binding_shift,binding_shift,0,120,120,0.1305590606939783,0.13172188505103588,0.015723225101304347,8.303580203984204,0.12775180179703371,0.1333667114789215,1.0,120,0,1.504632769052528e-36,0.0,10.89155180555372,,,0,1.9401475381819466e-07
deepseek-coder-6.7b,calib,0,flip_ab,binding_flip,0,1,shift,0,bound,binding_shift_identical,binding_shift_identical,1,120,120,0.12793014334983474,0.12901301195578574,0.01481914641049623,8.632760606186014,0.12521102821154767,0.13054370951895006,1.0,120,0,1.504632769052528e-36,0.0,10.907151638122782,,,0,1.9401475381819466e-07
deepseek-coder-6.7b,calib,0,flip_ab,binding_flip,0,1,shift,0,bound,delta_frac_both_defs,both_defs,0,120,120,-0.027874952441003555,-0.02731244950789599,0.01570249272786334,-1.7751928260116785,-0.030661422935912185,-0.02499832589607946,0.008333333333333333,120,0,1.8206056505535589e-34,0.0,-9.331042048107538,0.47000879841972193,0.4421338459787183,0,1.9401475381819466e-07
deepseek-coder-6.7b,calib,0,flip_ab,binding_flip,0,1,shift,0,bound,delta_frac_inner_def,inner_def,0,120,120,0.05134205412648737,0.05081441282611224,0.00799369149824466,6.422821563449328,0.0499539075176855,0.052725193430081266,1.0,120,0,1.504632769052528e-36,0.0,10.910099170477098,0.026766858407048923,0.0781089125335363,0,1.9401475381819466e-07
deepseek-coder-6.7b,calib,0,flip_ab,binding_flip,0,1,shift,0,bound,delta_frac_inner_def_identical,inner_def_identical,1,120,120,0.048713136782343805,0.047777365930223394,0.007509301632799331,6.487039562983227,0.04739440245007112,0.050037513062396385,1.0,120,0,1.504632769052528e-36,0.0,10.943320321025464,0.02229262129206695,0.07100575807441076,0,1.9401475381819466e-07
deepseek-coder-6.7b,calib,0,flip_ab,binding_flip,0,1,shift,0,bound,delta_frac_inner_def_name,inner_def_name,0,120,120,0.002628917344143557,0.0023487951091568674,0.004953114016674738,0.530760514555745,0.0017763178893209612,0.0035468114441664094,0.6916666666666667,120,0,3.243159445418542e-05,0.0,5.050067336926855,0.004474237114981973,0.007103154459125532,0,1.9401475381819466e-07
deepseek-coder-6.7b,calib,0,flip_ab,binding_flip,0,1,shift,0,bound,delta_frac_inner_def_value,inner_def_value,1,120,120,0.048713136782343805,0.047777365930223394,0.007509301632799331,6.487039562983227,0.04739440245007112,0.050037513062396385,1.0,120,0,1.504632769052528e-36,0.0,10.943320321025464,0.02229262129206695,0.07100575807441076,0,1.9401475381819466e-07
deepseek-coder-6.7b,calib,0,flip_ab,binding_flip,0,1,shift,0,bound,delta_frac_other,other,1,120,120,0.04082613116205573,0.0409795671066816,0.009834964113657307,4.1511215181113466,0.03909618733044213,0.042575119020849504,1.0,120,0,1.504632769052528e-36,0.0,10.727808194423169,0.29138847773438553,0.3322146088964413,0,1.9401475381819466e-07
deepseek-coder-6.7b,calib,0,flip_ab,binding_flip,0,1,shift,0,bound,delta_frac_outer_def,outer_def,1,120,120,-0.07921700656749092,-0.07841698788114362,0.01352756219569273,-5.8559706044237725,-0.08176161799368223,-0.07679826543517783,0.0,120,0,1.504632769052528e-36,0.0,-10.763764347359672,0.4432419400126729,0.364024933445182,0,1.9401475381819466e-07
deepseek-coder-6.7b,calib,0,flip_ab,binding_flip,0,1,shift,0,bound,delta_frac_outer_def_name,outer_def_name,1,120,120,-0.03546861440234559,-0.03511221362902406,0.007960514877748083,-4.455567880601608,-0.03691634229819746,-0.03411252371033562,0.0,120,0,1.504632769052528e-36,0.0,-10.683061530930738,0.37694117386532844,0.3414725594629828,0,1.9401475381819466e-07
