model,arm,binding,layer,target_mode,position,role,mean_frac,median_frac,n
deepseek-coder-6.7b,ba,source,0,bound,14,return_kw,0.020576910125865645,0.020069241349414603,400
deepseek-coder-6.7b,ba,source,0,bound,15,use_site,0.022644845564093127,0.021874944255172134,400
deepseek-coder-6.7b,ba,source,0,bound,16,suffix,0.010925457183650315,0.010905922726308756,400
deepseek-coder-6.7b,ba,source,0,bound,17,suffix,0.04380571383812313,0.043856401160987143,400
deepseek-coder-6.7b,ba,source,0,bound,18,suffix,0.005587581623037183,0.0055990616985887925,400
deepseek-coder-6.7b,ba,source,0,bound,19,suffix,0.023428065427558466,0.02325966739187578,400
deepseek-coder-6.7b,ba,source,0,bound,20,suffix,0.08183370979305984,0.08161577698004545,400
deepseek-coder-6.7b,ba,target,0,bound,0,outer_def_name,0.3421363718420504,0.342524132399299,400
deepseek-coder-6.7b,ba,target,0,bound,1,other,0.010904268569451593,0.011127244171373975,400
deepseek-coder-6.7b,ba,target,0,bound,2,outer_def_value,0.02285909139548852,0.022884275940441994,400
deepseek-coder-6.7b,ba,target,0,bound,3,other,0.28105255972941223,0.28137450637574163,400
deepseek-coder-6.7b,ba,target,0,bound,4,signature,0.017243103050916756,0.017525995240879402,400
deepseek-coder-6.7b,ba,target,0,bound,5,signature,0.006290547880001896,0.006562347823647023,400
deepseek-coder-6.7b,ba,target,0,bound,6,signature,0.018405023493915044,0.018437644074570766,400
deepseek-coder-6.7b,ba,target,0,bound,7,other,0.004436201805622285,0.00447228466697325,400
deepseek-coder-6.7b,ba,target,0,bound,8,other,0.002805416262501325,0.0027714333514852673,400
deepseek-coder-6.7b,ba,target,0,bound,9,inner_def_name,0.006998885054830666,0.006933409878438117,400
deepseek-coder-6.7b,ba,target,0,bound,10,other,0.02334808295484507,0.02315044204262198,400
deepseek-coder-6.7b,ba,target,0,bound,11,inner_def_value,0.07084798680784983,0.07095616128138557,400
deepseek-coder-6.7b,ba,target,0,bound,12,other,0.005682797181475487,0.005651115886727795,400
deepseek-coder-6.7b,ba,target,0,bound,13,other,0.0035574950376417187,0.003577263635407983,400
deepseek-coder-6.7b,ba,target,0,bound,14,return_kw,0.018229294084064637,0.018114883740672515,400
deepseek-coder-6.7b,ba,target,0,bound,15,use_site,-0.0004013505288196931,4.421883323340615e-06,400
deepseek-coder-6.7b,ba,target,0,bound,16,suffix,0.009723913185204961,0.0096365255549366,400
deepseek-coder-6.7b,ba,target,0,bound,17,suffix,0.04225279309171996,0.0423560361249374,400
deepseek-coder-6.7b,ba,target,0,bound,18,suffix,0.006903403504439787,0.006958259099461964,400
deepseek-coder-6.7b,ba,target,0,bound,19,suffix,0.02652268249852687,0.026528337406897265,400
deepseek-coder-6.7b,ba,target,0,bound,20,suffix,0.08020162930012387,0.08045649619830586,400
deepseek-coder-6.7b,ab,source,0,other,0,outer_def_name,0.34255617730142957,0.3429063628992408,400
deepseek-coder-6.7b,ab,source,0,other,1,other,0.014025711002856892,0.014545573747076244,400
deepseek-coder-6.7b,ab,source,0,other,2,outer_def_value,0.03234277573995554,0.03213315198163782,400
deepseek-coder-6.7b,ab,source,0,other,3,other,0.2695631341062482,0.2696956955245621,400
deepseek-coder-6.7b,ab,source,0,other,4,signature,0.014933787213881609,0.015123265928910456,400
deepseek-coder-6.7b,ab,source,0,other,5,signature,0.004762139755088226,0.004739872893836975,400
deepseek-coder-6.7b,ab,source,0,other,6,signature,0.014743908242308526,0.0150249880017208,400
deepseek-coder-6.7b,ab,source,0,other,7,other,0.00483756409612504,0.004826807639062368,400
deepseek-coder-6.7b,ab,source,0,other,8,other,0.0017530644746213916,0.0018265066016371055,400
deepseek-coder-6.7b,ab,source,0,other,9,inner_def_name,0.008287923238672107,0.00840069747898712,400
deepseek-coder-6.7b,ab,source,0,other,10,other,0.013125728332726325,0.013250041194723904,400
deepseek-coder-6.7b,ab,source,0,other,11,inner_def_value,0.0449903875020798,0.043997807370423234,400
deepseek-coder-6.7b,ab,source,0,other,12,other,0.005393602454846,0.005354899622852294,400
deepseek-coder-6.7b,ab,source,0,other,13,other,0.0033119905716059296,0.003318741152614703,400
deepseek-coder-6.7b,ab,source,0,other,14,return_kw,0.020368419340466515,0.02002126191627007,400
deepseek-coder-6.7b,ab,source,0,other,15,use_site,0.02819406803294122,0.027727141469174536,400
deepseek-coder-6.7b,ab,source,0,other,16,suffix,0.0115184386133999,0.01146805919241899,400
deepseek-coder-6.7b,ab,source,0,other,17,suffix,0.04613427043957536,0.0462255021017681,400
deepseek-coder-6.7b,ab,source,0,other,18,suffix,0.006749823970770288,0.006751036509323247,400
deepseek-coder-6.7b,ab,source,0,other,19,suffix,0.025578568657304932,0.025480766301537956,400
deepseek-coder-6.7b,ab,source,0,other,20,suffix,0.086828739525796,0.08678059563482293,400
deepseek-coder-6.7b,ab,target,0,other,0,outer_def_name,0.3725150996231926,0.37189740763473195,400
deepseek-coder-6.7b,ab,target,0,other,1,other,0.018249638191306254,0.01826322041791718,400
deepseek-coder-6.7b,ab,target,0,other,2,outer_def_value,0.04221371119148697,0.04249514655958406,400
deepseek-coder-6.7b,ab,target,0,other,3,other,0.26265354807364377,0.2619811976872823,400
deepseek-coder-6.7b,ab,target,0,other,4,signature,0.017262695704061713,0.017100416613177453,400
deepseek-coder-6.7b,ab,target,0,other,5,signature,0.004178114109964484,0.004101867287206623,400
deepseek-coder-6.7b,ab,target,0,other,6,signature,0.014875076963759074,0.014982453806756191,400
deepseek-coder-6.7b,ab,target,0,other,7,other,0.0048742785592802325,0.004862970154652111,400
deepseek-coder-6.7b,ab,target,0,other,8,other,0.0026217435505071353,0.002621116892854539,400
deepseek-coder-6.7b,ab,target,0,other,9,inner_def_name,0.0077290103540744014,0.007276360246009402,400
deepseek-coder-6.7b,ab,target,0,other,10,other,0.013278124055253826,0.013367402564345996,400
deepseek-coder-6.7b,ab,target,0,other,11,inner_def_value,0.03208914242467269,0.03078716621860314,400
deepseek-coder-6.7b,ab,target,0,other,12,other,0.006124021589489123,0.006100034313163117,400
deepseek-coder-6.7b,ab,target,0,other,13,other,0.0037742856936848167,0.003786341963488748,400
deepseek-coder-6.7b,ab,target,0,other,14,return_kw,0.01765085267921067,0.01757270953212544,400
deepseek-coder-6.7b,ab,target,0,other,15,use_site,0.0011539552398553388,0.001343949332183942,400
deepseek-coder-6.7b,ab,target,0,other,16,suffix,0.010707326828605592,0.010634761337710883,400
deepseek-coder-6.7b,ab,target,0,other,17,suffix,0.045146608466611615,0.04495939910008488,400
deepseek-coder-6.7b,ab,target,0,other,18,suffix,0.008585212782261292,0.008638658791714417,400
deepseek-coder-6.7b,ab,target,0,other,19,suffix,0.029306905864379593,0.029168248420175534,400
deepseek-coder-6.7b,ab,target,0,other,20,suffix,0.08501087884220997,0.08429249017166111,400
deepseek-coder-6.7b,ba,source,0,other,0,outer_def_name,0.3426466546903525,0.34267915888546774,400
deepseek-coder-6.7b,ba,source,0,other,1,other,0.014112285182318707,0.014528572179559128,400
deepseek-coder-6.7b,ba,source,0,other,2,outer_def_value,0.032780823265239165,0.03277182502835636,400
deepseek-coder-6.7b,ba,source,0,other,3,other,0.2691547216621128,0.2696915194667325,400
deepseek-coder-6.7b,ba,source,0,other,4,signature,0.014947429109489666,0.014827433067020085,400
deepseek-coder-6.7b,ba,source,0,other,5,signature,0.004754708308421457,0.004677867005994233,400
deepseek-coder-6.7b,ba,source,0,other,6,signature,0.014755810272529018,0.014888428222933615,400
deepseek-coder-6.7b,ba,source,0,other,7,other,0.004864249401915637,0.004887897361110755,400
deepseek-coder-6.7b,ba,source,0,other,8,other,0.001760476763463044,0.0018689890262379816,400
deepseek-coder-6.7b,ba,source,0,other,9,inner_def_name,0.008327451762025123,0.008288009183182992,400
deepseek-coder-6.7b,ba,source,0,other,10,other,0.01312066552588808,0.013379193025426919,400
deepseek-coder-6.7b,ba,source,0,other,11,inner_def_value,0.04476716385735794,0.04424763882489052,400
deepseek-coder-6.7b,ba,source,0,other,12,other,0.0053713760788752195,0.005335970493260409,400
deepseek-coder-6.7b,ba,source,0,other,13,other,0.0033213040054242394,0.0032920498445007276,400
deepseek-coder-6.7b,ba,source,0,other,14,return_kw,0.020449145233704412,0.01995396923751771,400
deepseek-coder-6.7b,ba,source,0,other,15,use_site,0.02826037344281159,0.02796299287548921,400
deepseek-coder-6.7b,ba,source,0,other,16,suffix,0.011513567268695396,0.01145757209853539,400
deepseek-coder-6.7b,ba,source,0,other,17,suffix,0.04603383174931585,0.04607529847767079,400
deepseek-coder-6.7b,ba,source,0,other,18,suffix,0.006741004542508023,0.0067171596212202474,400
deepseek-coder-6.7b,ba,source,0,other,19,suffix,0.025598358420779222,0.025548070732558027,400
deepseek-coder-6.7b,ba,source,0,other,20,suffix,0.08671881112549502,0.08692781569767691,400
deepseek-coder-6.7b,ba,target,0,other,0,outer_def_name,0.37298781266004816,0.37228598486178255,400
deepseek-coder-6.7b,ba,target,0,other,1,other,0.01818787713407476,0.018242381884965034,400
deepseek-coder-6.7b,ba,target,0,other,2,outer_def_value,0.042582780689528636,0.04292054649900191,400
deepseek-coder-6.7b,ba,target,0,other,3,other,0.26246205608739537,0.2617703288546999,400
deepseek-coder-6.7b,ba,target,0,other,4,signature,0.01729869483609299,0.017116172626698106,400
deepseek-coder-6.7b,ba,target,0,other,5,signature,0.004172482281624036,0.004079121848265267,400
deepseek-coder-6.7b,ba,target,0,other,6,signature,0.014784275208720072,0.014751637703068043,400
deepseek-coder-6.7b,ba,target,0,other,7,other,0.0048413159383203,0.004811211000415316,400
deepseek-coder-6.7b,ba,target,0,other,8,other,0.0025653911116640987,0.002573173389901964,400
deepseek-coder-6.7b,ba,target,0,other,9,inner_def_name,0.007687429056763657,0.007405706888732638,400
deepseek-coder-6.7b,ba,target,0,other,10,other,0.013085714158763275,0.013103794492349434,400
deepseek-coder-6.7b,ba,target,0,other,11,inner_def_value,0.03169503281930368,0.030718551468433188,400
deepseek-coder-6.7b,ba,target,0,other,12,other,0.006117240767424928,0.0060963954678210685,400
deepseek-coder-6.7b,ba,target,0,other,13,other,0.0037695175313046028,0.0037692078917399997,400
deepseek-coder-6.7b,ba,target,0,other,14,return_kw,0.01766225265224395,0.017609459264510376,400
deepseek-coder-6.7b,ba,target,0,other,15,use_site,0.0011529920872293189,0.0015717464455751538,400
deepseek-coder-6.7b,ba,target,0,other,16,suffix,0.010693368606747949,0.010598179624906803,400
deepseek-coder-6.7b,ba,target,0,other,17,suffix,0.04529858195273254,0.04500891065939282,400
deepseek-coder-6.7b,ba,target,0,other,18,suffix,0.00858301519676627,0.008699043245121444,400
deepseek-coder-6.7b,ba,target,0,other,19,suffix,0.029283668768516825,0.029338445625807633,400
deepseek-coder-6.7b,ba,target,0,other,20,suffix,0.08508874161132701,0.08479432177627666,400
deepseek-coder-6.7b,ab,source,3,bound,0,outer_def_name,0.3416885784820026,0.3419086986009791,400
deepseek-coder-6.7b,ab,source,3,bound,1,other,0.03102111029005815,0.03139636538867907,400
deepseek-coder-6.7b,ab,source,3,bound,2,outer_def_value,0.08172500563032191,0.08184364796389636,400
deepseek-coder-6.7b,ab,source,3,bound,3,other,0.23279386578542144,0.2320377712255971,400
deepseek-coder-6.7b,ab,source,3,bound,4,signature,0.018016176747679233,0.01777330885586583,400
deepseek-coder-6.7b,ab,source,3,bound,5,signature,0.004446071395667529,0.004362709534911314,400
deepseek-coder-6.7b,ab,source,3,bound,6,signature,0.0053999921853969445,0.005684529508260714,400
deepseek-coder-6.7b,ab,source,3,bound,7,other,0.00863507173988457,0.008703065047571162,400
deepseek-coder-6.7b,ab,source,3,bound,8,other,0.00022363379754171308,0.000339221829386048,400
deepseek-coder-6.7b,ab,source,3,bound,9,inner_def_name,0.004983608508919863,0.0047873855122443805,400
deepseek-coder-6.7b,ab,source,3,bound,10,other,0.0021890881274740496,0.0021715424698447346,400
deepseek-coder-6.7b,ab,source,3,bound,11,inner_def_value,0.025186058729657925,0.0247394963867336,400
deepseek-coder-6.7b,ab,source,3,bound,12,other,0.005110031953672524,0.005106705881753576,400
deepseek-coder-6.7b,ab,source,3,bound,13,other,0.003128334378077031,0.003163273046799137,400
deepseek-coder-6.7b,ab,source,3,bound,14,return_kw,0.019936604658514646,0.01970019553486297,400
deepseek-coder-6.7b,ab,source,3,bound,15,use_site,0.03512842536457216,0.03416710054056577,400
deepseek-coder-6.7b,ab,source,3,bound,16,suffix,0.012823958969565737,0.012590389774044246,400
deepseek-coder-6.7b,ab,source,3,bound,17,suffix,0.03641532276950179,0.03653259107048104,400
deepseek-coder-6.7b,ab,source,3,bound,18,suffix,0.007826588333900984,0.007772580174247504,400
deepseek-coder-6.7b,ab,source,3,bound,19,suffix,0.022569395949493525,0.022646180716761548,400
deepseek-coder-6.7b,ab,source,3,bound,20,suffix,0.10075308161958046,0.10083362564607115,400
deepseek-coder-6.7b,ab,target,3,bound,0,outer_def_name,0.3138714193221158,0.3131517839384872,400
deepseek-coder-6.7b,ab,target,3,bound,1,other,0.01999900409686615,0.019735273862188554,400
deepseek-coder-6.7b,ab,target,3,bound,2,outer_def_value,0.026275223502760455,0.02621578377861178,400
deepseek-coder-6.7b,ab,target,3,bound,3,other,0.2727619006490002,0.27315606916472573,400
deepseek-coder-6.7b,ab,target,3,bound,4,signature,0.017367433754982585,0.017588893122048997,400
deepseek-coder-6.7b,ab,target,3,bound,5,signature,0.005020904613933077,0.005001002886598063,400
deepseek-coder-6.7b,ab,target,3,bound,6,signature,0.010803735417774801,0.010718605773766867,400
deepseek-coder-6.7b,ab,target,3,bound,7,other,0.008880979204748864,0.00890154969304123,400
deepseek-coder-6.7b,ab,target,3,bound,8,other,0.0013291350048144478,0.0015336592275925346,400
deepseek-coder-6.7b,ab,target,3,bound,9,inner_def_name,0.011113896115612943,0.010839575598274979,400
deepseek-coder-6.7b,ab,target,3,bound,10,other,0.014376062300633654,0.014460996162576126,400
deepseek-coder-6.7b,ab,target,3,bound,11,inner_def_value,0.07903948626975903,0.07933036110109158,400
deepseek-coder-6.7b,ab,target,3,bound,12,other,0.008379071574765811,0.008360751487293431,400
deepseek-coder-6.7b,ab,target,3,bound,13,other,0.004049562570030166,0.0040368491918896035,400
deepseek-coder-6.7b,ab,target,3,bound,14,return_kw,0.019576910354408703,0.01962633608710871,400
deepseek-coder-6.7b,ab,target,3,bound,15,use_site,0.006617267119713774,0.006683539992757234,400
deepseek-coder-6.7b,ab,target,3,bound,16,suffix,0.008725743940781969,0.008711955103045507,400
deepseek-coder-6.7b,ab,target,3,bound,17,suffix,0.03659660472782081,0.03678762823394295,400
deepseek-coder-6.7b,ab,target,3,bound,18,suffix,0.009937598950919342,0.009947505025461174,400
deepseek-coder-6.7b,ab,target,3,bound,19,suffix,0.026775612391300153,0.026868811951286313,400
deepseek-coder-6.7b,ab,target,3,bound,20,suffix,0.09850245723929789,0.09885132900613193,400
deepseek-coder-6.7b,ba,source,3,bound,0,outer_def_name,0.3419007622316659,0.3414110769510088,400
deepseek-coder-6.7b,ba,source,3,bound,1,other,0.03091061618500877,0.031021800069227674,400
deepseek-coder-6.7b,ba,source,3,bound,2,outer_def_value,0.08259777031942903,0.08257997802900394,400
deepseek-coder-6.7b,ba,source,3,bound,3,other,0.23219029505793842,0.23127083419645011,400
deepseek-coder-6.7b,ba,source,3,bound,4,signature,0.017922146632238335,0.017774890731613143,400
deepseek-coder-6.7b,ba,source,3,bound,5,signature,0.004388134095015086,0.004273384526678991,400
deepseek-coder-6.7b,ba,source,3,bound,6,signature,0.005283900821018324,0.0056349629834633475,400
deepseek-coder-6.7b,ba,source,3,bound,7,other,0.008621849118547046,0.008658132613804999,400
deepseek-coder-6.7b,ba,source,3,bound,8,other,0.0001900556136938077,0.0003076005503562856,400
deepseek-coder-6.7b,ba,source,3,bound,9,inner_def_name,0.004929335097366142,0.005065610763203927,400
deepseek-coder-6.7b,ba,source,3,bound,10,other,0.0021376034190690734,0.001970511200874343,400
deepseek-coder-6.7b,ba,source,3,bound,11,inner_def_value,0.025051573070086777,0.024170979072398603,400
deepseek-coder-6.7b,ba,source,3,bound,12,other,0.005063295221963915,0.005095237799908209,400
deepseek-coder-6.7b,ba,source,3,bound,13,other,0.0031124537238991943,0.003137631251368679,400
deepseek-coder-6.7b,ba,source,3,bound,14,return_kw,0.019908860265407894,0.01957802338570753,400
deepseek-coder-6.7b,ba,source,3,bound,15,use_site,0.03537692928334401,0.03439607397731313,400
deepseek-coder-6.7b,ba,source,3,bound,16,suffix,0.012806470419740049,0.012723228481171817,400
