model,contrast,layer,target_condition,position,role_to,mean_delta,median_delta,sign_consistency,n
deepseek-coder-6.7b,flip_ab,0,fixed_b,5,signature,0.0015520334632328047,0.001613506972492743,0.7575,400
deepseek-coder-6.7b,flip_ab,0,fixed_b,6,signature,0.0036852433174173866,0.003804287040371981,0.96,400
deepseek-coder-6.7b,flip_ab,0,fixed_b,7,other,-0.0003989014270943798,-0.0004194368490569658,0.21,400
deepseek-coder-6.7b,flip_ab,0,fixed_b,8,other,0.0010462748356650851,0.0009243883364589453,0.8,400
deepseek-coder-6.7b,flip_ab,0,fixed_b,9,inner_def_name,-0.0011986463215683022,-0.00086177984269796,0.4275,400
deepseek-coder-6.7b,flip_ab,0,fixed_b,10,other,0.010262614194768895,0.010453150555071785,0.9975,400
deepseek-coder-6.7b,flip_ab,0,fixed_b,11,inner_def_value,0.026320133046821424,0.02629381113127024,1.0,400
deepseek-coder-6.7b,flip_ab,0,fixed_b,12,other,0.0002604132746646113,0.00027136571850261025,0.6675,400
deepseek-coder-6.7b,flip_ab,0,fixed_b,13,other,0.00022499515135690595,0.0002089851479590999,0.645,400
deepseek-coder-6.7b,flip_ab,0,fixed_b,14,return_kw,-0.0022056630534041588,-0.0020246958291507185,0.27,400
deepseek-coder-6.7b,flip_ab,0,fixed_b,15,use_site,-0.028499940521377054,-0.028405512182505845,0.0,400
deepseek-coder-6.7b,flip_ab,0,fixed_b,16,suffix,-0.0017896720952394521,-0.0017408035543796784,0.01,400
deepseek-coder-6.7b,flip_ab,0,fixed_b,17,suffix,-0.003904749834540692,-0.00393070141249657,0.1125,400
deepseek-coder-6.7b,flip_ab,0,fixed_b,18,suffix,0.00014591811062385454,0.00014874477089500248,0.565,400
deepseek-coder-6.7b,flip_ab,0,fixed_b,19,suffix,0.0009671083004106977,0.0009381247818337456,0.6725,400
deepseek-coder-6.7b,flip_ab,0,fixed_b,20,suffix,-0.00665368442346218,-0.007312191455313387,0.0825,400
deepseek-coder-6.7b,flip_ab,0,other,0,outer_def_name,0.029958922321763,0.028699802618644743,0.9975,400
deepseek-coder-6.7b,flip_ab,0,other,1,other,0.004223927188449364,0.005018877695207557,0.76,400
deepseek-coder-6.7b,flip_ab,0,other,2,outer_def_value,0.009870935451531447,0.010413922807007613,0.825,400
deepseek-coder-6.7b,flip_ab,0,other,3,other,-0.0069095860326044735,-0.00639751212421083,0.2025,400
deepseek-coder-6.7b,flip_ab,0,other,4,signature,0.0023289084901801046,0.0019928840484770794,0.7525,400
deepseek-coder-6.7b,flip_ab,0,other,5,signature,-0.0005840256451237411,-0.00048188744491995707,0.41,400
deepseek-coder-6.7b,flip_ab,0,other,6,signature,0.00013116872145054736,0.00020850979946097914,0.5525,400
deepseek-coder-6.7b,flip_ab,0,other,7,other,3.67144631551936e-05,4.206052648095433e-05,0.525,400
