example_id,layer,lens,stratum,positive_name,negative_name,distance_gap,margin,correct
synthetic_control_367930,-1,random,indent_matched,h,u,-22,1.0866644382476807,True
synthetic_control_367930,-1,jlens,indent_matched,h,o,8,-0.16167879104614258,False
synthetic_control_367930,-1,logit,indent_matched,h,o,8,-0.2634235620498657,False
synthetic_control_367930,-1,random,indent_matched,h,o,8,1.9170334339141846,True
synthetic_control_367930,-1,jlens,indent_matched,h,c,-29,0.02241349220275879,True
synthetic_control_367930,-1,logit,indent_matched,h,c,-29,0.3610149621963501,True
synthetic_control_367930,-1,random,indent_matched,h,c,-29,2.517284870147705,True
synthetic_control_367930,-1,jlens,indent_matched,h,v,1,-0.06012427806854248,False
synthetic_control_367930,-1,logit,indent_matched,h,v,1,-0.2959088385105133,False
synthetic_control_367930,-1,random,indent_matched,h,v,1,-0.29767656326293945,False
synthetic_control_367930,-1,jlens,indent_matched,y,n,-13,-0.061149001121520996,False
synthetic_control_367930,-1,logit,indent_matched,y,n,-13,-0.2579318881034851,False
synthetic_control_367930,-1,random,indent_matched,y,n,-13,-0.06802219152450562,False
synthetic_control_367930,-1,jlens,indent_matched,y,o,-35,-0.1740114688873291,False
synthetic_control_367930,-1,logit,indent_matched,y,o,-35,0.07841271162033081,True
synthetic_control_367930,-1,random,indent_matched,y,o,-35,1.3258922100067139,True
synthetic_control_367930,-1,jlens,indent_matched,y,h,1,-0.012332677841186523,False
synthetic_control_367930,-1,logit,indent_matched,y,h,1,0.34183627367019653,True
synthetic_control_367930,-1,random,indent_matched,y,h,1,-0.5911413431167603,False
synthetic_control_367930,-1,jlens,indent_matched,y,v,-42,-0.072456955909729,False
synthetic_control_367930,-1,logit,indent_matched,y,v,-42,0.04592743515968323,True
synthetic_control_367930,-1,random,indent_matched,y,v,-42,-0.8888179063796997,False
synthetic_control_367930,-1,jlens,indent_matched,u,v,-35,-0.06710994243621826,False
synthetic_control_367930,-1,logit,indent_matched,u,v,-35,0.49434277415275574,True
synthetic_control_367930,-1,random,indent_matched,u,v,-35,-1.3843410015106201,False
synthetic_control_367930,-1,jlens,indent_matched,u,h,8,-0.006985664367675781,False
synthetic_control_367930,-1,logit,indent_matched,u,h,8,0.790251612663269,True
synthetic_control_367930,-1,random,indent_matched,u,h,8,-1.0866644382476807,False
synthetic_control_367930,-1,jlens,indent_matched,u,o,-28,-0.16866445541381836,False
synthetic_control_367930,-1,logit,indent_matched,u,o,-28,0.5268280506134033,True
synthetic_control_367930,-1,random,indent_matched,u,o,-28,0.8303691148757935,True
synthetic_control_367930,-1,jlens,indent_matched,u,n,-6,-0.055801987648010254,False
synthetic_control_367930,-1,logit,indent_matched,u,n,-6,0.1904834508895874,True
synthetic_control_367930,-1,random,indent_matched,u,n,-6,-0.5635452270507812,False
synthetic_control_367930,-1,jlens,indent_matched,c,w,8,-0.06321537494659424,False
