split,position,site_kind,site,variant,n_families,min_family_delta,max_family_delta,all_families_positive,all_families_ci_positive,delta_affine,ci_lo_affine,delta_index,ci_lo_index,delta_modulus,ci_lo_modulus,delta_mul_sub,ci_lo_mul_sub,delta_threshold,ci_lo_threshold
calib,answer,band,L16+24+31,cf_push_0.03,5,0.017361107799741957,0.3763020750549104,True,False,0.3763020750549104,0.29469398318065537,0.017361107799741957,-0.005653234405650033,0.15854779236456928,0.11717600958312259,0.05052084922790527,-0.002604182759920756,0.03472222305006451,0.022135416666666668
calib,answer,band,L16+24+31,cf_push_0.1,5,0.058159715599483915,1.310763880610466,True,False,1.310763880610466,1.017773448717263,0.058159715599483915,-0.015201852387852138,0.5376838165171006,0.395220581222983,0.1723958651224772,-0.017187476257483163,0.11067708250549105,0.06553819440305234
calib,answer,band,L16+24+31,cf_push_0.3,5,0.1697048544883728,4.498263892200258,True,False,4.498263892200258,3.404448773297999,0.1697048544883728,-0.048621958742539086,1.6484374947407667,1.2136488935964949,0.5635416706403097,-0.07714843809604645,0.3307291641831398,0.19748263799895843
calib,answer,band,L16+24+31,cf_push_1,5,0.6119791666666666,12.539930552244186,True,False,12.539930552244186,9.742502157141764,0.6119791666666666,-0.12241753430830107,5.015165446435704,3.716164988279343,1.645312523841858,-0.18598956326643626,1.0889756985836558,0.6631727495955096
calib,answer,band,L16+24+31,gram_random,5,-0.0017361102832688226,0.006893373587552239,False,False,0.005642349521319072,-0.010850694858365588,-0.0008680688010321723,-0.004340294334623549,0.006893373587552239,-0.00321692053009482,-0.001562488079071045,-0.006249980131785075,-0.0017361102832688226,-0.0047743039205670355
calib,answer,band,L16+24+31,jlens_answer,5,-0.013020837472544776,1.3302951355775197,False,False,1.3302951355775197,0.8866753472222222,0.036458333333333336,-0.04036456685927179,0.5464154306580039,0.35983455312602664,0.2619791825612386,-0.07656250019868216,-0.013020837472544776,-0.05904948647237486
calib,answer,band,L16+24+31,jlens_offvalue,5,-0.021354146798451743,0.04730901949935489,False,False,0.04730901949935489,-0.015190977561804984,-0.015190975533591377,-0.03342011960016356,0.015624989481533276,-0.015165453448015101,-0.021354146798451743,-0.06667964855829873,0.0013020800219641791,-0.0021701488229963514
calib,answer,band,L16+24+31,jlens_value,5,-0.0030381811989678275,0.3368055489328172,False,False,0.3368055489328172,0.15666229468252924,-0.0030381811989678275,-0.019965274466408625,0.14935661414090326,0.06939337875913172,0.017187527815500894,-0.011458309590816498,-0.000868054727713267,-0.005642364422480266
calib,answer,band,L16+24+31,logit_value,5,-0.005208331677648757,0.4878472139437993,False,False,0.4878472139437993,0.21308593563735484,-0.005208330021964179,-0.042100681364536284,0.282169115893981,0.1764590995714945,0.06770835717519125,0.028111999134222666,-0.005208331677648757,-0.020833333333333332
calib,answer,band,L16+24+31,noop_same_value,5,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
