split,position,site_kind,site,variant,layer,delta_ld,ci_lo,ci_hi,n_rows,n_bases,flip_rate,moves_toward_target,mean_delta_norm_ratio
calib,answer,band,L16+24+31,cf_push_0.03,16,0.12981468040582744,0.10373870243367293,0.15688543609947936,172,18,0.040697674418604654,True,0.009662955528298435
calib,answer,band,L16+24+31,cf_push_0.1,16,0.4460392450523931,0.3530606407629834,0.5431124756754967,172,18,0.11046511627906977,True,0.03220985300275822
calib,answer,band,L16+24+31,cf_push_0.3,16,1.4703851728591808,1.1433689364866142,1.8211635159269826,172,18,0.3430232558139535,True,0.09662956008037855
calib,answer,band,L16+24+31,cf_push_1,16,4.258993464673674,3.3886045929197275,5.189875891337861,172,18,0.5755813953488372,True,0.3220984911502794
calib,answer,band,L16+24+31,gram_random,16,0.0017260127635889274,-0.002206227344007575,0.00634190667201491,172,18,0.011627906976744186,False,0.023447280181440624
calib,answer,band,L16+24+31,clens_answer,16,0.4370457840173744,0.2974414391828763,0.5894939743107418,172,18,0.22093023255813954,True,0.051903640621666684
calib,answer,band,L16+24+31,clens_offvalue,16,0.006359009895213815,-0.00897988921095585,0.023713234803255864,172,18,0.046511627906976744,False,0.033317883712315054
calib,answer,band,L16+24+31,clens_value,16,0.10219840688067813,0.05575090833923068,0.1554363838204648,172,18,0.046511627906976744,True,0.031945986224735816
calib,answer,band,L16+24+31,logit_value,16,0.16751453800256863,0.09489997161966879,0.25173764869389004,172,18,0.05232558139534884,True,0.030413446429654514
calib,answer,band,L16+24+31,noop_same_value,16,0.0,0.0,0.0,172,18,0.0,False,0.0
calib,answer,band,L16+24+31,probe_basis,16,0.1541606085591538,0.11191493774789836,0.20052235297061077,172,18,0.06395348837209303,True,0.07749492149620507
calib,answer,band,L16+24+31,whole_state,16,1.8539244203373444,1.4344947497155218,2.3134629383163396,172,18,0.4476744186046512,True,
calib,answer,band,L8+16+24,cf_push_0.03,8,0.07440043708612752,0.05890131174832925,0.09048140072706083,172,18,0.023255813953488372,True,0.0023133970450523286
calib,answer,band,L8+16+24,cf_push_0.1,8,0.2626271765939025,0.20567058586007603,0.32238302185889495,172,18,0.0755813953488372,True,0.007711323925705497
calib,answer,band,L8+16+24,cf_push_0.3,8,0.9226925846102626,0.7190901199696762,1.1394681946336245,172,18,0.23255813953488372,True,0.023133972361900432
calib,answer,band,L8+16+24,cf_push_1,8,2.590025441764399,2.0801541052651884,3.1382695288928275,172,18,0.5348837209302325,True,0.07711323320345823
calib,answer,band,L8+16+24,gram_random,8,0.00290697795707126,-0.0019536861811867,0.007814754387256732,172,18,0.0,False,0.025815078484746762
calib,answer,band,L8+16+24,clens_answer,8,0.0697674448060435,0.0477724805690784,0.09328718725784252,172,18,0.03488372093023256,True,0.06743013271618813
calib,answer,band,L8+16+24,clens_offvalue,8,0.004087934140549149,-0.003412634616805019,0.011908148916579077,172,18,0.01744186046511628,False,0.05025185201402489
calib,answer,band,L8+16+24,clens_value,8,0.028070497131624888,0.006209704528407053,0.05202211291359907,172,18,0.011627906976744186,True,0.03243448222245078
calib,answer,band,L8+16+24,logit_value,8,0.1590661368397779,0.09228181183194431,0.23820090662713062,172,18,0.03488372093023256,True,0.023414791282080086
calib,answer,band,L8+16+24,noop_same_value,8,0.0,0.0,0.0,172,18,0.0,False,0.0
calib,answer,band,L8+16+24,probe_basis,8,-0.01162791096193846,-0.021325741473885662,-0.002130087282778784,172,18,0.011627906976744186,False,0.06952267635436811
calib,answer,band,L8+16+24,whole_state,8,1.8431140967579775,1.4263215574612114,2.300773821026684,172,18,0.4418604651162791,True,
calib,answer,single,L16,cf_push_0.03,16,0.030250732115534848,0.02414753259853122,0.036638100540390836,172,18,0.01744186046511628,True,0.009662955528298435
calib,answer,single,L16,cf_push_0.1,16,0.10319767892360687,0.08194241914957226,0.12519045219559308,172,18,0.040697674418604654,True,0.03220985300275822
calib,answer,single,L16,cf_push_0.3,16,0.35846656855455666,0.2856411627140539,0.4335525182412421,172,18,0.10465116279069768,True,0.09662956008037855
calib,answer,single,L16,cf_push_1,16,1.489825578103232,1.161561630924191,1.858338552041877,172,18,0.3488372093023256,True,0.3220984911502794
calib,answer,single,L16,gram_random,16,0.0022710767942805622,-0.001350622096650052,0.0066596673412079085,172,18,0.0,False,0.023447280181440624
calib,answer,single,L16,clens_answer,16,-0.0037245592752168347,-0.012960350219522259,0.005882389115611971,172,18,0.023255813953488372,False,0.051903640621666684
calib,answer,single,L16,clens_offvalue,16,0.0034520426808401596,-0.004490278727595994,0.011135070030202811,172,18,0.011627906976744186,False,0.033317883712315054
calib,answer,single,L16,clens_value,16,0.010265263533869456,-0.00045449405832263584,0.021551814541610682,172,18,0.01744186046511628,False,0.031945986224735816
calib,answer,single,L16,logit_value,16,0.03134084354306376,0.016422197949751645,0.047058819343938546,172,18,0.023255813953488372,True,0.030413446429654514
calib,answer,single,L16,noop_same_value,16,0.0,0.0,0.0,172,18,0.0,False,0.0
calib,answer,single,L16,probe_basis,16,0.15843023515717927,0.11601418734335797,0.20471325731598497,172,18,0.046511627906976744,True,0.07749492149620507
calib,answer,single,L16,whole_state,16,1.489825578103232,1.161561630924191,1.858338552041877,172,18,0.3488372093023256,True,
calib,answer,single,L24,cf_push_0.03,24,0.04387717971275019,0.034661073575383346,0.05358685260748161,172,18,0.023255813953488372,True,0.011684868482028156
calib,answer,single,L24,cf_push_0.1,24,0.15152616538973743,0.11966840170318753,0.18563988314320642,172,18,0.040697674418604654,True,0.038949563124671925
calib,answer,single,L24,cf_push_0.3,24,0.5036337254352348,0.39317071885717186,0.6230821737054597,172,18,0.12209302325581395,True,0.11684869177812754
calib,answer,single,L24,cf_push_1,24,1.8431140967579775,1.4263215574612114,2.300773821026684,172,18,0.4418604651162791,True,0.38949559429703756
calib,answer,single,L24,gram_random,24,-0.001090116798877716,-0.0035120316845592896,0.0012428943321786143,172,18,0.005813953488372093,False,0.023508762559005622
calib,answer,single,L24,clens_answer,24,0.49800145331510276,0.3595438983820443,0.6489958729087584,172,18,0.13953488372093023,True,0.09036125948887103
calib,answer,single,L24,clens_offvalue,24,0.0019077062606811523,-0.016974651198102268,0.019209565169671,172,18,0.023255813953488372,False,0.050882988582320314
calib,answer,single,L24,clens_value,24,0.12427326083876365,0.053444250619726,0.20512808480321665,172,18,0.040697674418604654,True,0.07653991781126586
calib,answer,single,L24,logit_value,24,0.13826307827650114,0.06689838471520254,0.2208445932366025,172,18,0.03488372093023256,True,0.06450568583626602
calib,answer,single,L24,noop_same_value,24,0.0,0.0,0.0,172,18,0.0,False,0.0
calib,answer,single,L24,probe_basis,24,0.12018532479225202,0.08305199913503158,0.15932728723012762,172,18,0.06395348837209303,True,0.11349223338948304
calib,answer,single,L24,whole_state,24,1.8431140967579775,1.4263215574612114,2.300773821026684,172,18,0.4418604651162791,True,
calib,answer,single,L31,cf_push_0.03,31,0.05514171910147334,0.04268783160074094,0.06910342566136803,172,18,0.01744186046511628,True,0.005169504056792966
calib,answer,single,L31,cf_push_0.1,31,0.18422965081625206,0.14233038081605545,0.22898379105214411,172,18,0.040697674418604654,True,0.01723168092389959
calib,answer,single,L31,cf_push_0.3,31,0.554869186219781,0.42922952155871635,0.6912930923879277,172,18,0.09302325581395349,True,0.051695043545996036
calib,answer,single,L31,cf_push_1,31,1.8539244203373444,1.4344947497155218,2.3134629383163396,172,18,0.4476744186046512,True,0.17231678826257932
calib,answer,single,L31,gram_random,31,0.0003633712266766748,-0.0014705841199440114,0.0020220596825375275,172,18,0.005813953488372093,False,0.02420201269619122
calib,answer,single,L31,clens_answer,31,1.8543786333743917,1.4334393511519314,2.313942125963783,172,18,0.6104651162790697,True,0.03008369030436648
calib,answer,single,L31,clens_offvalue,31,-0.003179503041644429,-0.017714823975425134,0.016555057408376816,172,18,0.023255813953488372,False,0.02116622450683244
calib,answer,single,L31,clens_value,31,0.014716573752636132,-0.017627448205475387,0.04820956229525436,172,18,0.023255813953488372,False,0.024182226779780023
calib,answer,single,L31,logit_value,31,0.01480741573627605,-0.01762745131486297,0.048332642486199534,172,18,0.023255813953488372,False,0.024181342037022505
calib,answer,single,L31,noop_same_value,31,0.0,0.0,0.0,172,18,0.0,False,0.0
calib,answer,single,L31,probe_basis,31,0.031795061085113256,-0.006542256648795615,0.07767613803089062,172,18,0.0755813953488372,False,0.060533985469180804
calib,answer,single,L31,whole_state,31,1.8539244203373444,1.4344947497155218,2.3134629383163396,172,18,0.4476744186046512,True,
calib,answer,single,L8,cf_push_0.03,8,0.0004542159826256508,-0.0009880749595373175,0.0019077054333201675,172,18,0.0,False,0.0023133970450523286
calib,answer,single,L8,cf_push_0.1,8,0.001998545818550642,0.0006144588666685512,0.00351585949021505,172,18,0.005813953488372093,True,0.007711323925705497
calib,answer,single,L8,cf_push_0.3,8,0.004269630236681117,0.0008977408871218142,0.008000830329173002,172,18,0.005813953488372093,True,0.023133972361900432
calib,answer,single,L8,cf_push_1,8,0.015352466598499653,0.005592396445796205,0.026679870867346286,172,18,0.01744186046511628,True,0.07711323320345823
calib,answer,single,L8,gram_random,8,0.0010901199177254079,-0.001839332355781703,0.0041787808631048645,172,18,0.0,False,0.025815078484746762
calib,answer,single,L8,clens_answer,8,0.000635903068753176,-0.002361915724048781,0.0038613809885349624,172,18,0.005813953488372093,False,0.06743013271618813
calib,answer,single,L8,clens_offvalue,8,0.003815410961938459,-0.001332059012221848,0.01017599965972724,172,18,0.0,False,0.05025185201402489
calib,answer,single,L8,clens_value,8,-0.0024527581625206525,-0.008681053561017367,0.0029069813704767893,172,18,0.005813953488372093,False,0.03243448222245078
calib,answer,single,L8,logit_value,8,0.0001816855267036793,-0.0019991342755985,0.002114598074776615,172,18,0.011627906976744186,False,0.023414791282080086
calib,answer,single,L8,noop_same_value,8,0.0,0.0,0.0,172,18,0.0,False,0.0
calib,answer,single,L8,probe_basis,8,-0.008448401162790697,-0.016074002217287303,-0.0013771528552644814,172,18,0.0,False,0.06952267635436811
calib,answer,single,L8,whole_state,8,0.015352466598499653,0.005592396445796205,0.026679870867346286,172,18,0.01744186046511628,True,
calib,use,band,L16+24+31,cf_push_0.03,16,0.0006359020291372787,-0.0012289322912693024,0.0025456462808874218,172,18,0.0,False,0.02033032769293979
calib,use,band,L16+24+31,cf_push_0.1,16,0.004542150642982749,0.0005645886000525794,0.008789347486751484,172,18,0.005813953488372093,True,0.06776776114955198
calib,use,band,L16+24+31,cf_push_0.3,16,0.01835029243036758,0.006524561697154853,0.03180565238754597,172,18,0.029069767441860465,True,0.2033032900545486
calib,use,band,L16+24+31,cf_push_1,16,0.07576308191515678,0.04060543058171934,0.11647585405186671,172,18,0.03488372093023256,True,0.6776775951648868
calib,use,band,L16+24+31,gram_random,16,0.0009084304058274557,-0.0006287794082209695,0.002576051824426497,172,18,0.0,False,0.021914810520766173
calib,use,band,L16+24+31,clens_answer,16,0.00145348577305328,0.00036754347124072007,0.0025111529266550426,172,18,0.005813953488372093,True,0.02188598928308141
calib,use,band,L16+24+31,clens_offvalue,16,0.0005450583128041999,-0.0012428974521092393,0.002191306809644874,172,18,0.0,False,0.023074103861828697
calib,use,band,L16+24+31,clens_value,16,0.0010901154127231864,-0.0003765035241124142,0.0026334767060030837,172,18,0.0,False,0.01923460045239696
calib,use,band,L16+24+31,logit_value,16,-0.0006358975241350574,-0.0023700898408554913,0.0010653361170129343,172,18,0.0,False,0.01528541829746123
calib,use,band,L16+24+31,noop_same_value,16,0.0,0.0,0.0,172,18,0.0,False,0.0
calib,use,band,L16+24+31,probe_basis,16,0.014989100050094515,0.006268339589849193,0.02480138161528357,172,18,0.011627906976744186,True,0.13030714591362821
calib,use,band,L16+24+31,whole_state,16,0.07167514569537584,0.03606915666014646,0.11300887365207218,172,18,0.03488372093023256,True,
calib,use,band,L8+16+24,cf_push_0.03,8,0.004542154281638389,0.0011160795399475665,0.007990164510870302,172,18,0.005813953488372093,True,0.021283040137225113
calib,use,band,L8+16+24,cf_push_0.1,8,0.01771438866853714,0.005419847383153724,0.030296030960538803,172,18,0.023255813953488372,True,0.07094346805540629
calib,use,band,L8+16+24,cf_push_0.3,8,0.0973837256085041,0.05560608681646491,0.14444923555649752,172,18,0.046511627906976744,True,0.2128304121799247
calib,use,band,L8+16+24,cf_push_1,8,1.0874818367666976,0.8058879291301971,1.4034142582532585,172,18,0.2616279069767442,True,0.7094346763089646
calib,use,band,L8+16+24,gram_random,8,0.0007267473048942033,-0.0019055390655487285,0.003462355990301479,172,18,0.0,False,0.01985641075271287
calib,use,band,L8+16+24,clens_answer,8,0.003906251559423846,0.0009877907476205934,0.0061257061633196745,172,18,0.005813953488372093,True,0.03387591743558428
calib,use,band,L8+16+24,clens_offvalue,8,0.0015443371132362721,-0.0026374873560966877,0.0052981378189448656,172,18,0.0,False,0.03940452115651308
calib,use,band,L8+16+24,clens_value,8,0.0026344494071117667,-0.0016200532902177938,0.007367844884916663,172,18,0.0,False,0.037383643709835275
calib,use,band,L8+16+24,logit_value,8,0.0006358992568282194,-0.001509233805435625,0.0030891305383050644,172,18,0.0,False,0.016060100703095537
calib,use,band,L8+16+24,noop_same_value,8,0.0,0.0,0.0,172,18,0.0,False,0.0
calib,use,band,L8+16+24,probe_basis,8,0.02280160351548084,0.011765780957472143,0.035021842298481376,172,18,0.011627906976744186,True,0.13152225365342624
calib,use,band,L8+16+24,whole_state,8,1.0705850323618844,0.7944429359595505,1.377329113221043,172,18,0.2616279069767442,True,
calib,use,single,L16,cf_push_0.03,16,0.0015443334745806317,-0.00045955830198877,0.003592126464477715,172,18,0.0,False,0.02033032769293979
calib,use,single,L16,cf_push_0.1,16,0.005087212940981222,0.0013782710602402526,0.009339536150503654,172,18,0.005813953488372093,True,0.06776776114955198
calib,use,single,L16,cf_push_0.3,16,0.017896075408126034,0.005631994527684851,0.03198688681202536,172,18,0.023255813953488372,True,0.2033032900545486
calib,use,single,L16,cf_push_1,16,0.0706758693207142,0.03411605310956919,0.11265215596054179,172,18,0.03488372093023256,True,0.6776775951648868
calib,use,single,L16,gram_random,16,0.0008175844369932662,-0.0009084352963539057,0.002725400653912777,172,18,0.0,False,0.021914810520766173
calib,use,single,L16,clens_answer,16,0.0011809620746346407,-0.00044387860054319556,0.002976726183661588,172,18,0.0,False,0.02188598928308141
calib,use,single,L16,clens_offvalue,16,9.084458267965982e-05,-0.0014371941668230147,0.001437191778843221,172,18,0.005813953488372093,False,0.023074103861828697
calib,use,single,L16,clens_value,16,9.084233017854913e-05,-0.0010006237619339655,0.0011673861108292107,172,18,0.0,False,0.01923460045239696
calib,use,single,L16,logit_value,16,0.0005450586593428324,-0.000908428569172704,0.0021395377154127112,172,18,0.0,False,0.01528541829746123
calib,use,single,L16,noop_same_value,16,0.0,0.0,0.0,172,18,0.0,False,0.0
calib,use,single,L16,probe_basis,16,0.01353560994530833,0.004722480501444845,0.023161846562078484,172,18,0.005813953488372093,True,0.13030714591362821
calib,use,single,L16,whole_state,16,0.0706758693207142,0.03411605310956919,0.11265215596054179,172,18,0.03488372093023256,True,
calib,use,single,L24,cf_push_0.03,24,-0.0004542158093563346,-0.001767323256845211,0.0008081990968564462,172,18,0.0,False,0.018355699618845138
calib,use,single,L24,cf_push_0.1,24,-0.0009084276335183964,-0.002194521777080686,0.0003765114549412785,172,18,0.005813953488372093,False,0.06118566724796628
calib,use,single,L24,cf_push_0.3,24,-0.0007267388146977092,-0.002487187953421036,0.0008272105236263837,172,18,0.0,False,0.1835570063355357
calib,use,single,L24,cf_push_1,24,0.0009084324850592503,-0.0022194595922800627,0.003999260511426699,172,18,0.011627906976744186,False,0.6118566492615745
calib,use,single,L24,gram_random,24,-0.0004542106112768484,-0.0016163762444737313,0.0005728956737334539,172,18,0.0,False,0.022986259941271254
calib,use,single,L24,clens_answer,24,0.0009084324850592503,-0.0005450590145449306,0.0021913111391590866,172,18,0.005813953488372093,False,0.028828601985677764
calib,use,single,L24,clens_offvalue,24,-9.084111729333567e-05,-0.001436779412558709,0.0013317406191975867,172,18,0.0,False,0.029712715352383894
calib,use,single,L24,clens_value,24,-0.00036337330590846924,-0.0015092379159548067,0.0007992390807924337,172,18,0.0,False,0.02441469666142422
calib,use,single,L24,logit_value,24,3.292117007943087e-09,-0.0014208611100912094,0.0013950956807959646,172,18,0.0,False,0.030001334559557037
calib,use,single,L24,noop_same_value,24,0.0,0.0,0.0,172,18,0.0,False,0.0
calib,use,single,L24,probe_basis,24,0.0008175894618034363,-0.0006433808584423627,0.0022453330237438515,172,18,0.0,False,0.1341301086810183
calib,use,single,L24,whole_state,24,0.0009084324850592503,-0.0022194595922800627,0.003999260511426699,172,18,0.011627906976744186,False,
calib,use,single,L31,cf_push_0.03,31,0.0,0.0,0.0,172,18,0.0,False,0.007106883336280927
