model,base_id,condition,layer,target_token,target,condition_kind,condition_order,rho_unsafe,rho_safe,score_unsafe,score_safe,n_tokens_unsafe,n_tokens_safe,frac_source_expr_unsafe,frac_source_expr_safe,delta_frac_source_expr,ntok_source_expr_match,frac_trusted_expr_unsafe,frac_trusted_expr_safe,delta_frac_trusted_expr,ntok_trusted_expr_match,frac_sink_arg_unsafe,frac_sink_arg_safe,delta_frac_sink_arg,ntok_sink_arg_match,frac_sink_call_unsafe,frac_sink_call_safe,delta_frac_sink_call,ntok_sink_call_match,frac_taint_chain_unsafe,frac_taint_chain_safe,delta_frac_taint_chain,ntok_taint_chain_match,frac_trust_chain_unsafe,frac_trust_chain_safe,delta_frac_trust_chain,ntok_trust_chain_match,frac_signature_unsafe,frac_signature_safe,delta_frac_signature,ntok_signature_match,frac_other_unsafe,frac_other_safe,delta_frac_other,ntok_other_match,delta_total,delta_token_identical_roles
deepseek-coder-1.3b,command_exec_assign_chain_00,clean_heldout,0,5723, safe,clean,-1,1.000000185371832,0.9999999794527058,-283.69964599609375,-272.49871826171875,81,82,0.015719839194304374,0.023257986083431582,-0.007538146889127208,1,-0.00231564733086496,0.0037247473979145117,-0.006040394728779472,1,0.0030770213788114077,0.010182914186702228,-0.00710589280789082,0,-0.0029990651240363077,-4.0545348046496475e-05,-0.002958519775989811,1,0.06891523711845586,0.08947700825056579,-0.020561771132109927,1,0.06460146269938775,0.034309638321828935,0.03029182437755882,1,0.28017259564353497,0.2722157674596645,0.007956828183870446,1,0.572828741792239,0.5668724631006447,0.005956278691594319,1,2.059191263475979e-07,0.0011498200354228437
deepseek-coder-1.3b,command_exec_assign_chain_00,clean_heldout,0,24281, vulnerable,clean,-1,1.0000000357398413,0.9999999362557955,-288.6226806640625,-277.82965087890625,81,82,0.02045254747596586,0.028047428709459987,-0.007594881233494128,1,-0.003687596722104251,0.0014423462024629324,-0.005129942924567183,1,0.0015422423068106132,0.00941990944667687,-0.007877667139866257,0,0.00019497282565597053,0.0035128489814609566,-0.003317876155804986,1,0.06849035458766678,0.08919072607718719,-0.020700371489520406,1,0.06148509562000887,0.031133452477868195,0.030351643142140672,1,0.28613843216090085,0.2783500865409985,0.007788345619902326,1,0.5653839874849368,0.5589031378196807,0.006480849665256083,1,9.948404611909156e-08,0.0013969169586562965
deepseek-coder-1.3b,command_exec_assign_chain_00,clean_heldout,3,5723, safe,clean,-1,1.000000224279301,1.0000000866458751,-283.69964599609375,-272.49871826171875,81,82,0.0151980004165145,0.024243146361477737,-0.009045145944963237,1,-0.010858792304517698,-0.0008210515004541819,-0.010037740804063517,1,-0.004698434535101175,-0.0013371457209240588,-0.003361288814177116,0,-0.011576149543714845,-0.009542398020702118,-0.002033751523012727,1,0.08590896389929778,0.09471103131574611,-0.008802067416448331,1,0.08240423204515089,0.06278826779157974,0.01961596425357115,1,0.2287452870042232,0.21979737118245699,0.008947915821766211,1,0.6148771172974483,0.6101608652366949,0.004716252060753434,1,1.376334258645917e-07,-0.001354825613150451
deepseek-coder-1.3b,command_exec_assign_chain_00,clean_heldout,3,24281, vulnerable,clean,-1,1.0000000693112852,1.0000000766834467,-288.6226806640625,-277.82965087890625,81,82,0.019310936736187057,0.028279691525801842,-0.008968754789614786,1,-0.013222539360970656,-0.004266432216058227,-0.008956107144912429,1,-0.008613504475189656,-0.004309463388931441,-0.004304041086258215,0,-0.006421685555556028,-0.003389970428919262,-0.003031715126636766,1,0.08632809204035424,0.09408523112003266,-0.007757139079678413,1,0.07872630206427896,0.05940781170844556,0.019318490355833398,1,0.23263496282693855,0.22367359827857705,0.008961364548361495,1,0.6112575050352427,0.6065196100844985,0.00473789495074417,1,-7.372161540952771e-09,-0.00043386123664749913
deepseek-coder-1.3b,command_exec_assign_chain_00,clean_heldout,7,5723, safe,clean,-1,1.0000001583086213,1.0000002044066147,-283.69964599609375,-272.49871826171875,81,82,0.02933587916637197,0.03018582777496663,-0.0008499486085946605,1,-0.0010477848869425584,0.004144493073100134,-0.005192277960042693,1,-0.001876325569455545,-0.0007215924256708693,-0.0011547331437846758,0,-0.009777862561072884,-0.008388301294228576,-0.001389561266844308,1,0.08755043048767813,0.09146964800758335,-0.003919217519905219,1,0.0811754580167805,0.06650978353622534,0.014665674480555155,1,0.1615037986169453,0.15235619375849874,0.009147604858446567,1,0.6531365650383164,0.66444415197614,-0.011307586937823633,1,-4.609799346758092e-08,0.012462273983614842
deepseek-coder-1.3b,command_exec_assign_chain_00,clean_heldout,7,24281, vulnerable,clean,-1,1.000000050957347,1.0000001687867157,-288.6226806640625,-277.82965087890625,81,82,0.029916629406296563,0.030917355333915427,-0.0010007259276188646,1,-0.0026289486993803287,0.0022630126900938952,-0.004891961389474224,1,-0.0037780525698981066,-0.0015126620402242568,-0.00226539052967385,0,-0.0041834055132503115,-0.0012482139651597418,-0.0029351915480905696,1,0.08828891836309109,0.09079590493259732,-0.0025069865695062227,1,0.07575475514302314,0.06166460433721587,0.01409015080580727,1,0.1643374379651556,0.15495109252432632,0.00938634544082928,1,0.6522927168623096,0.6621690749739507,-0.009876358111641115,1,-1.1782936829365931e-07,0.01214163081194667
deepseek-coder-1.3b,command_exec_assign_chain_00,clean_heldout,11,5723, safe,clean,-1,1.0000002383427162,1.000000236505781,-283.69964599609375,-272.49871826171875,81,82,0.02746033263920973,0.02675054986407435,0.000709782775135382,1,0.013960105101293314,0.01427522995593241,-0.00031512485463909556,1,0.023637920605522427,0.026179699278370674,-0.0025417786728482474,0,-0.002694720108508575,-0.001076503335691972,-0.0016182167728166028,1,0.06190959351169878,0.06190561667896872,3.976832730061275e-06,1,0.04109569059634855,0.03513803757841655,0.005957653017932003,1,0.11261884975102919,0.10180053516674659,0.010818314584282604,1,0.7220124662461228,0.7350270713189637,-0.013014605072840912,1,1.836935192497946e-09,0.015556385582624352
deepseek-coder-1.3b,command_exec_assign_chain_00,clean_heldout,11,24281, vulnerable,clean,-1,1.0000000371854398,1.0000001886849907,-288.6226806640625,-277.82965087890625,81,82,0.027722179290883945,0.02716429067561143,0.0005578886152725164,1,0.01256211195675631,0.012694711046479474,-0.00013259908972316353,1,0.023862687690561275,0.027139293561472738,-0.003276605870911463,0,0.006146862205709848,0.008537978556968357,-0.002391116351258509,1,0.06210733551350018,0.061862289998818654,0.00024504551468152586,1,0.03535319915240859,0.030768628761215503,0.0045845703911930845,1,0.11509627986675885,0.10399246833535042,0.011103811531408436,1,0.717149381508861,0.7278405277490742,-0.010691146240213167,1,-1.5149955073963384e-07,0.01396760061157389
deepseek-coder-1.3b,command_exec_assign_chain_00,clean_heldout,15,5723, safe,clean,-1,1.0000001980039566,1.0000002149468437,-283.69964599609375,-272.49871826171875,81,82,0.018807963698494797,0.01807107919410543,0.0007368845043893672,1,0.01548124085486706,0.015077343604585857,0.0004038972502812023,1,0.0177015586627755,0.011468614267883218,0.006232944394892283,0,0.017541345925906306,0.021931348068278615,-0.004390002142372309,1,0.058918821416832357,0.05834392388539341,0.0005748975314389462,1,0.034368377575869316,0.03086628581648796,0.0035020917593813553,1,0.06764020845188445,0.055872987496245474,0.01176722095563898,1,0.7695406814173269,0.7883686326138636,-0.018827951196536685,1,-1.6942886860854545e-08,0.012594989858757542
deepseek-coder-1.3b,command_exec_assign_chain_00,clean_heldout,15,24281, vulnerable,clean,-1,0.9999999961923968,1.0000001562229126,-288.6226806640625,-277.82965087890625,81,82,0.019809841560471733,0.019165097550556367,0.0006447440099153663,1,0.01479423932534384,0.014154231069312765,0.000640008256031074,1,0.018528254111936364,0.012778518933755968,0.005749735178180396,0,0.01956946501581587,0.025148234296884626,-0.005578769281068756,1,0.059586668207911475,0.058377623518159255,0.00120904468975222,1,0.031130264225815954,0.028146800386531726,0.0029834638392842276,1,0.07000075090168338,0.057975761710172824,0.012024989191510557,1,0.7665805128434182,0.784253888757539,-0.01767337591412077,1,-1.6003051568624915e-07,0.01192348070542469
