model,program_id,base_id,member,condition,condition_kind,condition_order,layer,target_token,target,score,rho,n_tokens,frac_source_expr,frac_trusted_expr,frac_sink_arg,frac_sink_call,frac_taint_chain,frac_trust_chain,frac_signature,frac_other,ntok_source_expr,ntok_trusted_expr,ntok_sink_arg,ntok_sink_call,ntok_taint_chain,ntok_trust_chain,ntok_signature,ntok_other
deepseek-coder-1.3b,command_exec_direct_00_unsafe,command_exec_direct_00,unsafe,clean_heldout,clean,-1,19,5723, safe,-85.38090515136719,0.9999999820238542,48,0.03972228005150279,0.06288326870735542,0.04048613116682748,-0.588751236298086,0.045113541553667105,0.049887930493717925,-0.283955650794394,1.6346137171432633,8,5,2,5,2,2,5,19
deepseek-coder-1.3b,command_exec_direct_00_unsafe,command_exec_direct_00,unsafe,clean_heldout,clean,-1,23,24281, vulnerable,-90.49435424804688,0.9999998313840771,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999998313840771,8,5,2,5,2,2,5,19
deepseek-coder-1.3b,command_exec_direct_00_unsafe,command_exec_direct_00,unsafe,clean_heldout,clean,-1,23,5723, safe,-85.38090515136719,1.0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8,5,2,5,2,2,5,19
deepseek-coder-1.3b,command_exec_direct_00_safe,command_exec_direct_00,safe,clean_heldout,clean,-1,0,24281, vulnerable,57.14670181274414,1.000001332968196,47,-0.0687147780363889,0.039437769660091854,0.048536388404653595,0.7111096995694116,-0.09463273993510969,0.021932576820688533,0.47054725624663524,-0.1282148397617863,8,5,1,5,2,2,5,19
deepseek-coder-1.3b,command_exec_direct_00_safe,command_exec_direct_00,safe,clean_heldout,clean,-1,0,5723, safe,59.51289367675781,1.0000004925081316,47,-0.044680530241255206,0.0276719291753937,0.040853991693325306,0.6701329904759634,-0.08184739799145539,0.019546771392514095,0.49270977194783294,-0.12438703394418724,8,5,1,5,2,2,5,19
deepseek-coder-1.3b,command_exec_direct_00_safe,command_exec_direct_00,safe,clean_heldout,clean,-1,3,24281, vulnerable,57.14670181274414,1.0000010092436233,47,-0.06322465739066824,-0.008807226734010139,0.11160666933009983,0.8503796727314842,-0.07831174800985136,-0.058781782217278075,0.5408322546512454,-0.2936921731173983,8,5,1,5,2,2,5,19
deepseek-coder-1.3b,command_exec_direct_00_safe,command_exec_direct_00,safe,clean_heldout,clean,-1,3,5723, safe,59.51289367675781,1.0000003273163471,47,-0.03496529073856201,-0.020208672024690424,0.10040328959496564,0.8078387087438533,-0.07298940864042365,-0.05498658438897431,0.5426165648715706,-0.26770828010139197,8,5,1,5,2,2,5,19
deepseek-coder-1.3b,command_exec_direct_00_safe,command_exec_direct_00,safe,clean_heldout,clean,-1,7,24281, vulnerable,57.14670181274414,1.0000009015527265,47,-0.009892116172120866,-0.01608338512926496,0.14902861455082267,0.9654979205696143,-0.04182929400163478,-0.050971233169555555,0.5789271709775567,-0.574676776072691,8,5,1,5,2,2,5,19
deepseek-coder-1.3b,command_exec_direct_00_safe,command_exec_direct_00,safe,clean_heldout,clean,-1,7,5723, safe,59.51289367675781,1.0000001031587953,47,0.01048369484501839,-0.019455114176995844,0.13839133365485226,0.9185984963862452,-0.052678299681692416,-0.04840331157279673,0.5649124465465175,-0.5118491428423532,8,5,1,5,2,2,5,19
deepseek-coder-1.3b,command_exec_direct_00_safe,command_exec_direct_00,safe,clean_heldout,clean,-1,11,24281, vulnerable,57.14670181274414,1.0000005491453483,47,0.0005514415373082532,-0.043264164904395094,0.07690475522949082,1.1140954395945541,-0.02237537571346132,-0.03470301134829462,0.641959410680367,-0.7331679459302207,8,5,1,5,2,2,5,19
deepseek-coder-1.3b,command_exec_direct_00_safe,command_exec_direct_00,safe,clean_heldout,clean,-1,11,5723, safe,59.51289367675781,0.9999998204736501,47,0.011742130991014135,-0.0451587250899753,0.07885727521173713,1.064135390402237,-0.032681809023720865,-0.03656772572410343,0.6228220133641879,-0.6631487296577265,8,5,1,5,2,2,5,19
deepseek-coder-1.3b,command_exec_direct_00_safe,command_exec_direct_00,safe,clean_heldout,clean,-1,15,24281, vulnerable,57.14670181274414,1.0000008906011097,47,0.00018789675621042057,-0.03391155470234465,0.03959217598150683,1.2043129406304727,-0.021394429502962654,-0.027405373443034738,0.6374757385186172,-0.7988565036373553,8,5,1,5,2,2,5,19
deepseek-coder-1.3b,command_exec_direct_00_safe,command_exec_direct_00,safe,clean_heldout,clean,-1,15,5723, safe,59.51289367675781,0.9999999675750875,47,0.013892811969463334,-0.030028908089030873,0.04070348801880501,1.1390747136007378,-0.03347598251721626,-0.030770228223871397,0.6198711059497795,-0.7192670331335795,8,5,1,5,2,2,5,19
