model,item_id,family,pair_id,arm,read,layer,direction,edit,clean_logit_diff,ablated_logit_diff,delta_logit_diff,edit_norm_ratio
starcoder2-3b,binding-0-outer-call,binding,binding-0,outer,call,24,jlens,erase,3.25,3.5,0.25,0.007936087574761058
starcoder2-3b,binding-0-outer-call,binding,binding-0,outer,call,24,rlens,erase,3.25,3.25,0.0,0.013571680251158
starcoder2-3b,binding-0-outer-call,binding,binding-0,outer,call,24,logit,erase,3.25,3.25,0.0,0.0022902305847508483
starcoder2-3b,binding-0-outer-call,binding,binding-0,outer,call,24,offtarget_j,erase,3.25,3.25,0.0,0.02265190129049102
starcoder2-3b,binding-0-outer-call,binding,binding-0,outer,call,24,offtarget_r,erase,3.25,3.25,0.0,0.025462278967114806
starcoder2-3b,binding-0-outer-call,binding,binding-0,outer,call,24,random,erase,3.25,3.25,0.0,0.04302934352120848
starcoder2-3b,binding-0-outer-call,binding,binding-0,outer,call,24,random_matched,erase,3.25,3.25,0.0,0.007936087574761058
starcoder2-3b,binding-0-outer-call,binding,binding-0,outer,call,25,jlens,erase,3.25,3.25,0.0,0.008541786409092282
starcoder2-3b,binding-0-outer-call,binding,binding-0,outer,call,25,rlens,erase,3.25,3.25,0.0,9.473485664724892e-05
starcoder2-3b,binding-0-outer-call,binding,binding-0,outer,call,25,logit,erase,3.25,3.25,0.0,0.0024906495978248453
starcoder2-3b,binding-0-outer-call,binding,binding-0,outer,call,25,offtarget_j,erase,3.25,3.25,0.0,0.01851808446402062
starcoder2-3b,binding-0-outer-call,binding,binding-0,outer,call,25,offtarget_r,erase,3.25,3.25,0.0,0.0127486152928415
starcoder2-3b,binding-0-outer-call,binding,binding-0,outer,call,25,random,erase,3.25,3.5,0.25,0.0043393870315334
starcoder2-3b,binding-0-outer-call,binding,binding-0,outer,call,25,random_matched,erase,3.25,3.5,0.25,0.008541786409092282
starcoder2-3b,binding-0-outer-call,binding,binding-0,outer,call,26,jlens,erase,3.25,3.25,0.0,0.0035509481416036146
starcoder2-3b,binding-0-outer-call,binding,binding-0,outer,call,26,rlens,erase,3.25,3.5,0.25,0.008742580625869332
starcoder2-3b,binding-0-outer-call,binding,binding-0,outer,call,26,logit,erase,3.25,3.25,0.0,0.001058034387608389
starcoder2-3b,binding-0-outer-call,binding,binding-0,outer,call,26,offtarget_j,erase,3.25,3.25,0.0,0.0007955197908548796
starcoder2-3b,binding-0-outer-call,binding,binding-0,outer,call,26,offtarget_r,erase,3.25,3.25,0.0,0.004820980914166773
starcoder2-3b,binding-0-outer-call,binding,binding-0,outer,call,26,random,erase,3.25,3.5,0.25,0.0038443024262363
starcoder2-3b,binding-0-outer-call,binding,binding-0,outer,call,26,random_matched,erase,3.25,3.5,0.25,0.003550948912287538
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,24,jlens,erase,3.25,3.25,0.0,0.14386286806956375
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,24,rlens,erase,3.25,3.25,0.0,0.13998113152288338
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,24,logit,erase,3.25,3.0,-0.25,0.14058809372858863
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,24,offtarget_j,erase,3.25,4.0,0.75,0.08224372791650802
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,24,offtarget_r,erase,3.25,3.75,0.5,0.08512722455130708
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,24,random,erase,3.25,3.25,0.0,0.02387729728222108
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,24,random_matched,erase,3.25,3.5,0.25,0.14386285183498473
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,25,jlens,erase,3.25,3.0,-0.25,0.13989782262657732
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,25,rlens,erase,3.25,3.0,-0.25,0.14440472088215023
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,25,logit,erase,3.25,3.0,-0.25,0.13082090226831256
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,25,offtarget_j,erase,3.25,4.5,1.25,0.07503384304777906
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,25,offtarget_r,erase,3.25,4.5,1.25,0.0840946709313353
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,25,random,erase,3.25,3.5,0.25,0.02378784407735761
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,25,random_matched,erase,3.25,3.5,0.25,0.13989783678625592
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,26,jlens,erase,3.25,2.875,-0.375,0.14942370466037236
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,answer,26,rlens,erase,3.25,2.875,-0.375,0.15052650054003586
