model,split,layer,question,arm,statistic,is_primary,n,n_bases,mean,median,sd,cohens_d,ci_lo,ci_hi,sign_consistency,n_nonzero,sign_test_p,permutation_p,permutation_effect_size
deepseek-coder-6.7b,test,0,scope/direct,ab,delta_contrast_prob,1,280,280,4.20273039132396e-06,5.185936193283919e-06,7.142630213702305e-05,0.058840094833154194,-4.158602349750019e-06,1.2516041118335335e-05,0.525,280,0.43727338509357616,0.324,0.9601256679993558
deepseek-coder-6.7b,test,0,scope/direct,ab,delta_contrast_z,0,280,280,0.0002723889479935267,0.00035130154014607895,0.004075945013848406,0.06682841575832345,-0.00020061077583732369,0.0007496348143358587,0.5321428571428571,280,0.3096519366844883,0.294,1.097115733009214
deepseek-coder-6.7b,test,0,scope/direct,ab,delta_prob_control,0,280,280,-1.3566891916452565e-05,-6.868941438987683e-06,0.00018719215560915607,-0.0724757502380563,-3.546704917768227e-05,9.141740574317097e-06,0.4857142857142857,280,0.6757814111963587,0.238,-1.2414700358750879
deepseek-coder-6.7b,test,0,scope/direct,ab,delta_prob_mechanism,0,280,280,1.3236147010928174e-05,1.6742434825735026e-05,0.00018997111074054305,0.06967452555986638,-8.228835340816994e-06,3.581943693390656e-05,0.5321428571428571,280,0.3096519366844883,0.25,1.2445839503996445
deepseek-coder-6.7b,test,0,scope/direct,ab,delta_z_control,0,280,280,-8.884006429727384e-05,-0.0003358795777390355,0.0024790179851015923,-0.03583679700235539,-0.0003681166243632115,0.0002047766743189862,0.45357142857142857,280,0.13502320750875024,0.556,-0.6784684922113375
deepseek-coder-6.7b,test,0,scope/direct,ab,delta_z_family_action,0,280,280,0.0010223586092930825,0.001424441462276535,0.009744104449123155,0.10492073587994859,-0.00014609505078517587,0.002148067485987808,0.5285714285714286,280,0.3700563944724199,0.062,1.804020315052566
deepseek-coder-6.7b,test,0,scope/direct,ab,delta_z_family_ordinal,0,280,280,-0.00014180553598211698,-1.0456029109660696e-05,0.00905024242476372,-0.01566870027637068,-0.0011896694288396356,0.0009064791604286039,0.5,280,1.0,0.824,-0.36688824882436616
deepseek-coder-6.7b,test,0,scope/direct,ab,delta_z_family_scope,0,280,280,8.064631338553935e-05,-4.179820662607737e-05,0.005965544120758019,0.013518685262073282,-0.0006390114435678701,0.0007885953241258729,0.49642857142857144,280,0.9523598320677091,0.804,0.27017505696495375
deepseek-coder-6.7b,test,0,scope/direct,ab,delta_z_family_shadowing,0,280,280,0.0007820036157533469,0.0010232776045450073,0.009246302914282039,0.0845747346807606,-0.0002515656082348418,0.0019019648099002035,0.5464285714285714,280,0.13502320750875024,0.146,1.525387938393668
deepseek-coder-6.7b,test,0,scope/direct,ab,delta_z_mechanism,0,280,280,0.00031898932012203353,0.0008898999746214567,0.004776787218049068,0.06677905160119628,-0.00021921322748048663,0.0008829910367912872,0.5357142857142857,280,0.25613926267101966,0.284,1.1630191379019523
