example,max_abs_delta,logit_scale,rel_delta
0,0.00012969970703125,80.07192993164062,1.6197899456398495e-06
1,0.0001239776611328125,79.2345962524414,1.5646910187794698e-06
2,0.000110626220703125,74.663330078125,1.4816673805919149e-06
3,9.918212890625e-05,75.37470245361328,1.3158543341154569e-06
4,0.00010013580322265625,77.35513305664062,1.2944946154941684e-06
