scope,arm,binding,split,accuracy,ci_lo,ci_hi,n,n_bases,threshold
overall,,,test,0.8089285714285714,0.7785714285714286,0.8375,560,140,0.85
cell,ab,source,test,1.0,1.0,1.0,140,140,0.75
cell,ab,target,test,0.5714285714285714,0.4857142857142857,0.6571428571428571,140,140,0.75
cell,ba,source,test,1.0,1.0,1.0,140,140,0.75
cell,ba,target,test,0.6642857142857143,0.5857142857142857,0.7428571428571429,140,140,0.75
