model,condition,condition_kind,condition_order,prompt_style,n_pairs,accuracy,accuracy_unsafe,accuracy_safe,says_tainted_rate,pair_separation,pair_separation_p,mean_model_delta,model_delta_ci_lo,model_delta_ci_hi
deepseek-coder-6.7b,clean_heldout,clean,-1,e6,72,0.4861111111111111,0.7777777777777778,0.19444444444444445,0.7916666666666666,0.2222222222222222,2.397319809534421e-06,-0.016167534722222224,-0.025173611111111112,-0.006510416666666667
deepseek-coder-6.7b,normalize,baseline,0,e6,72,0.5,0.7638888888888888,0.2361111111111111,0.7638888888888888,0.3333333333333333,0.006309827313666047,-0.017578125827842288,-0.029947915880216492,-0.005531141575839799
deepseek-coder-6.7b,rename_only,atomic,11,e6,72,0.4861111111111111,0.8472222222222222,0.125,0.8611111111111112,0.4027777777777778,0.12491820036864004,-0.003906252483526866,-0.013020833333333334,0.00542534641507599
deepseek-coder-6.7b,opaque_only,atomic,12,e6,72,0.4930555555555556,0.9027777777777778,0.08333333333333333,0.9097222222222222,0.2222222222222222,2.397319809534421e-06,-0.019422742227713268,-0.029079858689672416,-0.010199652736385664
deepseek-coder-6.7b,encode_only,atomic,13,e6,72,0.4583333333333333,0.8333333333333334,0.08333333333333333,0.875,0.2777777777777778,0.00020771603022674048,-0.02723524471124013,-0.03927951482021146,-0.015407992713153362
deepseek-coder-6.7b,flatten_only,atomic,14,e6,72,0.4930555555555556,0.9305555555555556,0.05555555555555555,0.9375,0.3888888888888889,0.07636915467183139,0.0014105869664086236,-0.009765625103480287,0.01215277620487743
deepseek-coder-6.7b,rename_cumulative,cumulative,21,e6,72,0.4861111111111111,0.8333333333333334,0.1388888888888889,0.8472222222222222,0.4027777777777778,0.12491820036864004,-0.008246527777777778,-0.0184461806797319,0.0015190997264451452
deepseek-coder-6.7b,rename_opaque,cumulative,22,e6,72,0.4930555555555556,0.9861111111111112,0.0,0.9930555555555556,0.4027777777777778,0.12491820036864004,-0.006510419150193532,-0.01475694692797131,0.0026095934833089214
deepseek-coder-6.7b,rename_opaque_encode,cumulative,23,e6,72,0.5,1.0,0.0,1.0,0.3611111111111111,0.02446090732832437,-0.006510420805878109,-0.015624996026357016,0.0013020791941218907
deepseek-coder-6.7b,rename_opaque_encode_flatten,cumulative,24,e6,72,0.5,1.0,0.0,1.0,0.3472222222222222,0.012774595538064901,-0.002604164183139801,-0.009331595587233702,0.0036892419267031884
deepseek-coder-6.7b,clean_heldout,clean,-1,sink,72,0.5,1.0,0.0,1.0,0.75,2.568720337924735e-05,0.030707461138566334,0.021047623993621933,0.040692812576889975
deepseek-coder-6.7b,normalize,baseline,0,sink,72,0.5,1.0,0.0,1.0,0.8194444444444444,3.808597848374418e-08,0.04459635582235125,0.0324435755610466,0.05631782321466338
deepseek-coder-6.7b,rename_only,atomic,11,sink,72,0.5,1.0,0.0,1.0,0.5972222222222222,0.12491820036864004,0.021050341427326202,0.01258137368907531,0.029513879782623716
deepseek-coder-6.7b,opaque_only,atomic,12,sink,72,0.5,1.0,0.0,1.0,0.6527777777777778,0.012774595538064901,0.01888020998901791,0.011935767158865929,0.025824652798473832
deepseek-coder-6.7b,encode_only,atomic,13,sink,72,0.5,1.0,0.0,1.0,0.4861111111111111,0.906294324703081,0.01573349204328325,0.004774289764463902,0.02691242158826853
deepseek-coder-6.7b,flatten_only,atomic,14,sink,72,0.5,1.0,0.0,1.0,0.5972222222222222,0.12491820036864004,0.017361110283268824,0.0056423577790459005,0.0292968717093269
deepseek-coder-6.7b,rename_cumulative,cumulative,21,sink,72,0.5,1.0,0.0,1.0,0.6666666666666666,0.006309827313666047,0.0245225727558136,0.01649306050191323,0.03298611442248026
deepseek-coder-6.7b,rename_opaque,cumulative,22,sink,72,0.5,1.0,0.0,1.0,0.6388888888888888,0.02446090732832437,0.018446176416344114,0.010199644395874605,0.026692707588275272
deepseek-coder-6.7b,rename_opaque_encode,cumulative,23,sink,72,0.5,1.0,0.0,1.0,0.6111111111111112,0.07636915467183139,0.016927088300387066,0.009331607963475916,0.024305558101170594
deepseek-coder-6.7b,rename_opaque_encode_flatten,cumulative,24,sink,72,0.5,1.0,0.0,1.0,0.5555555555555556,0.40957939592707177,0.0134548619389534,0.004774309653374884,0.021918404433462355
