split,position,site_kind,site,variant,n_families,min_family_delta,max_family_delta,all_families_positive,all_families_ci_positive,delta_affine,ci_lo_affine,delta_threshold,ci_lo_threshold
calib,use,band,L12+18+23,jlens_value,2,-0.0010416666666666667,0.0041666696468989056,False,False,0.0041666696468989056,-0.0005208174635966618,-0.0010416666666666667,-0.005989583333333334
calib,use,band,L12+18+23,logit_value,2,0.0,0.001562514901161194,False,False,0.001562514901161194,-0.002617188890775044,0.0,-0.0046875
calib,use,band,L12+18+23,noop_same_value,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
calib,use,band,L12+18+23,whole_state,2,-0.002864583333333333,0.05950520932674408,False,False,0.05950520932674408,0.011054696639378867,-0.002864583333333333,-0.009375
calib,use,band,L6+12+18,gram_random,2,-0.005989583333333334,0.0026041706403096515,False,False,0.0026041706403096515,-0.004166659787297249,-0.005989583333333334,-0.010416666666666666
calib,use,band,L6+12+18,jlens_answer,2,0.00026041666666666666,0.002213550607363383,True,False,0.002213550607363383,-0.0036458273977041248,0.00026041666666666666,-0.0036458333333333334
calib,use,band,L6+12+18,jlens_value,2,-0.0033854166666666668,0.009895843267440797,False,False,0.009895843267440797,0.002604172577460607,-0.0033854166666666668,-0.007291666666666667
calib,use,band,L6+12+18,logit_value,2,0.0013020833333333333,0.0067708373069763185,True,False,0.0067708373069763185,0.002604167660077413,0.0013020833333333333,-0.00390625
calib,use,band,L6+12+18,noop_same_value,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
calib,use,band,L6+12+18,whole_state,2,-0.012239583333333333,0.504296878973643,False,False,0.504296878973643,0.2877571703493595,-0.012239583333333333,-0.03697916666666667
calib,use,single,L12,gram_random,2,-0.0026041666666666665,-0.001302070418993632,False,False,-0.001302070418993632,-0.005468746100862821,-0.0026041666666666665,-0.0067708333333333336
calib,use,single,L12,jlens_answer,2,-0.0013020833333333333,0.004427088300387064,False,False,0.004427088300387064,-0.0005208214372396468,-0.0013020833333333333,-0.00546875
calib,use,single,L12,jlens_value,2,0.0013020833333333333,0.0023437599341074628,True,False,0.0023437599341074628,-0.0015624910593032837,0.0013020833333333333,-0.003125
calib,use,single,L12,logit_value,2,-0.00234375,0.003255215287208557,False,False,0.003255215287208557,-0.0024739414701859157,-0.00234375,-0.0067708333333333336
calib,use,single,L12,noop_same_value,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
calib,use,single,L12,whole_state,2,-0.004427083333333333,0.05690105656782786,False,False,0.05690105656782786,0.01001629702746868,-0.004427083333333333,-0.010944010416666665
calib,use,single,L18,gram_random,2,-0.003125,0.004427090287208557,False,False,0.004427090287208557,2.9802322387695314e-09,-0.003125,-0.007291666666666667
calib,use,single,L18,jlens_answer,2,-0.0018229166666666667,0.001041687528292338,False,False,0.001041687528292338,-0.002604160780707995,-0.0018229166666666667,-0.00546875
calib,use,single,L18,jlens_value,2,-0.003125,-0.0015624701976776124,False,False,-0.0015624701976776124,-0.005208309516310692,-0.003125,-0.007552083333333333
calib,use,single,L18,logit_value,2,-0.00234375,0.0024739603201548257,False,False,0.0024739603201548257,-0.0011751358707745869,-0.00234375,-0.006510416666666667
calib,use,single,L18,noop_same_value,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
calib,use,single,L18,whole_state,2,-0.0006510456403096517,0.00026041666666666666,False,False,-0.0006510456403096517,-0.029296883990367256,0.00026041666666666666,-0.004427083333333333
calib,use,single,L23,gram_random,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
calib,use,single,L23,jlens_answer,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
calib,use,single,L23,jlens_value,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
calib,use,single,L23,logit_value,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
calib,use,single,L23,noop_same_value,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
calib,use,single,L23,whole_state,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
calib,use,single,L6,gram_random,2,-0.004427083333333333,0.0011718938748041788,False,False,0.0011718938748041788,-0.003649083897471428,-0.004427083333333333,-0.007552083333333333
calib,use,single,L6,jlens_answer,2,-0.00026041666666666666,0.003906253973642985,False,False,0.003906253973642985,-0.0015624801566203434,-0.00026041666666666666,-0.005208333333333333
calib,use,single,L6,jlens_value,2,-0.0018229166666666667,0.011067719260851542,False,False,0.011067719260851542,0.0036458461731672287,-0.0018229166666666667,-0.00546875
calib,use,single,L6,logit_value,2,0.00026041666666666666,0.005859381953875224,True,False,0.005859381953875224,0.0011686164389053983,0.00026041666666666666,-0.0033854166666666668
calib,use,single,L6,noop_same_value,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
calib,use,single,L6,whole_state,2,-0.013541666666666667,0.4915364513794581,False,False,0.4915364513794581,0.27548176974058153,-0.013541666666666667,-0.03958984375
test,pre_def,band,L12+18+23,gram_random,2,-0.0050223239830562046,0.0003348214285714286,False,False,-0.0050223239830562046,-0.009598215382014002,0.0003348214285714286,-0.0026785714285714286
test,pre_def,band,L12+18+23,jlens_answer,2,-0.004575893708637782,-0.00011160714285714285,False,False,-0.004575893708637782,-0.008147324887769564,-0.00011160714285714285,-0.0033482142857142855
test,pre_def,band,L12+18+23,jlens_value,2,-0.0031250004257474626,0.00234375,False,False,-0.0031250004257474626,-0.006696433361087526,0.00234375,-0.0003348214285714286
test,pre_def,band,L12+18+23,logit_value,2,-0.002008938789367676,0.0005580355014119829,False,False,-0.002008938789367676,-0.005133943100060736,0.0005580355014119829,-0.002678571433893272
test,pre_def,band,L12+18+23,noop_same_value,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
test,pre_def,band,L12+18+23,whole_state,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
test,pre_def,band,L6+12+18,gram_random,2,-0.0031250046832220894,0.0012276785714285714,False,False,-0.0031250046832220894,-0.006587621037449156,0.0012276785714285714,-0.0021233258928571425
test,pre_def,band,L6+12+18,jlens_answer,2,-0.0030133907284055437,0.0015625,False,False,-0.0030133907284055437,-0.007366065500038011,0.0015625,-0.0012276785714285714
test,pre_def,band,L6+12+18,jlens_value,2,-0.0037946420056479318,0.00011160714285714285,False,False,-0.0037946420056479318,-0.008370540120771952,0.00011160714285714285,-0.003125
test,pre_def,band,L6+12+18,logit_value,2,-0.0036830352885382518,0.0011160714285714285,False,False,-0.0036830352885382518,-0.007480478510260582,0.0011160714285714285,-0.0018973214285714286
test,pre_def,band,L6+12+18,noop_same_value,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
test,pre_def,band,L6+12+18,whole_state,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
test,pre_def,single,L12,gram_random,2,-0.003794645411627633,-0.0006696430700165885,False,False,-0.003794645411627633,-0.007924108537180083,-0.0006696430700165885,-0.003794642857142857
