split,position,site,contrast,delta,ci_lo,ci_hi,n_rows,n_bases,clens_exceeds_control
test,use,L6,clens_value - logit_value,0.004575895624501363,0.0017857226782611445,0.007589279631418838,280,70,True
test,use,L6,clens_value - gram_random,0.0029575910951410017,-5.57959904628121e-05,0.005970979245113473,280,70,False
test,use,L6,clens_value - noop_same_value,0.002343749574252537,-0.0006138412228652393,0.00535714330417769,280,70,False
test,use,L6,clens_value - clens_answer,0.0025669647114617486,-0.0008370531510029517,0.006138388493231362,280,70,False
test,use,L6,clens_value - whole_state,-0.20563615752117975,-0.29046177329229456,-0.12873604297637942,280,70,False
