lens,layer,read,family,concept,n_bases,binding_delta_ab,binding_delta_ab_lo,binding_delta_ab_hi,binding_delta_ba,binding_delta_ba_lo,binding_delta_ba_hi,value_delta,value_delta_lo,value_delta_hi,crossed_agreement
j-lens,0,answer,binding_concept,active,56,-0.007393973214285714,-0.011579241071428572,-0.003208705357142857,-0.009486607142857142,-0.014369419642857142,-0.004879324776785733,0.0020926339285714285,-0.0018136160714285715,0.006138392857142857,True
j-lens,0,answer,binding_concept,binding,56,-0.030936104910714284,-0.040353829520089285,-0.021117292131696434,-0.029802594866071428,-0.04032069614955357,-0.02005222865513394,-0.0011335100446428572,-0.006399972098214286,0.004063633510044641,True
j-lens,0,answer,binding_concept,bound,56,-0.022600446428571428,-0.028323800223214287,-0.017020089285714284,-0.025390625,-0.031529017857142856,-0.019670758928571428,0.0027901785714285715,-0.001119559151785714,0.0068359375,True
j-lens,0,answer,binding_concept,definition,56,-0.026785714285714284,-0.03461216517857143,-0.01953125,-0.021205357142857144,-0.029017857142857144,-0.013392857142857142,-0.005580357142857143,-0.012834821428571428,0.0016741071428571428,True
j-lens,0,answer,binding_concept,global,56,0.018973214285714284,0.011021205357142858,0.026649693080357122,0.017857142857142856,0.009343610491071429,0.025530133928571428,0.0011160714285714285,-0.003208705357142857,0.005165318080357124,True
j-lens,0,answer,binding_concept,inner,56,0.002650669642857143,-0.003838239397321428,0.00927734375,0.004464285714285714,-0.0025809151785714285,0.011509486607142858,-0.0018136160714285715,-0.005930873325892857,0.002582659040178562,True
j-lens,0,answer,binding_concept,local,56,0.027901785714285716,0.02162039620535714,0.03459821428571429,0.028459821428571428,0.022321428571428572,0.03501674107142857,-0.0005580357142857143,-0.004464285714285714,0.003208705357142857,True
j-lens,0,answer,binding_concept,outer,56,-0.007533482142857143,-0.013675362723214285,-0.0008370535714285714,-0.003627232142857143,-0.010044642857142858,0.003208705357142857,-0.00390625,-0.008510044642857142,0.0009765625,True
j-lens,0,answer,binding_concept,scope,56,0.00341796875,-0.0034877232142857145,0.009840611049107113,0.0011160714285714285,-0.007045200892857143,0.00886230468749998,0.0023018973214285715,-0.0025809151785714285,0.006975446428571429,True
j-lens,0,answer,binding_concept,shadow,56,-0.005301339285714286,-0.014229910714285714,0.004185267857142857,-0.008091517857142858,-0.017299107142857144,0.0008370535714285714,0.0027901785714285715,-0.002232142857142857,0.0078125,True
