example_id,layer,lens,comparison,stratum,positive_name,negative_name,distance_gap,margin,correct
synthetic_control_167154,-1,clens,control_dep,indent_matched,o,k,-15,0.09488427639007568,True
synthetic_control_167154,-1,logit,control_dep,indent_matched,o,k,-15,0.26879316568374634,True
synthetic_control_167154,-1,random,control_dep,indent_matched,o,k,-15,-1.2340121269226074,False
synthetic_control_167154,-1,clens,guard_var,present_in_program,n,o,0,-0.1128624677658081,False
synthetic_control_167154,-1,logit,guard_var,present_in_program,n,o,0,0.3363445997238159,True
synthetic_control_167154,-1,random,guard_var,present_in_program,n,o,0,1.3939143419265747,True
synthetic_control_167154,-1,clens,next_ident,present_in_program,o,f,0,0.11171400547027588,True
synthetic_control_167154,-1,logit,next_ident,present_in_program,o,f,0,0.1577642560005188,True
synthetic_control_167154,-1,random,next_ident,present_in_program,o,f,0,-1.5030853748321533,False
synthetic_control_167154,-1,clens,control_dep,indent_matched,k,o,1,-0.09488427639007568,False
synthetic_control_167154,-1,logit,control_dep,indent_matched,k,o,1,-0.26879316568374634,False
synthetic_control_167154,-1,random,control_dep,indent_matched,k,o,1,1.2340121269226074,True
synthetic_control_167154,-1,clens,guard_var,present_in_program,f,n,0,0.0011484622955322266,True
synthetic_control_167154,-1,logit,guard_var,present_in_program,f,n,0,-0.4941088557243347,False
synthetic_control_167154,-1,random,guard_var,present_in_program,f,n,0,0.10917103290557861,True
synthetic_control_167154,-1,clens,next_ident,present_in_program,k,o,0,-0.09488427639007568,False
synthetic_control_167154,-1,logit,next_ident,present_in_program,k,o,0,-0.26879316568374634,False
synthetic_control_167154,-1,random,next_ident,present_in_program,k,o,0,1.2340121269226074,True
synthetic_control_367930,-1,clens,control_dep,indent_matched,v,c,-72,0.08253777027130127,True
synthetic_control_367930,-1,logit,control_dep,indent_matched,v,c,-72,0.656923770904541,True
synthetic_control_367930,-1,random,control_dep,indent_matched,v,c,-72,2.8149614334106445,True
synthetic_control_367930,-1,clens,control_dep,indent_matched,v,u,-65,0.06710994243621826,True
synthetic_control_367930,-1,logit,control_dep,indent_matched,v,u,-65,-0.49434277415275574,False
synthetic_control_367930,-1,random,control_dep,indent_matched,v,u,-65,1.3843410015106201,True
synthetic_control_367930,-1,clens,control_dep,indent_matched,v,y,-58,0.072456955909729,True
synthetic_control_367930,-1,logit,control_dep,indent_matched,v,y,-58,-0.04592743515968323,False
synthetic_control_367930,-1,random,control_dep,indent_matched,v,y,-58,0.8888179063796997,True
synthetic_control_367930,-1,clens,control_dep,indent_matched,v,w,-36,0.01932239532470703,True
synthetic_control_367930,-1,logit,control_dep,indent_matched,v,w,-36,0.010740071535110474,True
synthetic_control_367930,-1,random,control_dep,indent_matched,v,w,-36,0.7936151027679443,True
synthetic_control_367930,-1,clens,control_dep,indent_matched,o,w,-29,0.12087690830230713,True
synthetic_control_367930,-1,logit,control_dep,indent_matched,o,w,-29,-0.02174520492553711,False
synthetic_control_367930,-1,random,control_dep,indent_matched,o,w,-29,-1.4210948944091797,False
synthetic_control_367930,-1,clens,control_dep,indent_matched,o,c,-65,0.18409228324890137,True
synthetic_control_367930,-1,logit,control_dep,indent_matched,o,c,-65,0.6244385242462158,True
synthetic_control_367930,-1,random,control_dep,indent_matched,o,c,-65,0.6002512574195862,True
synthetic_control_367930,-1,clens,control_dep,indent_matched,o,y,-51,0.1740114688873291,True
synthetic_control_367930,-1,logit,control_dep,indent_matched,o,y,-51,-0.07841271162033081,False
