task,layer,filler_type,filler_target,filler_tokens_mean,accuracy,n
binding,7,comment_prose,200,224.0,0.9633774160732451,1966
binding,7,comment_prose,500,512.0,0.9720101781170484,1965
binding,7,comment_prose,1000,1005.0,0.944557477110885,1966
binding,7,competing_update,0,0.0,0.9989852866565195,1971
binding,7,competing_update,50,50.0,0.9233557742102537,1931
binding,7,competing_update,100,104.0,0.9208523592085236,1971
binding,7,competing_update,200,200.0,0.8975139523084729,1971
binding,7,competing_update,500,500.0,0.8970065956367326,1971
binding,7,competing_update,1000,1003.0,0.8640284119736175,1971
binding,7,dead_code,0,0.0,0.9994926433282597,1971
binding,7,dead_code,50,50.0,0.9841732611411912,2401
binding,7,dead_code,100,100.0,0.9657265262406284,2801
binding,7,dead_code,200,200.0,0.9094695917800611,3601
binding,7,dead_code,500,511.0,0.814859506981555,5801
binding,7,dead_code,1000,1004.0,0.7967612216063471,9201
binding,7,lexical_decoy,0,0.0,0.9989852866565195,1971
binding,7,lexical_decoy,50,72.0,0.9404075355632449,2601
binding,7,lexical_decoy,100,120.0,0.9443518827057648,3001
binding,7,lexical_decoy,200,216.0,0.9321231254932912,3801
binding,7,lexical_decoy,500,520.0,0.9270121646392268,6001
binding,7,lexical_decoy,1000,1024.0,0.8886574315175503,9601
binding,7,scope_shadow,0,0.0,0.9989852866565195,1971
binding,7,scope_shadow,50,60.0,0.7475635390789223,5233
binding,7,scope_shadow,100,105.0,0.6480668308878654,9337
binding,7,scope_shadow,200,201.0,0.5443402698376401,21865
binding,7,scope_shadow,500,507.0,0.4719548128370688,94009
binding,7,scope_shadow,1000,1000.0,0.43257042088085224,319259
binding,11,comment_prose,0,0.0,0.9984748347737672,1967
binding,11,comment_prose,50,56.0,0.9949057564951604,1963
binding,11,comment_prose,100,112.0,0.9944048830111902,1966
binding,11,comment_prose,200,224.0,0.9928789420142421,1966
binding,11,comment_prose,500,512.0,0.9811704834605598,1965
binding,11,comment_prose,1000,1005.0,0.9710071210579858,1966
binding,11,competing_update,0,0.0,0.9979705733130391,1971
binding,11,competing_update,50,50.0,0.9036768513723459,1931
binding,11,competing_update,100,104.0,0.9005580923389143,1971
binding,11,competing_update,200,200.0,0.9041095890410958,1971
binding,11,competing_update,500,500.0,0.8990360223236935,1971
binding,11,competing_update,1000,1003.0,0.8767123287671232,1971
binding,11,dead_code,0,0.0,0.9994926433282597,1971
binding,11,dead_code,50,50.0,0.9920866305705955,2401
binding,11,dead_code,100,100.0,0.9828632631203141,2801
binding,11,dead_code,200,200.0,0.9419605665093029,3601
binding,11,dead_code,500,511.0,0.894845716255818,5801
binding,11,dead_code,1000,1004.0,0.8679491359634822,9201
binding,11,lexical_decoy,0,0.0,0.9979705733130391,1971
binding,11,lexical_decoy,50,72.0,0.9296424452133795,2601
binding,11,lexical_decoy,100,120.0,0.9260246584471843,3001
binding,11,lexical_decoy,200,216.0,0.8826624572480926,3801
binding,11,lexical_decoy,500,520.0,0.8656890518246959,6001
binding,11,lexical_decoy,1000,1024.0,0.8436621185293198,9601
binding,11,scope_shadow,0,0.0,0.9989852866565195,1971
binding,11,scope_shadow,50,60.0,0.8220905790177718,5233
binding,11,scope_shadow,100,105.0,0.766091892470815,9337
binding,11,scope_shadow,200,201.0,0.6603247198719414,21865
binding,11,scope_shadow,500,507.0,0.5575317256858386,94009
binding,11,scope_shadow,1000,1000.0,0.5070647969203688,319259
binding,15,comment_prose,0,0.0,0.9989832231825114,1967
binding,15,comment_prose,50,56.0,0.9862455425369333,1963
binding,15,comment_prose,100,112.0,0.9898270600203459,1966
binding,15,comment_prose,200,224.0,0.9852492370295015,1966
binding,15,comment_prose,500,512.0,0.9872773536895675,1965
binding,15,comment_prose,1000,1005.0,0.9883011190233978,1966
binding,15,competing_update,0,0.0,0.9979705733130391,1971
binding,15,competing_update,50,50.0,0.9026411185914034,1931
binding,15,competing_update,100,104.0,0.9020801623541349,1971
binding,15,competing_update,200,200.0,0.9076610857432775,1971
binding,15,competing_update,500,500.0,0.9081684424150177,1971
binding,15,competing_update,1000,1003.0,0.8741755454084221,1971
binding,15,dead_code,0,0.0,0.9994926433282597,1971
binding,15,dead_code,50,50.0,0.9441899208663057,2401
binding,15,dead_code,100,100.0,0.9264548375580149,2801
binding,15,dead_code,200,200.0,0.8953068592057761,3601
binding,15,dead_code,500,511.0,0.8838131356662644,5801
binding,15,dead_code,1000,1004.0,0.8592544288664276,9201
binding,15,lexical_decoy,0,0.0,0.9984779299847792,1971
binding,15,lexical_decoy,50,72.0,0.8981161091887736,2601
binding,15,lexical_decoy,100,120.0,0.8843718760413196,3001
binding,15,lexical_decoy,200,216.0,0.8781899500131545,3801
binding,15,lexical_decoy,500,520.0,0.8953507748708549,6001
binding,15,lexical_decoy,1000,1024.0,0.8982397666909697,9601
binding,15,scope_shadow,0,0.0,0.9984779299847792,1971
binding,15,scope_shadow,50,60.0,0.8192241544047392,5233
binding,15,scope_shadow,100,105.0,0.727321409446289,9337
binding,15,scope_shadow,200,201.0,0.6315115481362908,21865
binding,15,scope_shadow,500,507.0,0.5173866331946941,94009
binding,15,scope_shadow,1000,1000.0,0.4028954547874923,319259
binding,19,comment_prose,0,0.0,0.9994916115912558,1967
binding,19,comment_prose,50,56.0,0.9928680590932246,1963
binding,19,comment_prose,100,112.0,0.9918616480162767,1966
binding,19,comment_prose,200,224.0,0.9908443540183113,1966
binding,19,comment_prose,500,512.0,0.989821882951654,1965
binding,19,comment_prose,1000,1005.0,0.9811800610376399,1966
binding,19,competing_update,0,0.0,0.9989852866565195,1971
binding,19,competing_update,50,50.0,0.9016053858104609,1931
binding,19,competing_update,100,104.0,0.9005580923389143,1971
binding,19,competing_update,200,200.0,0.8904109589041096,1971
binding,19,competing_update,500,500.0,0.8843226788432268,1971
binding,19,competing_update,1000,1003.0,0.8655504819888381,1971
binding,19,dead_code,0,0.0,0.9994926433282597,1971
binding,19,dead_code,50,50.0,0.9383590170762183,2401
binding,19,dead_code,100,100.0,0.9339521599428775,2801
binding,19,dead_code,200,200.0,0.9289086364898639,3601
binding,19,dead_code,500,511.0,0.9050163764868127,5801
binding,19,dead_code,1000,1004.0,0.87197043799587,9201
binding,19,lexical_decoy,0,0.0,0.9989852866565195,1971
binding,19,lexical_decoy,50,72.0,0.9284890426758939,2601
binding,19,lexical_decoy,100,120.0,0.931356214595135,3001
binding,19,lexical_decoy,200,216.0,0.9358063667455933,3801
binding,19,lexical_decoy,500,520.0,0.9115147475420763,6001
binding,19,lexical_decoy,1000,1024.0,0.8885532757004478,9601
binding,19,scope_shadow,0,0.0,0.9989852866565195,1971
binding,19,scope_shadow,50,60.0,0.754825148098605,5233
binding,19,scope_shadow,100,105.0,0.684481096712006,9337
binding,19,scope_shadow,200,201.0,0.5564600960439058,21865
binding,19,scope_shadow,500,507.0,0.30567286110904274,94009
binding,19,scope_shadow,1000,1000.0,0.18474028923225344,319259
binding,23,comment_prose,0,0.0,0.9984748347737672,1967
binding,23,comment_prose,50,56.0,0.9867549668874173,1963
binding,23,comment_prose,100,112.0,0.9883011190233978,1966
binding,23,comment_prose,200,224.0,0.9857578840284842,1966
binding,23,comment_prose,500,512.0,0.9806615776081425,1965
binding,23,comment_prose,1000,1005.0,0.9710071210579858,1966
binding,23,competing_update,0,0.0,0.9979705733130391,1971
binding,23,competing_update,50,50.0,0.8881408596582082,1931
binding,23,competing_update,100,104.0,0.8929477422628107,1971
binding,23,competing_update,200,200.0,0.8888888888888888,1971
binding,23,competing_update,500,500.0,0.8731608320649417,1971
binding,23,competing_update,1000,1003.0,0.8574327752409944,1971
binding,23,dead_code,0,0.0,0.9984779299847792,1971
binding,23,dead_code,50,50.0,0.8967097042898792,2401
binding,23,dead_code,100,100.0,0.8629061049625134,2801
binding,23,dead_code,200,200.0,0.8311580116634268,3601
binding,23,dead_code,500,511.0,0.7790036200655059,5801
binding,23,dead_code,1000,1004.0,0.7440495598304532,9201
binding,23,lexical_decoy,0,0.0,0.9974632166412988,1971
binding,23,lexical_decoy,50,72.0,0.9054209919261822,2601
binding,23,lexical_decoy,100,120.0,0.894701766077974,3001
binding,23,lexical_decoy,200,216.0,0.8789792159957905,3801
binding,23,lexical_decoy,500,520.0,0.8436927178803533,6001
binding,23,lexical_decoy,1000,1024.0,0.828559525049474,9601
binding,23,scope_shadow,0,0.0,0.9979705733130391,1971
binding,23,scope_shadow,50,60.0,0.7773743550544621,5233
binding,23,scope_shadow,100,105.0,0.7259290992824248,9337
binding,23,scope_shadow,200,201.0,0.6544248799451178,21865
binding,23,scope_shadow,500,507.0,0.5237902753991639,94009
binding,23,scope_shadow,1000,1000.0,0.38762572080975005,319259
binding,27,comment_prose,0,0.0,0.9974580579562786,1967
binding,27,comment_prose,50,56.0,0.9383596535914417,1963
binding,27,comment_prose,100,112.0,0.9501525940996948,1966
binding,27,comment_prose,200,224.0,0.9557477110885045,1966
binding,27,comment_prose,500,512.0,0.956234096692112,1965
binding,27,comment_prose,1000,1005.0,0.9511698880976602,1966
binding,27,competing_update,0,0.0,0.9974632166412988,1971
binding,27,competing_update,50,50.0,0.8829621957534955,1931
binding,27,competing_update,100,104.0,0.8833079654997463,1971
