layer,contrast,n,mean,lo,hi,excludes_zero
5,jlens_vs_offtarget,200,0.0096875,-0.001299290577177973,0.021756821338564637,False
5,rlens_vs_offtarget,200,-0.0009375,-0.012850467289719626,0.012099042338709665,False
5,jlens_vs_random_matched,200,0.0196875,0.009057766083021838,0.030798534672537143,True
5,rlens_vs_random_matched,200,0.0115625,0.0003485288158161346,0.02312809480676327,True
5,jlens_vs_logit,200,0.016875,0.005308247626582279,0.028084730965964953,True
5,rlens_vs_jlens,200,-0.008125,-0.017807309500210245,0.0011371601529311765,False
29,jlens_vs_offtarget,200,-1.5596875,-2.091851199632958,-1.1039236322767458,True
29,rlens_vs_offtarget,200,-1.3946875,-1.8753666201117318,-0.979104989035088,True
29,jlens_vs_random_matched,200,-0.9871875,-1.443905011038025,-0.6118501022196262,True
29,rlens_vs_random_matched,200,-0.8665625,-1.2731705681726175,-0.5300284242021278,True
29,jlens_vs_logit,200,-0.1421875,-0.19960101371721434,-0.09467813899776037,True
29,rlens_vs_jlens,200,0.120625,0.0812127490942029,0.16939129704301067,True
30,jlens_vs_offtarget,200,-2.82109375,-3.8982459191689944,-1.9279897516634983,True
30,rlens_vs_offtarget,200,-2.82109375,-3.8982459191689944,-1.9279897516634983,True
30,jlens_vs_random_matched,200,-2.01328125,-2.998549851324563,-1.216466346153847,True
30,rlens_vs_random_matched,200,-2.01328125,-2.998549851324563,-1.216466346153847,True
30,jlens_vs_logit,200,0.0,0.0,0.0,False
30,rlens_vs_jlens,200,0.0,0.0,0.0,False
