model,site,features,layer,arm,breakdown,cell,accuracy,auc,control_accuracy,selectivity,n,n_groups,pos_frac,converged
starcoder2-3b,last_token,hidden,3,hidden_state,all,all,0.717379679144385,0.760756987935346,0.5770944741532976,0.14028520499108743,67,168,0.5,True
starcoder2-3b,last_token,hidden,3,hidden_state,family,command_exec,0.6964285714285714,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,3,hidden_state,family,dynamic_exec,0.7232142857142857,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,3,hidden_state,family,sql_exec,0.7321428571428571,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,3,hidden_state,structure,assign_chain,0.5238095238095238,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,3,hidden_state,structure,branch_merge,0.8452380952380952,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,3,hidden_state,structure,direct,0.8333333333333334,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,3,hidden_state,structure,helper,0.6666666666666666,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,7,hidden_state,all,all,0.8303030303030303,0.9173599791561415,0.5686274509803921,0.2616755793226382,67,168,0.5,True
starcoder2-3b,last_token,hidden,7,hidden_state,family,command_exec,0.8035714285714286,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,7,hidden_state,family,dynamic_exec,0.8392857142857143,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,7,hidden_state,family,sql_exec,0.8482142857142857,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,7,hidden_state,structure,assign_chain,0.6785714285714286,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,7,hidden_state,structure,branch_merge,0.8928571428571429,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,7,hidden_state,structure,direct,1.0,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,7,hidden_state,structure,helper,0.75,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,11,hidden_state,all,all,0.9732620320855616,0.9963561376584341,0.5829768270944742,0.39028520499108743,67,168,0.5,True
starcoder2-3b,last_token,hidden,11,hidden_state,family,command_exec,0.9910714285714286,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,11,hidden_state,family,dynamic_exec,0.9642857142857143,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,11,hidden_state,family,sql_exec,0.9642857142857143,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,11,hidden_state,structure,assign_chain,0.9642857142857143,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,11,hidden_state,structure,branch_merge,0.9880952380952381,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,11,hidden_state,structure,direct,1.0,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,11,hidden_state,structure,helper,0.9404761904761905,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,15,hidden_state,all,all,0.9851158645276292,0.9996539792387544,0.5412655971479501,0.44385026737967914,67,168,0.5,True
starcoder2-3b,last_token,hidden,15,hidden_state,family,command_exec,1.0,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,15,hidden_state,family,dynamic_exec,0.9553571428571429,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,15,hidden_state,family,sql_exec,1.0,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,15,hidden_state,structure,assign_chain,0.9761904761904762,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,15,hidden_state,structure,branch_merge,0.9761904761904762,,,,67,168,0.5,True
