model,contrast,layer,target_condition,position,role_to,mean_delta,median_delta,sign_consistency,n
deepseek-coder-1.3b,flip_ab,0,bound,0,outer_def_name,0.19896632235450315,-0.006095252341219104,0.435,200
deepseek-coder-1.3b,flip_ab,0,bound,1,other,-0.0009237499825557829,0.0099387242067749,0.76,200
deepseek-coder-1.3b,flip_ab,0,bound,2,outer_def_value,0.03322713524561737,-0.028721753533403796,0.235,200
deepseek-coder-1.3b,flip_ab,0,bound,3,other,-0.019812594463589836,0.005722591729551224,0.655,200
deepseek-coder-1.3b,flip_ab,0,bound,4,signature,0.14813458666843024,-0.03466432783612797,0.16,200
deepseek-coder-1.3b,flip_ab,0,bound,5,signature,0.03658616035354712,-0.026493541767304576,0.15,200
deepseek-coder-1.3b,flip_ab,0,bound,6,signature,0.004968689788039405,-0.021664649304090497,0.1,200
deepseek-coder-1.3b,flip_ab,0,bound,7,other,0.028848533739750572,-0.0008057401949878528,0.43,200
deepseek-coder-1.3b,flip_ab,0,bound,8,other,0.0007461389705033191,0.002111132888334579,0.705,200
deepseek-coder-1.3b,flip_ab,0,bound,9,inner_def_name,0.01836596686250215,-0.004794416564396227,0.435,200
deepseek-coder-1.3b,flip_ab,0,bound,10,other,0.01826779596596648,0.018037345500516173,0.795,200
deepseek-coder-1.3b,flip_ab,0,bound,11,inner_def_value,-0.02970091138996962,0.02898702972280453,0.77,200
deepseek-coder-1.3b,flip_ab,0,bound,12,other,-0.008669273118081345,0.012961129973672294,0.9,200
deepseek-coder-1.3b,flip_ab,0,bound,13,other,0.006968115987130267,0.002424891248215785,0.8,200
deepseek-coder-1.3b,flip_ab,0,bound,14,return_kw,0.016147504681141837,-0.006713074051876246,0.22,200
deepseek-coder-1.3b,flip_ab,0,bound,15,use_site,-0.06715603515906218,-0.01967593382347505,0.105,200
deepseek-coder-1.3b,flip_ab,0,bound,16,suffix,0.021625544417378927,-0.0008920807575856678,0.46,200
deepseek-coder-1.3b,flip_ab,0,bound,17,suffix,0.033169279602338876,-0.006312389500452632,0.23,200
deepseek-coder-1.3b,flip_ab,0,bound,18,suffix,-0.041284657067700854,0.016324421889511023,0.835,200
deepseek-coder-1.3b,flip_ab,0,bound,19,suffix,-0.07018038281207457,0.010526711728682917,0.745,200
deepseek-coder-1.3b,flip_ab,0,bound,20,suffix,-0.3282941343970154,0.047595701265843685,0.77,200
deepseek-coder-1.3b,flip_ab,0,fixed_a,0,outer_def_name,0.06935970997382722,0.031451424668176575,0.84,200
deepseek-coder-1.3b,flip_ab,0,fixed_a,1,other,-0.012695262968629878,0.01893999577734306,0.87,200
deepseek-coder-1.3b,flip_ab,0,fixed_a,2,outer_def_value,-0.07239197008094163,0.010820371425875126,0.65,200
deepseek-coder-1.3b,flip_ab,0,fixed_a,3,other,0.06134473203633837,-0.019373516786416398,0.15,200
deepseek-coder-1.3b,flip_ab,0,fixed_a,4,signature,0.05861400121423914,-0.03635028595041949,0.16,200
deepseek-coder-1.3b,flip_ab,0,fixed_a,5,signature,3.1690123054028965e-05,-0.027079907422041485,0.15,200
deepseek-coder-1.3b,flip_ab,0,fixed_a,6,signature,-0.0053106568646335015,-0.023621852158121803,0.095,200
deepseek-coder-1.3b,flip_ab,0,fixed_a,7,other,0.014467948123783752,-0.0015434407887313334,0.39,200
deepseek-coder-1.3b,flip_ab,0,fixed_a,8,other,0.0038388710451871455,0.0006502052453655324,0.575,200
deepseek-coder-1.3b,flip_ab,0,fixed_a,9,inner_def_name,0.02212584993346183,-0.0058266324582276815,0.43,200
deepseek-coder-1.3b,flip_ab,0,fixed_a,10,other,0.035212542606197925,0.008902732911961465,0.69,200
deepseek-coder-1.3b,flip_ab,0,fixed_a,11,inner_def_value,0.029914586674788603,-0.02020874446048891,0.31,200
deepseek-coder-1.3b,flip_ab,0,fixed_a,12,other,7.347293961642798e-05,0.013937291931252392,0.89,200
deepseek-coder-1.3b,flip_ab,0,fixed_a,13,other,0.004501961569049965,0.002563415497288597,0.785,200
deepseek-coder-1.3b,flip_ab,0,fixed_a,14,return_kw,-0.0024770845425378385,-0.006635535514781235,0.24,200
deepseek-coder-1.3b,flip_ab,0,fixed_a,15,use_site,-0.044604202002989216,-0.019006396803545166,0.115,200
deepseek-coder-1.3b,flip_ab,0,fixed_a,16,suffix,0.011151389077941031,-0.00104946870523476,0.44,200
deepseek-coder-1.3b,flip_ab,0,fixed_a,17,suffix,0.01204856806551667,-0.006648573300358181,0.17,200
deepseek-coder-1.3b,flip_ab,0,fixed_a,18,suffix,-0.009619099897721924,0.016584907052423534,0.84,200
deepseek-coder-1.3b,flip_ab,0,fixed_a,19,suffix,-0.033979610239854144,0.010241419380362583,0.765,200
deepseek-coder-1.3b,flip_ab,0,fixed_a,20,suffix,-0.14160766692794924,0.047953463192021886,0.775,200
deepseek-coder-1.3b,flip_ab,0,fixed_b,0,outer_def_name,0.3565067761204648,0.01946036768612522,0.71,200
deepseek-coder-1.3b,flip_ab,0,fixed_b,1,other,0.01545363065680644,0.018732704704804627,0.885,200
deepseek-coder-1.3b,flip_ab,0,fixed_b,2,outer_def_value,0.13109272243775563,0.002033928660639148,0.51,200
deepseek-coder-1.3b,flip_ab,0,fixed_b,3,other,-0.0583455054975368,-0.009424226496561439,0.29,200
deepseek-coder-1.3b,flip_ab,0,fixed_b,4,signature,0.17694053961711873,-0.03480846253055849,0.17,200
deepseek-coder-1.3b,flip_ab,0,fixed_b,5,signature,0.041001593236107386,-0.025363582507671265,0.155,200
deepseek-coder-1.3b,flip_ab,0,fixed_b,6,signature,-0.008451615644400591,-0.023723576514667326,0.1,200
deepseek-coder-1.3b,flip_ab,0,fixed_b,7,other,0.03750788150387489,-0.0013171933387315835,0.415,200
deepseek-coder-1.3b,flip_ab,0,fixed_b,8,other,-0.0014786812774252192,0.001120205405242645,0.63,200
deepseek-coder-1.3b,flip_ab,0,fixed_b,9,inner_def_name,0.016810502667019837,-0.007260433071721665,0.425,200
deepseek-coder-1.3b,flip_ab,0,fixed_b,10,other,0.002508972366757468,0.010713995298700964,0.715,200
deepseek-coder-1.3b,flip_ab,0,fixed_b,11,inner_def_value,-0.1292638384907669,0.007928797999008391,0.6,200
deepseek-coder-1.3b,flip_ab,0,fixed_b,12,other,-0.007659132026308476,0.012904652881234123,0.9,200
deepseek-coder-1.3b,flip_ab,0,fixed_b,13,other,0.007399672213341486,0.002491690447760728,0.8,200
deepseek-coder-1.3b,flip_ab,0,fixed_b,14,return_kw,0.015639824278899137,-0.006229942712399244,0.23,200
deepseek-coder-1.3b,flip_ab,0,fixed_b,15,use_site,-0.08082436059637604,-0.023093047836744256,0.09,200
deepseek-coder-1.3b,flip_ab,0,fixed_b,16,suffix,0.030888014047873405,-0.0006356446020283576,0.445,200
deepseek-coder-1.3b,flip_ab,0,fixed_b,17,suffix,0.039776784974374334,-0.006918040483520865,0.205,200
deepseek-coder-1.3b,flip_ab,0,fixed_b,18,suffix,-0.05682636134813808,0.014446297854834717,0.825,200
deepseek-coder-1.3b,flip_ab,0,fixed_b,19,suffix,-0.09348478194203157,0.008886362566002424,0.7,200
deepseek-coder-1.3b,flip_ab,0,fixed_b,20,suffix,-0.43519260049741276,0.03797519674499647,0.74,200
deepseek-coder-1.3b,flip_ab,0,other,0,outer_def_name,0.22690016373978888,0.06431217829484887,0.925,200
deepseek-coder-1.3b,flip_ab,0,other,1,other,0.003682117670732341,0.02807969311973402,0.9,200
deepseek-coder-1.3b,flip_ab,0,other,2,outer_def_value,0.02547361711119656,0.04015670102917084,0.88,200
deepseek-coder-1.3b,flip_ab,0,other,3,other,0.022811821002391385,-0.03580686073824629,0.085,200
deepseek-coder-1.3b,flip_ab,0,other,4,signature,0.08741995416292767,-0.03534882419712371,0.165,200
deepseek-coder-1.3b,flip_ab,0,other,5,signature,0.004447123005614287,-0.02681225291224663,0.15,200
deepseek-coder-1.3b,flip_ab,0,other,6,signature,-0.018730962297073498,-0.02583645370549572,0.095,200
deepseek-coder-1.3b,flip_ab,0,other,7,other,0.023127295887908083,-0.002106153001484963,0.37,200
deepseek-coder-1.3b,flip_ab,0,other,8,other,0.0016140507972586078,-0.00011131482199781004,0.475,200
deepseek-coder-1.3b,flip_ab,0,other,9,inner_def_name,0.020570385737979518,-0.008252028062677268,0.395,200
deepseek-coder-1.3b,flip_ab,0,other,10,other,0.0194537190069889,0.0015604838187556831,0.535,200
deepseek-coder-1.3b,flip_ab,0,other,11,inner_def_value,-0.06964834042600863,-0.044869550754101956,0.15,200
deepseek-coder-1.3b,flip_ab,0,other,12,other,0.001083614031389295,0.013848609156852949,0.895,200
deepseek-coder-1.3b,flip_ab,0,other,13,other,0.004933517795261184,0.0027009447813468286,0.8,200
deepseek-coder-1.3b,flip_ab,0,other,14,return_kw,-0.0029847649447805403,-0.005581735148697106,0.25,200
deepseek-coder-1.3b,flip_ab,0,other,15,use_site,-0.05827252744030306,-0.023006130622742316,0.11,200
deepseek-coder-1.3b,flip_ab,0,other,16,suffix,0.0204138587084355,-0.0006390064189487647,0.45,200
deepseek-coder-1.3b,flip_ab,0,other,17,suffix,0.01865607343755212,-0.0069565767757085355,0.195,200
deepseek-coder-1.3b,flip_ab,0,other,18,suffix,-0.025160804178159125,0.015336479845399847,0.83,200
deepseek-coder-1.3b,flip_ab,0,other,19,suffix,-0.05728400936981113,0.008762659606630046,0.705,200
deepseek-coder-1.3b,flip_ab,0,other,20,suffix,-0.24850613302834662,0.03775212563455779,0.725,200
deepseek-coder-1.3b,flip_ab,3,bound,0,outer_def_name,0.029555167318163895,-0.01831878229391662,0.245,200
deepseek-coder-1.3b,flip_ab,3,bound,1,other,0.11687650530748599,0.0013426686707053732,0.525,200
deepseek-coder-1.3b,flip_ab,3,bound,2,outer_def_value,0.06260506168473735,-0.04077749831765761,0.215,200
deepseek-coder-1.3b,flip_ab,3,bound,3,other,-0.09002872694209912,0.026028238723296807,0.835,200
deepseek-coder-1.3b,flip_ab,3,bound,4,signature,0.16497304086260983,-0.0026151553401849437,0.48,200
deepseek-coder-1.3b,flip_ab,3,bound,5,signature,-0.003433950535162364,-0.007745358488048646,0.095,200
deepseek-coder-1.3b,flip_ab,3,bound,6,signature,-0.03180564021661365,-0.026181707817440815,0.075,200
deepseek-coder-1.3b,flip_ab,3,bound,7,other,0.11934924757522378,-0.020038290524787488,0.205,200
deepseek-coder-1.3b,flip_ab,3,bound,8,other,0.04839235488005087,-0.014833045470484647,0.16,200
deepseek-coder-1.3b,flip_ab,3,bound,9,inner_def_name,0.0010007712852713806,-0.0019937870083086267,0.48,200
deepseek-coder-1.3b,flip_ab,3,bound,10,other,0.028198738865122915,0.009229292957154972,0.67,200
deepseek-coder-1.3b,flip_ab,3,bound,11,inner_def_value,-0.014888851112975061,0.03247983530735456,0.77,200
deepseek-coder-1.3b,flip_ab,3,bound,12,other,-0.0027116579041618107,0.017117091742795403,0.905,200
deepseek-coder-1.3b,flip_ab,3,bound,13,other,0.017573806365682922,-0.0017087491277579902,0.335,200
deepseek-coder-1.3b,flip_ab,3,bound,14,return_kw,0.03231314484405736,-0.009576245034408773,0.215,200
deepseek-coder-1.3b,flip_ab,3,bound,15,use_site,-0.06515428296080572,-0.008155641623403088,0.325,200
deepseek-coder-1.3b,flip_ab,3,bound,16,suffix,0.028211794782361018,-0.0004187948210172389,0.49,200
deepseek-coder-1.3b,flip_ab,3,bound,17,suffix,0.05381562764342733,-0.014231672618631666,0.155,200
deepseek-coder-1.3b,flip_ab,3,bound,18,suffix,-0.008865314867725568,0.004648185896757726,0.76,200
deepseek-coder-1.3b,flip_ab,3,bound,19,suffix,-0.05415348408277972,0.006935390271917124,0.73,200
deepseek-coder-1.3b,flip_ab,3,bound,20,suffix,-0.43182327079143534,0.06968825278852549,0.785,200
deepseek-coder-1.3b,flip_ab,3,fixed_a,0,outer_def_name,-0.02124284281062516,0.009974529515470648,0.69,200
deepseek-coder-1.3b,flip_ab,3,fixed_a,1,other,0.039881016326032276,0.007198405200285548,0.63,200
deepseek-coder-1.3b,flip_ab,3,fixed_a,2,outer_def_value,-0.0804037071304625,0.01655678056415754,0.665,200
deepseek-coder-1.3b,flip_ab,3,fixed_a,3,other,0.012059959883168716,0.004834974355765784,0.62,200
deepseek-coder-1.3b,flip_ab,3,fixed_a,4,signature,0.13052689730567082,-0.005896614759469464,0.425,200
deepseek-coder-1.3b,flip_ab,3,fixed_a,5,signature,-0.015658185455017515,-0.00759333224174162,0.1,200
deepseek-coder-1.3b,flip_ab,3,fixed_a,6,signature,-0.04005221720846683,-0.02791666583812574,0.055,200
deepseek-coder-1.3b,flip_ab,3,fixed_a,7,other,0.046339965122273216,-0.02049191229203155,0.2,200
deepseek-coder-1.3b,flip_ab,3,fixed_a,8,other,0.015625347616450732,-0.01637621449437246,0.15,200
deepseek-coder-1.3b,flip_ab,3,fixed_a,9,inner_def_name,0.014204508758839158,-0.002728480542337392,0.445,200
deepseek-coder-1.3b,flip_ab,3,fixed_a,10,other,0.03391991586873974,0.001468251294351444,0.555,200
deepseek-coder-1.3b,flip_ab,3,fixed_a,11,inner_def_value,0.04821507304583786,-0.022338513203209974,0.31,200
deepseek-coder-1.3b,flip_ab,3,fixed_a,12,other,0.008938190496878298,0.016777136472051236,0.915,200
deepseek-coder-1.3b,flip_ab,3,fixed_a,13,other,0.007860576175244481,-0.0019344908779263333,0.305,200
deepseek-coder-1.3b,flip_ab,3,fixed_a,14,return_kw,0.004101671455878888,-0.008772572063691985,0.215,200
deepseek-coder-1.3b,flip_ab,3,fixed_a,15,use_site,-0.03189769112109109,-0.0059677429420989195,0.37,200
deepseek-coder-1.3b,flip_ab,3,fixed_a,16,suffix,0.014039749766577023,-0.0009182986930235302,0.455,200
deepseek-coder-1.3b,flip_ab,3,fixed_a,17,suffix,0.018080416590974372,-0.01567698562424152,0.15,200
deepseek-coder-1.3b,flip_ab,3,fixed_a,18,suffix,1.7144425446716794e-05,0.0050319023462915575,0.745,200
deepseek-coder-1.3b,flip_ab,3,fixed_a,19,suffix,-0.023334691031850107,0.0074272471176521394,0.725,200
deepseek-coder-1.3b,flip_ab,3,fixed_a,20,suffix,-0.18122138347778996,0.06887034762832181,0.78,200
deepseek-coder-1.3b,flip_ab,3,fixed_b,0,outer_def_name,0.0771734757405753,0.00018441737734690988,0.505,200
deepseek-coder-1.3b,flip_ab,3,fixed_b,1,other,0.17875598303367318,0.010465427156914611,0.635,200
deepseek-coder-1.3b,flip_ab,3,fixed_b,2,outer_def_value,0.1971413809055237,-0.0020077426922529146,0.485,200
deepseek-coder-1.3b,flip_ab,3,fixed_b,3,other,-0.16016386800955382,0.012304773754940795,0.705,200
deepseek-coder-1.3b,flip_ab,3,fixed_b,4,signature,0.23685908201350628,0.0008745854789772448,0.505,200
deepseek-coder-1.3b,flip_ab,3,fixed_b,5,signature,-0.00780912759146586,-0.008326983654758573,0.095,200
deepseek-coder-1.3b,flip_ab,3,fixed_b,6,signature,-0.05814587590976586,-0.028965300832893188,0.07,200
deepseek-coder-1.3b,flip_ab,3,fixed_b,7,other,0.1505342583819864,-0.018477845795436633,0.235,200
deepseek-coder-1.3b,flip_ab,3,fixed_b,8,other,0.05585449326534417,-0.014851707572012676,0.17,200
deepseek-coder-1.3b,flip_ab,3,fixed_b,9,inner_def_name,-0.001992145768827417,-0.003666890786618085,0.41,200
deepseek-coder-1.3b,flip_ab,3,fixed_b,10,other,0.020980621205378597,0.0029654549125856487,0.59,200
deepseek-coder-1.3b,flip_ab,3,fixed_b,11,inner_def_value,-0.11929554558585527,0.00861838354340809,0.57,200
deepseek-coder-1.3b,flip_ab,3,fixed_b,12,other,-0.004459773797025897,0.015945345339209972,0.89,200
deepseek-coder-1.3b,flip_ab,3,fixed_b,13,other,0.019245007866254348,-0.0017050754689415994,0.325,200
deepseek-coder-1.3b,flip_ab,3,fixed_b,14,return_kw,0.03588385950894894,-0.008572110447889504,0.24,200
deepseek-coder-1.3b,flip_ab,3,fixed_b,15,use_site,-0.07823539428764888,-0.011464787368268227,0.275,200
deepseek-coder-1.3b,flip_ab,3,fixed_b,16,suffix,0.04133418101084743,0.0004553484465563012,0.52,200
deepseek-coder-1.3b,flip_ab,3,fixed_b,17,suffix,0.06363212986794259,-0.015148483656076767,0.16,200
deepseek-coder-1.3b,flip_ab,3,fixed_b,18,suffix,-0.013482246242547513,0.0040682335199980916,0.71,200
deepseek-coder-1.3b,flip_ab,3,fixed_b,19,suffix,-0.071167069415316,0.005385688629647473,0.67,200
deepseek-coder-1.3b,flip_ab,3,fixed_b,20,suffix,-0.5626433459309265,0.05839348294763465,0.75,200
deepseek-coder-1.3b,flip_ab,3,other,0,outer_def_name,0.02637546561178624,0.03076276844595628,0.885,200
deepseek-coder-1.3b,flip_ab,3,other,1,other,0.10176049405221946,0.01550520625949502,0.715,200
deepseek-coder-1.3b,flip_ab,3,other,2,outer_def_value,0.05413261209032385,0.05930141495285116,0.885,200
deepseek-coder-1.3b,flip_ab,3,other,3,other,-0.05807518118428592,-0.009268818306391896,0.275,200
deepseek-coder-1.3b,flip_ab,3,other,4,signature,0.20241293845656727,-0.0034570760085674106,0.445,200
deepseek-coder-1.3b,flip_ab,3,other,5,signature,-0.02003336251132101,-0.008113031206603873,0.09,200
deepseek-coder-1.3b,flip_ab,3,other,6,signature,-0.06639245290161905,-0.03109136598703026,0.05,200
deepseek-coder-1.3b,flip_ab,3,other,7,other,0.07752497592903587,-0.01853185147193935,0.225,200
deepseek-coder-1.3b,flip_ab,3,other,8,other,0.02308748600174402,-0.016454260177626308,0.16,200
deepseek-coder-1.3b,flip_ab,3,other,9,inner_def_name,0.011211591704740363,-0.005483747496002661,0.4,200
deepseek-coder-1.3b,flip_ab,3,other,10,other,0.02670179820899542,-0.003957513640407473,0.42,200
deepseek-coder-1.3b,flip_ab,3,other,11,inner_def_value,-0.0561916214270423,-0.052919417540702465,0.145,200
deepseek-coder-1.3b,flip_ab,3,other,12,other,0.0071900746040142105,0.015343732025785739,0.895,200
deepseek-coder-1.3b,flip_ab,3,other,13,other,0.009531777675815901,-0.0016915531745567884,0.325,200
deepseek-coder-1.3b,flip_ab,3,other,14,return_kw,0.007672386120770477,-0.008177549357753396,0.24,200
deepseek-coder-1.3b,flip_ab,3,other,15,use_site,-0.04497880244793425,-0.009738016254985615,0.285,200
deepseek-coder-1.3b,flip_ab,3,other,16,suffix,0.02716213599506342,-7.712235885651113e-05,0.495,200
deepseek-coder-1.3b,flip_ab,3,other,17,suffix,0.027896918815489613,-0.015763886406617505,0.155,200
deepseek-coder-1.3b,flip_ab,3,other,18,suffix,-0.004599786949375229,0.0044014427170385685,0.71,200
deepseek-coder-1.3b,flip_ab,3,other,19,suffix,-0.04034827636438638,0.0055845123169806846,0.655,200
deepseek-coder-1.3b,flip_ab,3,other,20,suffix,-0.312041458617281,0.058811721090882854,0.74,200
deepseek-coder-1.3b,flip_ab,7,bound,0,outer_def_name,-0.08238800087045428,0.023993222558214206,0.755,200
deepseek-coder-1.3b,flip_ab,7,bound,1,other,0.12367676577532868,-0.020864545403462186,0.215,200
deepseek-coder-1.3b,flip_ab,7,bound,2,outer_def_value,0.15257875433380297,-0.07061888656932061,0.16,200
deepseek-coder-1.3b,flip_ab,7,bound,3,other,-0.07501612250122766,0.041468342728371535,0.84,200
deepseek-coder-1.3b,flip_ab,7,bound,4,signature,0.2070849205847003,-0.021427402587029538,0.23,200
deepseek-coder-1.3b,flip_ab,7,bound,5,signature,-0.03518438946536021,0.007707704496821752,0.81,200
deepseek-coder-1.3b,flip_ab,7,bound,6,signature,-0.117747850868593,-0.0008069328912697245,0.49,200
deepseek-coder-1.3b,flip_ab,7,bound,7,other,0.14396818331477923,-0.019064522280219272,0.245,200
deepseek-coder-1.3b,flip_ab,7,bound,8,other,0.05598462362246316,-0.009837166085554468,0.195,200
deepseek-coder-1.3b,flip_ab,7,bound,9,inner_def_name,0.026667271990957583,-0.011204433548182112,0.295,200
deepseek-coder-1.3b,flip_ab,7,bound,10,other,0.03514170986904409,-0.014243038423511031,0.315,200
deepseek-coder-1.3b,flip_ab,7,bound,11,inner_def_value,-0.0331966137027921,0.07167648475041305,0.85,200
deepseek-coder-1.3b,flip_ab,7,bound,12,other,0.030873729720375255,0.0011472978229329384,0.545,200
deepseek-coder-1.3b,flip_ab,7,bound,13,other,0.021836408060004243,-0.009999046667834428,0.17,200
deepseek-coder-1.3b,flip_ab,7,bound,14,return_kw,0.02519104383636238,-0.003653636436079362,0.38,200
deepseek-coder-1.3b,flip_ab,7,bound,15,use_site,-0.009176999418509406,-0.0060474994334489334,0.4,200
deepseek-coder-1.3b,flip_ab,7,bound,16,suffix,0.06630663875443629,-0.015737707519153,0.245,200
deepseek-coder-1.3b,flip_ab,7,bound,17,suffix,0.06828315881679854,-0.016985382555555366,0.18,200
deepseek-coder-1.3b,flip_ab,7,bound,18,suffix,0.007258274001342404,-0.008633637821897883,0.13,200
deepseek-coder-1.3b,flip_ab,7,bound,19,suffix,-0.07541548580216985,0.017313339032510894,0.78,200
deepseek-coder-1.3b,flip_ab,7,bound,20,suffix,-0.5367260041579978,0.07520076530470923,0.755,200
deepseek-coder-1.3b,flip_ab,7,fixed_a,0,outer_def_name,-0.03752122203632728,0.037384902291640945,0.825,200
deepseek-coder-1.3b,flip_ab,7,fixed_a,1,other,0.035011754878278734,-0.014347006589278646,0.295,200
deepseek-coder-1.3b,flip_ab,7,fixed_a,2,outer_def_value,-0.0963105167481228,0.01293415518105731,0.605,200
