model,arm,binding,layer,target_mode,position,role,mean_frac,median_frac,n
deepseek-coder-1.3b,ab,source,0,bound,0,outer_def_name,0.2574595039995342,0.28586573958813605,200
deepseek-coder-1.3b,ab,source,0,bound,1,other,0.016417313074738173,0.017580510112681833,200
deepseek-coder-1.3b,ab,source,0,bound,2,outer_def_value,0.05593094362123874,0.06143569673459502,200
deepseek-coder-1.3b,ab,source,0,bound,3,other,0.21820995659098144,0.21570408535438226,200
deepseek-coder-1.3b,ab,source,0,bound,4,signature,-0.03818048425789197,-0.02445314133761404,200
deepseek-coder-1.3b,ab,source,0,bound,5,signature,-0.008896444763519877,-0.007486112355525591,200
deepseek-coder-1.3b,ab,source,0,bound,6,signature,0.03867857769050951,0.03583392314158482,200
deepseek-coder-1.3b,ab,source,0,bound,7,other,-0.002893853129325504,0.0005666113680918862,200
deepseek-coder-1.3b,ab,source,0,bound,8,other,0.0009368564545618529,0.001755352346597352,200
deepseek-coder-1.3b,ab,source,0,bound,9,inner_def_name,0.00389081252486458,0.007676366872169903,200
deepseek-coder-1.3b,ab,source,0,bound,10,other,0.005117840219353503,0.005489000061907209,200
deepseek-coder-1.3b,ab,source,0,bound,11,inner_def_value,0.07780268501869142,0.06660737240301702,200
deepseek-coder-1.3b,ab,source,0,bound,12,other,0.0030282257695552184,0.0036905688702119238,200
deepseek-coder-1.3b,ab,source,0,bound,13,other,-0.0010375438639403196,-0.0002714170277721004,200
deepseek-coder-1.3b,ab,source,0,bound,14,return_kw,0.005735833962161256,0.006378045106848437,200
deepseek-coder-1.3b,ab,source,0,bound,15,use_site,0.050886319906651094,0.04575386037740654,200
deepseek-coder-1.3b,ab,source,0,bound,16,suffix,0.0051225936195662,0.008258464420410297,200
deepseek-coder-1.3b,ab,source,0,bound,17,suffix,0.02286860758765186,0.025494739788105153,200
deepseek-coder-1.3b,ab,source,0,bound,18,suffix,0.023758745128104213,0.01918761180906546,200
deepseek-coder-1.3b,ab,source,0,bound,19,suffix,0.04589922514375085,0.03798416831798812,200
deepseek-coder-1.3b,ab,source,0,bound,20,suffix,0.21926419304070272,0.18378057292539746,200
deepseek-coder-1.3b,ab,target,0,bound,0,outer_def_name,0.45642582635403733,0.2978271558420317,200
deepseek-coder-1.3b,ab,target,0,bound,1,other,0.015493563092182394,0.02824461757690401,200
deepseek-coder-1.3b,ab,target,0,bound,2,outer_def_value,0.08915807886685613,0.041915677777544624,200
deepseek-coder-1.3b,ab,target,0,bound,3,other,0.19839736212739162,0.21364215484713983,200
deepseek-coder-1.3b,ab,target,0,bound,4,signature,0.1099541024105383,-0.06040712354356888,200
deepseek-coder-1.3b,ab,target,0,bound,5,signature,0.027689715590027256,-0.034143751475774045,200
deepseek-coder-1.3b,ab,target,0,bound,6,signature,0.04364726747854892,0.010345018033666458,200
deepseek-coder-1.3b,ab,target,0,bound,7,other,0.025954680610425065,0.0013417573523811582,200
deepseek-coder-1.3b,ab,target,0,bound,8,other,0.001682995425065171,0.003802429857940603,200
deepseek-coder-1.3b,ab,target,0,bound,9,inner_def_name,0.022256779387366726,0.005739195328607137,200
deepseek-coder-1.3b,ab,target,0,bound,10,other,0.023385636185319986,0.023042486651529394,200
deepseek-coder-1.3b,ab,target,0,bound,11,inner_def_value,0.04810177362872179,0.09083134069040613,200
deepseek-coder-1.3b,ab,target,0,bound,12,other,-0.005641047348526124,0.017034461101500406,200
deepseek-coder-1.3b,ab,target,0,bound,13,other,0.005930572123189948,0.002636283188365723,200
deepseek-coder-1.3b,ab,target,0,bound,14,return_kw,0.021883338643303094,-0.0010429918608696911,200
deepseek-coder-1.3b,ab,target,0,bound,15,use_site,-0.016269715252411086,0.021769813709260108,200
deepseek-coder-1.3b,ab,target,0,bound,16,suffix,0.026748138036945132,0.008451482125649962,200
deepseek-coder-1.3b,ab,target,0,bound,17,suffix,0.05603788718999073,0.019802972276580542,200
deepseek-coder-1.3b,ab,target,0,bound,18,suffix,-0.01752591193959664,0.0355150533466632,200
deepseek-coder-1.3b,ab,target,0,bound,19,suffix,-0.024281157668323748,0.048638178331265026,200
deepseek-coder-1.3b,ab,target,0,bound,20,suffix,-0.10902994135631264,0.22467843325556502,200
deepseek-coder-1.3b,ba,source,0,bound,0,outer_def_name,0.273517563130276,0.2905635673080844,200
deepseek-coder-1.3b,ba,source,0,bound,1,other,0.016999512698203826,0.017246597052591635,200
deepseek-coder-1.3b,ba,source,0,bound,2,outer_def_value,0.05889148856257229,0.06189022512444047,200
deepseek-coder-1.3b,ba,source,0,bound,3,other,0.21812028133399092,0.21532244183641608,200
deepseek-coder-1.3b,ba,source,0,bound,4,signature,-0.03912870899548099,-0.025283860770843013,200
deepseek-coder-1.3b,ba,source,0,bound,5,signature,-0.010017850380100906,-0.007576433402076925,200
deepseek-coder-1.3b,ba,source,0,bound,6,signature,0.03561511748594525,0.034557586679151445,200
deepseek-coder-1.3b,ba,source,0,bound,7,other,-0.0028334936789577614,0.0007219792885890621,200
deepseek-coder-1.3b,ba,source,0,bound,8,other,3.0517242943322258e-05,0.001515828599051578,200
deepseek-coder-1.3b,ba,source,0,bound,9,inner_def_name,0.002015650789678053,0.007447513209214063,200
deepseek-coder-1.3b,ba,source,0,bound,10,other,0.0047072574577767725,0.0034238846360633915,200
deepseek-coder-1.3b,ba,source,0,bound,11,inner_def_value,0.07531430056007479,0.06829516511889754,200
deepseek-coder-1.3b,ba,source,0,bound,12,other,0.0026240819509548968,0.004028082536703629,200
deepseek-coder-1.3b,ba,source,0,bound,13,other,-0.0017841239501952333,-0.00041291717195462947,200
deepseek-coder-1.3b,ba,source,0,bound,14,return_kw,0.004326918715947741,0.006001967665562286,200
deepseek-coder-1.3b,ba,source,0,bound,15,use_site,0.05111136173684407,0.04586685841483083,200
deepseek-coder-1.3b,ba,source,0,bound,16,suffix,0.004958136053082655,0.007990619630402106,200
deepseek-coder-1.3b,ba,source,0,bound,17,suffix,0.023976627181159667,0.025358103641240925,200
deepseek-coder-1.3b,ba,source,0,bound,18,suffix,0.02324958474072859,0.020022710702584802,200
deepseek-coder-1.3b,ba,source,0,bound,19,suffix,0.04453180048157908,0.037829311240507896,200
deepseek-coder-1.3b,ba,source,0,bound,20,suffix,0.21377389536221364,0.18293888681198167,200
deepseek-coder-1.3b,ba,target,0,bound,0,outer_def_name,0.25366943290625454,0.28897538126330524,200
deepseek-coder-1.3b,ba,target,0,bound,1,other,0.029754393015711054,0.02975646868156314,200
deepseek-coder-1.3b,ba,target,0,bound,2,outer_def_value,0.056921506344159586,0.042010045232297885,200
deepseek-coder-1.3b,ba,target,0,bound,3,other,0.19892499655273702,0.21524022020505995,200
deepseek-coder-1.3b,ba,target,0,bound,4,signature,-0.050840869217479205,-0.06561958018825817,200
deepseek-coder-1.3b,ba,target,0,bound,5,signature,-0.02746749350124475,-0.03652382515527125,200
deepseek-coder-1.3b,ba,target,0,bound,6,signature,0.0018455300883815666,0.009300271207330506,200
deepseek-coder-1.3b,ba,target,0,bound,7,other,0.008133360546587346,-0.0013474118287524002,200
deepseek-coder-1.3b,ba,target,0,bound,8,other,0.0070284931778285984,0.004226101498663349,200
deepseek-coder-1.3b,ba,target,0,bound,9,inner_def_name,-0.012275355613032966,0.00024198999402677058,200
deepseek-coder-1.3b,ba,target,0,bound,10,other,0.008711992574086426,0.02466162293269595,200
deepseek-coder-1.3b,ba,target,0,bound,11,inner_def_value,0.11670485042788784,0.09701196054155889,200
deepseek-coder-1.3b,ba,target,0,bound,12,other,0.02044318206139055,0.017503176604267576,200
deepseek-coder-1.3b,ba,target,0,bound,13,other,0.008272841019371863,0.0025651946833635635,200
deepseek-coder-1.3b,ba,target,0,bound,14,return_kw,-0.007132355385040958,-0.002410826635085817,200
deepseek-coder-1.3b,ba,target,0,bound,15,use_site,0.03365689889947587,0.023940021344791965,200
deepseek-coder-1.3b,ba,target,0,bound,16,suffix,0.009837413346273333,0.007350201373715264,200
deepseek-coder-1.3b,ba,target,0,bound,17,suffix,0.021169874610823664,0.01772026107048348,200
deepseek-coder-1.3b,ba,target,0,bound,18,suffix,0.03974905147012999,0.035469569050245314,200
deepseek-coder-1.3b,ba,target,0,bound,19,suffix,0.05289288402823922,0.050292043310443034,200
deepseek-coder-1.3b,ba,target,0,bound,20,suffix,0.22999930536410976,0.23315056325902525,200
deepseek-coder-1.3b,ab,source,0,other,0,outer_def_name,0.09991905023357255,0.25600446702950597,200
deepseek-coder-1.3b,ab,source,0,other,1,other,3.993243537595392e-05,0.007828281198358948,200
deepseek-coder-1.3b,ab,source,0,other,2,outer_def_value,-0.041934643570899474,0.03351827212135168,200
deepseek-coder-1.3b,ab,source,0,other,3,other,0.25674286762492843,0.23267645551423838,200
deepseek-coder-1.3b,ab,source,0,other,4,signature,-0.06698643720658047,-0.02520241224041165,200
deepseek-coder-1.3b,ab,source,0,other,5,signature,-0.013311877646080139,-0.008213131737843743,200
deepseek-coder-1.3b,ab,source,0,other,6,signature,0.05209888312294951,0.038140897703595376,200
deepseek-coder-1.3b,ab,source,0,other,7,other,-0.011553200893449833,0.0011185165063073588,200
deepseek-coder-1.3b,ab,source,0,other,8,other,0.003161676702490391,0.0029938612268894617,200
deepseek-coder-1.3b,ab,source,0,other,9,inner_def_name,0.005446276720346897,0.009726231754624452,200
deepseek-coder-1.3b,ab,source,0,other,10,other,0.02087666381856251,0.011456238071279712,200
deepseek-coder-1.3b,ab,source,0,other,11,inner_def_value,0.17736561211948867,0.09266983227543057,200
deepseek-coder-1.3b,ab,source,0,other,12,other,0.002018084677782352,0.004160520946278232,200
deepseek-coder-1.3b,ab,source,0,other,13,other,-0.0014691000901515389,-0.0003639925827933489,200
deepseek-coder-1.3b,ab,source,0,other,14,return_kw,0.006243514364403957,0.005789118135620197,200
deepseek-coder-1.3b,ab,source,0,other,15,use_site,0.06455464534396495,0.05054359531125828,200
deepseek-coder-1.3b,ab,source,0,other,16,suffix,-0.004139876010928273,0.0074276110521811906,200
deepseek-coder-1.3b,ab,source,0,other,17,suffix,0.016261102215616403,0.0262356091039371,200
deepseek-coder-1.3b,ab,source,0,other,18,suffix,0.039300449408541424,0.020666159318649457,200
deepseek-coder-1.3b,ab,source,0,other,19,suffix,0.06920362427370783,0.03988910860337874,200
deepseek-coder-1.3b,ab,source,0,other,20,suffix,0.32616265914110015,0.1934488364001418,200
deepseek-coder-1.3b,ab,target,0,other,0,outer_def_name,0.3268192139733614,0.3341895780888896,200
deepseek-coder-1.3b,ab,target,0,other,1,other,0.00372205010610829,0.03740418721674851,200
deepseek-coder-1.3b,ab,target,0,other,2,outer_def_value,-0.016461026459702884,0.08053627653057299,200
deepseek-coder-1.3b,ab,target,0,other,3,other,0.27955468862731986,0.19258167476691726,200
deepseek-coder-1.3b,ab,target,0,other,4,signature,0.020433516956347174,-0.06248408431878505,200
deepseek-coder-1.3b,ab,target,0,other,5,signature,-0.008864754640465851,-0.035861356352834106,200
deepseek-coder-1.3b,ab,target,0,other,6,signature,0.03336792082587601,0.006857785466365073,200
deepseek-coder-1.3b,ab,target,0,other,7,other,0.011574094994458248,0.00041566041049838267,200
deepseek-coder-1.3b,ab,target,0,other,8,other,0.004775727499748999,0.0023991304509571928,200
deepseek-coder-1.3b,ab,target,0,other,9,inner_def_name,0.02601666245832641,0.003821226485508578,200
deepseek-coder-1.3b,ab,target,0,other,10,other,0.040330382825551424,0.01593637378066847,200
deepseek-coder-1.3b,ab,target,0,other,11,inner_def_value,0.10771727169348003,0.043320810749084455,200
deepseek-coder-1.3b,ab,target,0,other,12,other,0.0031016987091716476,0.017714686082001385,200
deepseek-coder-1.3b,ab,target,0,other,13,other,0.003464417705109645,0.0028821109783414775,200
deepseek-coder-1.3b,ab,target,0,other,14,return_kw,0.0032587494196234185,-0.0005503118435318437,200
deepseek-coder-1.3b,ab,target,0,other,15,use_site,0.006282117903661888,0.02275732027845859,200
deepseek-coder-1.3b,ab,target,0,other,16,suffix,0.01627398269750723,0.008544871723366022,200
deepseek-coder-1.3b,ab,target,0,other,17,suffix,0.034917175653168535,0.019102781253936458,200
deepseek-coder-1.3b,ab,target,0,other,18,suffix,0.014139645230382292,0.03568348734336284,200
deepseek-coder-1.3b,ab,target,0,other,19,suffix,0.011919614903896703,0.04896528244426068,200
deepseek-coder-1.3b,ab,target,0,other,20,suffix,0.07765652611275356,0.22606004248401523,200
deepseek-coder-1.3b,ba,source,0,other,0,outer_def_name,1.4716338892225331,0.26309120261278746,200
deepseek-coder-1.3b,ba,source,0,other,1,other,0.10203935082364118,0.008495924037198226,200
deepseek-coder-1.3b,ba,source,0,other,2,outer_def_value,0.5144695841271707,0.035144680592488896,200
deepseek-coder-1.3b,ba,source,0,other,3,other,0.07829520219730766,0.23117703479193294,200
