model,base_id,split,arm,binding,cell,layer,target_mode,target_token,score,rho,n_tokens,frac_inner_def_name,frac_inner_def_value,frac_outer_def_name,frac_outer_def_value,frac_use_site,frac_return_kw,frac_signature,frac_suffix,frac_other,frac_outer_def,frac_inner_def,frac_inner_def_identical,frac_both_defs,ntok_inner_def_name,ntok_inner_def_value,ntok_outer_def_name,ntok_outer_def_value,ntok_use_site,ntok_return_kw,ntok_signature,ntok_suffix,ntok_other
deepseek-coder-1.3b,base_0000,calib,ab,source,ab_source,0,bound,17,112.54114532470703,0.9999998260180687,21,0.006295076202666491,0.13183113333454907,0.22324168278027112,0.009993645004102436,0.056537342096223624,-0.0007253497378956115,-0.026285236780330658,0.3555328402298069,0.2435786928886754,0.23323532778437356,0.13812620953721555,0.13183113333454907,0.37136153732158916,1,1,1,1,1,1,3,5,7
deepseek-coder-1.3b,base_0000,calib,ab,source,ab_source,0,other,19,102.79978942871094,1.000000325419994,21,0.011670008027950358,0.1807086282246318,0.1613908206914947,-0.03635515755919435,0.06354751319079002,0.00046839663882179347,-0.03587920537837792,0.39177923007562465,0.26267009150825316,0.12503566313230036,0.19237863625258214,0.1807086282246318,0.3174142993848825,1,1,1,1,1,1,3,5,7
deepseek-coder-1.3b,base_0000,calib,ab,source,ab_source,3,bound,17,112.54114532470703,0.9999998814301221,21,0.004938278244217186,0.14580709922376073,0.2735496518776736,0.03973830355014066,0.046389334602762,-0.005695286073283338,-0.015171022088140099,0.38001077918957726,0.13043274290341417,0.3132879554278143,0.15074537746797792,0.14580709922376073,0.4640333328957922,1,1,1,1,1,1,3,5,7
deepseek-coder-1.3b,base_0000,calib,ab,source,ab_source,3,other,19,102.79978942871094,1.0000002867174826,21,0.007674845458059247,0.19826155948409158,0.2412592230143384,-0.017029923782340944,0.05184604915299446,-0.005975015495383984,-0.02888225745785976,0.41598775078438943,0.13685805555919417,0.22422929923199744,0.20593640494215082,0.19826155948409158,0.43016570417414823,1,1,1,1,1,1,3,5,7
deepseek-coder-1.3b,base_0000,calib,ab,source,ab_source,7,bound,17,112.54114532470703,0.9999999428004611,21,0.014172439950313854,0.17279524842836005,0.25369614099877885,0.0072002726782529145,0.005464009270426743,-0.0015362037830266748,0.0884225069627516,0.42992838473653944,0.029857143558064174,0.26089641367703176,0.18696768837867392,0.17279524842836005,0.4478641020557057,1,1,1,1,1,1,3,5,7
deepseek-coder-1.3b,base_0000,calib,ab,source,ab_source,7,other,19,102.79978942871094,1.0000002014849854,21,0.01732355843296962,0.23821007506656808,0.24797262154993693,-0.08034371902871375,-0.00026193743861404787,-0.0024824825880792396,0.09293808566669838,0.46051480769340664,0.026129192130812613,0.1676289025212232,0.2555336334995377,0.23821007506656808,0.4231625360207609,1,1,1,1,1,1,3,5,7
deepseek-coder-1.3b,base_0000,calib,ab,source,ab_source,11,bound,17,112.54114532470703,0.9999999041378098,21,0.011583936247546183,0.13457199966131095,0.24216906956704543,0.012101553942843034,0.026123963739254706,-0.011468230054071615,0.06965975210109582,0.5538446817402395,-0.03858682280745438,0.25427062350988844,0.14615593590885714,0.13457199966131095,0.40042655941874555,1,1,1,1,1,1,3,5,7
deepseek-coder-1.3b,base_0000,calib,ab,source,ab_source,11,other,19,102.79978942871094,1.0000002759909439,21,0.013968568453620978,0.19592169434653287,0.24909504656834622,-0.08042798207890146,0.016761945852858957,-0.01364480672433056,0.07331699191727818,0.5967471630821303,-0.051738345426591635,0.16866706448944474,0.20989026280015385,0.19592169434653287,0.37855732728959857,1,1,1,1,1,1,3,5,7
deepseek-coder-1.3b,base_0000,calib,ab,source,ab_source,15,bound,17,112.54114532470703,0.9999999891426801,21,0.012818416699133408,0.09143879330699974,0.19504047964770915,-0.0010600112650043288,0.04549192044223735,-0.009230259956058551,0.11153214397159568,0.6495216221947736,-0.09555311589870594,0.19398046838270483,0.10425721000613314,0.09143879330699974,0.29823767838883797,1,1,1,1,1,1,3,5,7
deepseek-coder-1.3b,base_0000,calib,ab,source,ab_source,15,other,19,102.79978942871094,1.0000001504614495,21,0.01433477944547844,0.1450573333845919,0.20506880421760917,-0.1233145627331219,0.042255159759700296,-0.01086382572505001,0.11762697615082009,0.7270661936192712,-0.11723070765784974,0.08175424148448728,0.15939211283007035,0.1450573333845919,0.2411463543145576,1,1,1,1,1,1,3,5,7
