model,split,correct_only,layer,target_condition,statistic,role,token_identical,mean_delta_ab,mean_delta_ba,median_delta_ab,median_delta_ba,sign_consistency_ab,sign_consistency_ba,signs_agree,arm_ratio,both_significant_sign
deepseek-coder-1.3b,test,0,0,bound,binding_shift,binding_shift,0,-0.33266811624780807,0.09200220046726468,0.06524729063017069,0.06307888461043197,0.7,0.7428571428571429,0,-0.2765585157512698,1
deepseek-coder-1.3b,test,0,0,bound,binding_shift_identical,binding_shift_identical,1,-0.36108933791190245,0.10012608011389425,0.0713440760504264,0.06979050434235384,0.7214285714285714,0.7714285714285715,0,-0.2772889409942166,1
deepseek-coder-1.3b,test,0,0,bound,delta_frac_both_defs,both_defs,0,0.29886927797587737,0.009606685549995619,-0.011860024083821974,-0.019294139285633255,0.4142857142857143,0.3357142857142857,1,0.03214343613722319,0
deepseek-coder-1.3b,test,0,0,bound,delta_frac_inner_def,inner_def,0,-0.01689941913596532,0.05080444300863015,0.02620768891429381,0.02597510174118954,0.7214285714285714,0.7357142857142858,0,-3.006283387605211,1
deepseek-coder-1.3b,test,0,0,bound,delta_frac_inner_def_identical,inner_def_identical,1,-0.04532064080005978,0.05892832265525974,0.029004397100657667,0.03185790200653908,0.7714285714285715,0.8214285714285714,0,-1.300253518374392,1
deepseek-coder-1.3b,test,0,0,bound,delta_frac_inner_def_name,inner_def_name,0,0.02842122166409446,-0.008123879646629577,-0.004794416564396227,-0.006174176844467796,0.42857142857142855,0.37142857142857144,0,-0.28583850978132874,0
deepseek-coder-1.3b,test,0,0,bound,delta_frac_inner_def_value,inner_def_value,1,-0.04532064080005978,0.05892832265525974,0.029004397100657667,0.03185790200653908,0.7714285714285715,0.8214285714285714,0,-1.300253518374392,1
deepseek-coder-1.3b,test,0,0,bound,delta_frac_other,other,1,0.019701108141055558,0.04449151053776809,0.049108777232902315,0.05482935963207984,0.8928571428571429,0.8357142857142857,1,2.258325278924351,1
deepseek-coder-1.3b,test,0,0,bound,delta_frac_outer_def,outer_def,1,0.3157686971118427,-0.04119775745863452,-0.036663429346463744,-0.04070454454404748,0.3142857142857143,0.2642857142857143,0,-0.1304681491086579,1
deepseek-coder-1.3b,test,0,0,bound,delta_frac_outer_def_name,outer_def_name,1,0.271826003319499,-0.0271378349580674,-0.007059542712280875,-0.006895866198727674,0.42857142857142855,0.44285714285714284,0,-0.09983531607228215,0
deepseek-coder-1.3b,test,0,0,bound,delta_frac_outer_def_value,outer_def_value,1,0.043942693792343605,-0.014059922500567121,-0.03015322834977048,-0.029147361580086805,0.19285714285714287,0.20714285714285716,0,-0.31996041405674736,1
deepseek-coder-1.3b,test,0,0,bound,delta_frac_return_kw,return_kw,1,0.02848032661966244,-0.009545013721075992,-0.006550269236899232,-0.008432093781109436,0.24285714285714285,0.17857142857142858,0,-0.3351441101271023,1
deepseek-coder-1.3b,test,0,0,bound,delta_frac_signature,signature,1,0.33138656241489167,-0.04597000165231096,-0.079420696770787,-0.09740495020132564,0.15714285714285714,0.12857142857142856,0,-0.1387201741594975,1
deepseek-coder-1.3b,test,0,0,bound,delta_frac_suffix,suffix,1,-0.5904412866728036,0.030870643758248453,0.056791664896368665,0.08653014348111807,0.7785714285714286,0.85,0,-0.05228401952073449,1
deepseek-coder-1.3b,test,0,0,bound,delta_frac_use_site,use_site,1,-0.08799594237629929,-0.029453619304254552,-0.01969083739261754,-0.0175010507902629,0.09285714285714286,0.14285714285714285,1,0.3347156528911446,1
deepseek-coder-1.3b,test,0,0,fixed_a,binding_shift,binding_shift,0,-0.0691946501422905,3.005602196299651,-0.06051433699462436,-0.03230507239895492,0.2571428571428571,0.36428571428571427,0,-43.43691586154407,1
deepseek-coder-1.3b,test,0,0,fixed_a,binding_shift_identical,binding_shift_identical,1,-0.0629503436608059,3.1860890941432958,-0.05617477427918692,-0.02230693151596478,0.25,0.39285714285714285,0,-50.61273551278508,1
deepseek-coder-1.3b,test,0,0,fixed_a,delta_frac_both_defs,both_defs,0,0.026784530729633594,-1.8065911882448724,0.015970622692035835,0.012768649956241357,0.7071428571428572,0.6142857142857143,0,-67.44905133790955,1
deepseek-coder-1.3b,test,0,0,fixed_a,delta_frac_inner_def,inner_def,0,-0.021205059706328452,0.5995055040273891,-0.021027702684086762,-0.0022001417621765468,0.32142857142857145,0.4714285714285714,0,-28.271814007129265,0
deepseek-coder-1.3b,test,0,0,fixed_a,delta_frac_inner_def_identical,inner_def_identical,1,-0.014960753224843842,0.7799924018710345,-0.01796553278981696,0.00197627288692271,0.3357142857142857,0.5285714285714286,0,-52.13590453292006,0
deepseek-coder-1.3b,test,0,0,fixed_a,delta_frac_inner_def_name,inner_def_name,0,-0.0062443064814846115,-0.18048689784364533,-0.0058266324582276815,-0.008091336698435375,0.42142857142857143,0.34285714285714286,1,28.904234341927076,0
deepseek-coder-1.3b,test,0,0,fixed_a,delta_frac_inner_def_value,inner_def_value,1,-0.014960753224843842,0.7799924018710345,-0.01796553278981696,0.00197627288692271,0.3357142857142857,0.5285714285714286,0,-52.13590453292006,0
deepseek-coder-1.3b,test,0,0,fixed_a,delta_frac_other,other,1,0.03534163520189934,0.07902618060704358,0.02632311828558273,0.040804078438129415,0.8071428571428572,0.8214285714285714,1,2.236064634688905,1
deepseek-coder-1.3b,test,0,0,fixed_a,delta_frac_outer_def,outer_def,1,0.04798959043596206,-2.406096692272262,0.038602753679013335,0.020763568984128664,0.7642857142857142,0.6285714285714286,0,-50.13788762133716,1
deepseek-coder-1.3b,test,0,0,fixed_a,delta_frac_outer_def_name,outer_def_name,1,0.04531262568046107,-1.7329328972982962,0.027256211109138645,0.022733383839817545,0.8214285714285714,0.7,0,-38.24393027936012,1
deepseek-coder-1.3b,test,0,0,fixed_a,delta_frac_outer_def_value,outer_def_value,1,0.0026769647555009816,-0.6731637949739656,0.00847194430535407,0.00026847862509527323,0.6214285714285714,0.5071428571428571,0,-251.4653185443176,0
deepseek-coder-1.3b,test,0,0,fixed_a,delta_frac_return_kw,return_kw,1,-0.0064229947988882685,-0.026363261278531308,-0.006635535514781235,-0.008920284130765104,0.2571428571428571,0.17857142857142858,1,4.10451231925245,1
deepseek-coder-1.3b,test,0,0,fixed_a,delta_frac_signature,signature,1,-0.06994276063338141,-0.664271417023891,-0.08818476675100051,-0.09813761348838085,0.14285714285714285,0.12142857142857143,1,9.497357710911626,1
deepseek-coder-1.3b,test,0,0,fixed_a,delta_frac_suffix,suffix,1,0.03772034522486353,2.008229193515842,0.05781696438059859,0.07975979924762697,0.7857142857142857,0.8,1,53.23994734258447,1
deepseek-coder-1.3b,test,0,0,fixed_a,delta_frac_use_site,use_site,1,-0.023480652811588294,0.40997245904158774,-0.01888605451928028,-0.0214964181313371,0.10714285714285714,0.14285714285714285,0,-17.46001111345831,1
deepseek-coder-1.3b,test,0,0,fixed_b,binding_shift,binding_shift,0,-0.7404087427734205,-2.512368500495841,-0.011951512402720452,-0.09548656153259011,0.42857142857142855,0.22142857142857142,1,3.3932183068031043,0
deepseek-coder-1.3b,test,0,0,fixed_b,binding_shift_identical,binding_shift_identical,1,-0.7672596667139957,-1.970341026672352,0.0008567839852523101,-0.09511396679385442,0.5071428571428571,0.22142857142857142,1,2.568023724107497,0
deepseek-coder-1.3b,test,0,0,fixed_b,delta_frac_both_defs,both_defs,0,0.48143087676441415,-0.9422426922095681,0.02244025490139734,0.01931947369194903,0.7071428571428572,0.6928571428571428,0,-1.9571712943344304,1
deepseek-coder-1.3b,test,0,0,fixed_b,delta_frac_inner_def,inner_def,0,-0.12948893300450326,-1.7273055963527053,0.0016195742404569863,-0.03640615944986242,0.5214285714285715,0.2571428571428571,1,13.339407131361833,0
deepseek-coder-1.3b,test,0,0,fixed_b,delta_frac_inner_def_identical,inner_def_identical,1,-0.15633985694507832,-1.1852781225292162,0.008559930309832757,-0.029022230311178468,0.6285714285714286,0.2785714285714286,1,7.581420027431651,1
