layer,n_seeds,cosine_mean,cosine_min,margin_sign_agreement,pooled_vs_seed_cosine,n_build_per_seed,n_probe_states
8,3,0.19362553457419077,0.16166932880878448,0.46957844415471534,0.678885281085968,150,52
16,3,0.6443910598754883,0.5851195454597473,0.8226857887874837,0.8733114997545878,150,52
24,3,0.8512420455614725,0.8250287175178528,0.9085180356366797,0.9490469694137573,150,52
31,3,1.0,1.0,1.0,1.0,150,52
