split,position,site_kind,site,variant,n_families,min_family_delta,max_family_delta,all_families_positive,all_families_ci_positive,delta_affine,ci_lo_affine,delta_threshold,ci_lo_threshold
calib,pre_def,band,L16+24+31,gram_random,2,-0.0002604176600774129,0.0005208298563957215,False,False,-0.0002604176600774129,-0.0028646102299292884,0.0005208298563957215,-0.0015625049794713657
calib,pre_def,band,L16+24+31,clens_answer,2,-0.0007812514901161194,0.0013020803531010945,False,False,0.0013020803531010945,-0.0013020883003870647,-0.0007812514901161194,-0.0031250044827659923
calib,pre_def,band,L16+24+31,clens_value,2,0.00026040573914845784,0.0010416621963183085,True,False,0.00026040573914845784,-0.0018229315678278605,0.0010416621963183085,-0.0010416741420825322
calib,pre_def,band,L16+24+31,logit_value,2,-0.000260429581006368,-4.470348358154297e-09,False,False,-0.000260429581006368,-0.002343758965531985,-4.470348358154297e-09,-0.0018229201436042787
calib,pre_def,band,L16+24+31,noop_same_value,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
calib,pre_def,band,L16+24+31,whole_state,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
calib,pre_def,band,L8+16+24,gram_random,2,-0.00156250794728597,-0.0007812529802322388,False,False,-0.00156250794728597,-0.005729175657033921,-0.0007812529802322388,-0.003125003998478254
calib,pre_def,band,L8+16+24,clens_answer,2,-1.986821492513021e-09,0.002343752980232239,False,False,0.002343752980232239,-0.0010416637112696965,-1.986821492513021e-09,-0.003125000993410746
calib,pre_def,band,L8+16+24,clens_value,2,-0.003385413686434428,-2.483526865641276e-09,False,False,-0.003385413686434428,-0.0078124881784121195,-2.483526865641276e-09,-0.0023437514901161194
calib,pre_def,band,L8+16+24,logit_value,2,0.000260414183139801,0.0031249950329462687,True,False,0.0031249950329462687,-0.00026041470468044284,0.000260414183139801,-0.0026041691626111666
calib,pre_def,band,L8+16+24,noop_same_value,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
calib,pre_def,band,L8+16+24,whole_state,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
calib,pre_def,single,L16,gram_random,2,0.0005208328366279602,0.0018229166666666667,True,False,0.0018229166666666667,-0.0005208294093608857,0.0005208328366279602,-0.0020833333333333333
calib,pre_def,single,L16,clens_answer,2,-1.986821492513021e-09,0.0010416651765505472,False,False,-1.986821492513021e-09,-0.00286458931863308,0.0010416651765505472,-0.0010416691501935324
calib,pre_def,single,L16,clens_value,2,0.0005208333333333333,0.0010416621963183085,True,False,0.0005208333333333333,-0.002083329384525617,0.0010416621963183085,-0.001302088312804699
calib,pre_def,single,L16,logit_value,2,0.00026041666666666666,0.000520836313565572,True,False,0.000520836313565572,-0.002083329384525617,0.00026041666666666666,-0.0020833343267440798
calib,pre_def,single,L16,noop_same_value,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
calib,pre_def,single,L16,whole_state,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
calib,pre_def,single,L24,gram_random,2,0.0005208353201548258,0.0007812470197677612,True,False,0.0005208353201548258,-0.001302093341946602,0.0007812470197677612,-0.0007812519868214925
calib,pre_def,single,L24,clens_answer,2,-2.9802322387695314e-09,-2.9802322387695314e-09,False,False,-2.9802322387695314e-09,-0.002083329384525617,-2.9802322387695314e-09,-0.0018229186534881592
calib,pre_def,single,L24,clens_value,2,-0.0002604191501935323,-0.0002604176600774129,False,False,-0.0002604176600774129,-0.0023437619209289553,-0.0002604191501935323,-0.0020833333333333333
calib,pre_def,single,L24,logit_value,2,0.0002604176600774129,0.0007812370856602987,True,False,0.0007812370856602987,-0.001041688546538353,0.0002604176600774129,-0.0015624950701991717
calib,pre_def,single,L24,noop_same_value,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
calib,pre_def,single,L24,whole_state,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
calib,pre_def,single,L31,gram_random,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
calib,pre_def,single,L31,clens_answer,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
calib,pre_def,single,L31,clens_value,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
calib,pre_def,single,L31,logit_value,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
calib,pre_def,single,L31,noop_same_value,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
calib,pre_def,single,L31,whole_state,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
calib,pre_def,single,L8,gram_random,2,-0.0005208472410837809,0.0002604156732559204,False,False,-0.0005208472410837809,-0.004166671658555666,0.0002604156732559204,-0.0018229201808571817
calib,pre_def,single,L8,clens_answer,2,0.0005208273728688558,0.000781246026357015,True,False,0.0005208273728688558,-0.0028645993520816167,0.000781246026357015,-0.0018229186534881592
calib,pre_def,single,L8,clens_value,2,-0.0031250029802322387,0.0013020798563957215,False,False,-0.0031250029802322387,-0.0078124940643707905,0.0013020798563957215,-0.0010416716337203979
calib,pre_def,single,L8,logit_value,2,-0.00026042014360427856,0.0015625059604644775,False,False,0.0015625059604644775,-0.0015624890973170598,-0.00026042014360427856,-0.0023437559604644774
calib,pre_def,single,L8,noop_same_value,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
calib,pre_def,single,L8,whole_state,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
calib,use,band,L16+24+31,gram_random,2,-0.00026042014360427856,0.0005208184321721395,False,False,0.0005208184321721395,-0.001822933554649353,-0.00026042014360427856,-0.0023437510058283806
calib,use,band,L16+24+31,clens_answer,2,0.0007812480131785075,0.00156249205271403,True,False,0.00156249205271403,-0.0013086264332135516,0.0007812480131785075,-0.0015625034769376118
calib,use,band,L16+24+31,clens_value,2,-0.0002604191501935323,0.0018229017655054728,False,False,0.0018229017655054728,-0.0007812738915284475,-0.0002604191501935323,-0.002343752980232239
calib,use,band,L16+24+31,logit_value,2,-0.0013020843267440795,0.000520828366279602,False,False,-0.0013020843267440795,-0.004166673645377159,0.000520828366279602,-0.0018229236205418904
calib,use,band,L16+24+31,noop_same_value,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
calib,use,band,L16+24+31,whole_state,2,-0.0020833338300387063,0.1388020912806193,False,False,0.1388020912806193,0.06691408788164456,-0.0020833338300387063,-0.005989586810270945
calib,use,band,L8+16+24,gram_random,2,0.0013020778695742288,0.004427074392636617,True,False,0.004427074392636617,0.0013020852953195571,0.0013020778695742288,-0.0007812559728821118
calib,use,band,L8+16+24,clens_answer,2,0.0018229166666666667,0.008333336313565571,True,False,0.008333336313565571,0.002864605834086736,0.0018229166666666667,-0.0013020823523402214
calib,use,band,L8+16+24,clens_value,2,0.00026041318972905476,0.01015625,True,False,0.01015625,-0.001562494064370791,0.00026041318972905476,-0.004433599586288134
calib,use,band,L8+16+24,logit_value,2,0.0015624821186065673,0.0018229151765505472,True,False,0.0015624821186065673,-0.002610710014899571,0.0018229151765505472,-0.0018229161699612935
calib,use,band,L8+16+24,noop_same_value,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
calib,use,band,L8+16+24,whole_state,2,0.18932291318972905,3.2953124910593035,True,True,3.2953124910593035,2.477597645347317,0.18932291318972905,0.0682226487994194
calib,use,single,L16,gram_random,2,-0.000781253973642985,0.0002604156732559204,False,False,0.0002604156732559204,-0.0026041656980911893,-0.000781253973642985,-0.0028645878036816915
calib,use,single,L16,clens_answer,2,0.0005208308498064677,0.000520836313565572,True,False,0.000520836313565572,-0.0023437509934107464,0.0005208308498064677,-0.001822917660077413
calib,use,single,L16,clens_value,2,0.0013020793596903483,0.0020833174387613934,True,False,0.0020833174387613934,-0.0002604395399490992,0.0013020793596903483,-0.0007812529802322388
calib,use,single,L16,logit_value,2,-0.0013020922740300497,0.0007812495032946269,False,False,-0.0013020922740300497,-0.003906260927518209,0.0007812495032946269,-0.0010416681567827861
calib,use,single,L16,noop_same_value,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
