layer,readout,n_test,n_model_wrong,latent_first,early_warning_rate,readout_never_wrong,n_both_fail,mean_lead
-1,jlens,70,70,0,0.0,38,32,-3.53125
-1,logit,70,70,0,0.0,38,32,-3.53125
-1,probe,70,70,0,0.0,38,32,-3.53125
-1,random,70,70,0,0.0,38,32,-3.53125
0,jlens,70,70,0,0.0,38,32,-3.53125
0,logit,70,70,0,0.0,38,32,-3.53125
0,probe,70,70,0,0.0,40,30,-2.8333333333333335
0,random,70,70,0,0.0,36,34,-2.6176470588235294
3,jlens,70,70,0,0.0,38,32,-3.53125
3,logit,70,70,0,0.0,12,58,-1.0517241379310345
3,probe,70,70,0,0.0,30,40,-2.125
3,random,70,70,0,0.0,38,32,-3.53125
7,jlens,70,70,0,0.0,38,32,-3.53125
7,logit,70,70,0,0.0,38,32,-3.53125
7,probe,70,70,0,0.0,11,59,-1.5423728813559323
7,random,70,70,0,0.0,0,70,0.0
11,jlens,70,70,0,0.0,29,41,-2.4146341463414633
11,logit,70,70,0,0.0,22,48,-1.4375
11,probe,70,70,0,0.0,26,44,-2.022727272727273
11,random,70,70,0,0.0,34,36,-1.6388888888888888
15,jlens,70,70,0,0.0,20,50,-1.32
15,logit,70,70,0,0.0,0,70,-0.5142857142857142
15,probe,70,70,0,0.0,50,20,-3.35
15,random,70,70,0,0.0,37,33,-3.393939393939394
19,jlens,70,70,0,0.0,16,54,-1.2777777777777777
19,logit,70,70,0,0.0,39,31,-4.483870967741935
19,probe,70,70,0,0.0,43,27,-1.4814814814814814
19,random,70,70,0,0.0,27,43,-2.558139534883721
23,jlens,70,70,0,0.0,22,48,-0.9375
23,logit,70,70,0,0.0,22,48,-0.9375
23,probe,70,70,0,0.0,67,3,-4.333333333333333
23,random,70,70,0,0.0,55,15,-4.133333333333334
