model,base_id,condition,layer,target_token,target,condition_kind,condition_order,rho_unsafe,rho_safe,score_unsafe,score_safe,n_tokens_unsafe,n_tokens_safe,frac_source_expr_unsafe,frac_source_expr_safe,delta_frac_source_expr,ntok_source_expr_match,frac_trusted_expr_unsafe,frac_trusted_expr_safe,delta_frac_trusted_expr,ntok_trusted_expr_match,frac_sink_arg_unsafe,frac_sink_arg_safe,delta_frac_sink_arg,ntok_sink_arg_match,frac_sink_call_unsafe,frac_sink_call_safe,delta_frac_sink_call,ntok_sink_call_match,frac_taint_chain_unsafe,frac_taint_chain_safe,delta_frac_taint_chain,ntok_taint_chain_match,frac_trust_chain_unsafe,frac_trust_chain_safe,delta_frac_trust_chain,ntok_trust_chain_match,frac_signature_unsafe,frac_signature_safe,delta_frac_signature,ntok_signature_match,frac_other_unsafe,frac_other_safe,delta_frac_other,ntok_other_match,delta_total,delta_token_identical_roles
deepseek-coder-6.7b,command_exec_assign_chain_00,clean_heldout,0,5723, safe,clean,-1,1.0000007162379618,1.0000006575283538,54.092384338378906,42.916893005371094,81,82,0.0795521764512471,0.1537318742096952,-0.0741796977584481,1,0.01179816322835274,0.028574734741795095,-0.016776571513442355,1,0.015995349019541194,0.022882719240171198,-0.006887370220630004,0,0.031520888359508475,-0.006912806774484406,0.03843369513399288,1,0.05606268735462794,0.02198311594196578,0.03407957141266216,1,0.03387231050083439,0.07295391049040252,-0.03908159998956813,1,0.3970828785920149,0.40759149377448023,-0.01050861518246532,1,0.3741162627318349,0.29919561590432825,0.07492064682750665,1,5.8709607786422424e-08,-0.06803321789726888
deepseek-coder-6.7b,command_exec_assign_chain_00,clean_heldout,0,24281, vulnerable,clean,-1,1.0000002784865507,1.0000006227408662,180.74215698242188,167.31898498535156,81,82,0.047567921737554135,0.06796752805640281,-0.020399606318848677,1,0.026157341685251682,0.026422665629132022,-0.0002653239438803398,1,0.0016011646221438022,0.004521472734176457,-0.002920308112032655,0,0.05842140447123448,0.04387139376032165,0.01455001071091283,1,0.01808002166903738,-0.0003810347639424023,0.01846105643297978,1,0.03198261792755305,0.03958638784499857,-0.007603769917445519,1,0.3321225976284069,0.329819057318739,0.0023035403096678952,1,0.4840672087453692,0.48819315216103804,-0.0041259434156688535,1,-3.442543155367239e-07,0.007045907273385971
deepseek-coder-6.7b,command_exec_assign_chain_00,clean_heldout,3,5723, safe,clean,-1,1.000000092973197,1.0000003538175262,54.092384338378906,42.916893005371094,81,82,0.07976497309122628,0.15222015403726386,-0.07245518094603758,1,0.009528317767238212,0.03013445518932828,-0.020606137422090068,1,0.010200261335177574,0.026221444756221464,-0.01602118342104389,0,0.04413857182123984,-0.003104744724045958,0.047243316545285796,1,0.05357131668876234,0.032573834255542645,0.020997482433219694,1,0.032121968720894296,0.05177246526980893,-0.019650496548914632,1,0.3793632103705403,0.3893140861983115,-0.009950875827771155,1,0.39131147317811793,0.3208686588350956,0.07044281434302235,1,-2.608443294693785e-07,-0.054421891766307934
deepseek-coder-6.7b,command_exec_assign_chain_00,clean_heldout,3,24281, vulnerable,clean,-1,0.999999931200229,1.0000000441729666,180.74215698242188,167.31898498535156,81,82,0.04797500891097602,0.07167899994242981,-0.023703991031453785,1,0.028397754907338195,0.02818274746186123,0.00021500744547696404,1,0.0024095251203913714,0.006453148552740858,-0.004043623432349487,0,0.06032631109605662,0.046615817255285415,0.013710493840771207,1,0.017831887823294583,0.001979957227401838,0.015851930595892745,1,0.030694423876056476,0.032774681198783295,-0.0020802573227268195,1,0.3130191176453983,0.30905648106280403,0.00396263658259427,1,0.4993459018207175,0.5032582114716602,-0.003912309650942691,1,-1.1297273759536264e-07,0.007955820110554582
deepseek-coder-6.7b,command_exec_assign_chain_00,clean_heldout,7,5723, safe,clean,-1,0.999999942700963,1.0000003525263401,54.092384338378906,42.916893005371094,81,82,0.11280298953890602,0.1869921047877072,-0.07418911524880117,1,0.02609067653475382,0.07690991746208982,-0.050819240927336,1,0.0028618026037246563,-0.006080722393762946,0.008942524997487603,0,0.05703750099435867,0.02437159441457046,0.03266590657978821,1,0.04321217951778136,0.033311086924086616,0.009901092593694746,1,0.041015141883721,0.022217882729909925,0.01879725915381107,1,0.32535578465116066,0.35785564892891425,-0.03249986427775359,1,0.3916238669765568,0.30442283967282496,0.08720102730373186,1,-4.098253772732985e-07,-0.09614396212659673
deepseek-coder-6.7b,command_exec_assign_chain_00,clean_heldout,7,24281, vulnerable,clean,-1,0.9999999750605982,1.00000003508901,180.74215698242188,167.31898498535156,81,82,0.0578179553725214,0.08912373830180147,-0.03130578292928007,1,0.03874190873140732,0.037052643551996244,0.0016892651794110786,1,0.008544869069423791,-0.001451476774271615,0.009996345843695407,0,0.0765458446678201,0.06036598296090792,0.016179861706912185,1,0.01276551658607105,0.003237585367962978,0.009527931218108073,1,0.028618124242725987,0.02552534241804398,0.003092781824682006,1,0.2752533651284647,0.27699429516679575,-0.0017409300383310344,1,0.5017123912621639,0.5091519240957731,-0.007439532833609208,1,-6.00284115574723e-08,-0.0025568730384977582
deepseek-coder-6.7b,command_exec_assign_chain_00,clean_heldout,11,5723, safe,clean,-1,0.9999999633616735,1.0000003617924988,54.092384338378906,42.916893005371094,81,82,0.11022250730060251,0.20470700992090862,-0.09448450262030611,1,0.035297789915760894,0.0781408980373686,-0.0428431081216077,1,0.052891435516915594,0.0020165577802258895,0.05087487773668971,0,0.06079361098901029,0.0618040938644792,-0.0010104828754689127,1,0.02783545899959919,0.017833778447362253,0.010001680552236936,1,0.06394347912916078,0.039654511924877976,0.0242889672042828,1,0.22331174326924963,0.2646923114374717,-0.041380568168222054,1,0.42570393824137465,0.3311512003798045,0.09455273786157015,1,-3.9843082516588524e-07,-0.145428014029085
deepseek-coder-6.7b,command_exec_assign_chain_00,clean_heldout,11,24281, vulnerable,clean,-1,1.0000000706753789,1.0000000950253134,180.74215698242188,167.31898498535156,81,82,0.052711581788378974,0.08945542366856636,-0.03674384188018739,1,0.030391244967969085,0.029585243073177246,0.0008060018947918385,1,0.016928869846421116,-3.315697689608953e-05,0.016962026823317204,0,0.09769109953674585,0.07438361241756697,0.023307487119178877,1,0.015485708535944932,0.010273792011212958,0.005211916524731974,1,0.0400313758260009,0.03161734584209583,0.008414029983905072,1,0.19641282607421048,0.2058328381258779,-0.009420012051667426,1,0.5503473640997075,0.5588849968637124,-0.008537632764004877,1,-2.43499347248044e-08,-0.008424418409247052
deepseek-coder-6.7b,command_exec_assign_chain_00,clean_heldout,15,5723, safe,clean,-1,0.9999999653588755,1.000000367174249,54.092384338378906,42.916893005371094,81,82,0.08669517893925062,0.15505364248076914,-0.06835846354151852,1,0.02340077021541758,0.05473933424047096,-0.03133856402505338,1,0.06928965489160292,0.020598642034563023,0.0486910128570399,0,0.08240416397787262,0.06446934707081349,0.01793481690705913,1,0.04609888977870865,0.04060498817012137,0.00549390160858728,1,0.06099569752991432,0.03132067852567943,0.029675019004234894,1,0.12555048617263165,0.1518996271390117,-0.026349140966380052,1,0.5055651238534771,0.48131410751281994,0.024251016340657128,1,-4.0181537361294595e-07,-0.07294243101307064
deepseek-coder-6.7b,command_exec_assign_chain_00,clean_heldout,15,24281, vulnerable,clean,-1,1.000000099778218,1.0000000450078892,180.74215698242188,167.31898498535156,81,82,0.039240717212040435,0.06843246852453833,-0.02919175131249789,1,0.016161646211148975,0.01423861362841924,0.0019230325827297359,1,0.01941662801501851,0.010571006255322415,0.008845621759696094,0,0.08081450432522073,0.044599950055443344,0.03621455426977739,1,0.022520075540694278,0.015897528101516227,0.006622547439178051,1,0.058899757922518954,0.04459398250806164,0.014305775414457315,1,0.12778565186096077,0.13346146785275015,-0.005675815991789374,1,0.6351611186906152,0.6682050280818379,-0.0330439093912227,1,5.4770328619668796e-08,0.02419834240185523
