model,layer,n_readings,median_rho,median_abs_rho_minus_one,max_abs_rho_minus_one,conserving
deepseek-coder-6.7b,0,288,1.000000396396634,4.0648953092414786e-07,1.965715589413719e-06,1
deepseek-coder-6.7b,3,288,1.0000000690207367,1.5631255922965437e-07,1.825658433318722e-06,1
deepseek-coder-6.7b,7,288,1.0000000643879643,1.6478913889006463e-07,1.776121353547211e-06,1
deepseek-coder-6.7b,11,288,1.000000135228881,1.7830998710888224e-07,1.7998046739631235e-06,1
deepseek-coder-6.7b,15,288,1.0000001742144042,2.0161728109258092e-07,2.0513202594329982e-06,1
deepseek-coder-6.7b,19,288,1.0000001770562998,2.0844119608121048e-07,2.1821849676140204e-06,1
deepseek-coder-6.7b,23,288,1.0000001770518032,1.9212820234759675e-07,2.3085811247103294e-06,1
deepseek-coder-6.7b,27,288,1.0000001807194887,1.9252695038218803e-07,2.598653921603855e-06,1
