model,program_id,base_id,member,condition,condition_kind,condition_order,layer,target_token,target,score,rho,n_tokens,frac_source_expr,frac_trusted_expr,frac_sink_arg,frac_sink_call,frac_taint_chain,frac_trust_chain,frac_signature,frac_other,ntok_source_expr,ntok_trusted_expr,ntok_sink_arg,ntok_sink_call,ntok_taint_chain,ntok_trust_chain,ntok_signature,ntok_other
deepseek-coder-6.7b,command_exec_direct_00_unsafe,command_exec_direct_00,unsafe,clean_heldout,clean,-1,0,24281, vulnerable,191.36825561523438,1.0000006349811983,48,0.053570380278047655,0.024116026125442634,0.0022602763788884873,0.05462412701152014,0.031218412396114982,0.023685344458123463,0.3172020066116005,0.4933240617214604,8,5,2,5,2,2,5,19
deepseek-coder-6.7b,command_exec_direct_00_unsafe,command_exec_direct_00,unsafe,clean_heldout,clean,-1,0,5723, safe,60.918067932128906,1.000000829472098,48,0.09322090198378064,0.013271354821047014,0.004464190823125,0.004986145802825589,0.04085498846975567,0.059739362264709564,0.3965004916110631,0.3869633936957914,8,5,2,5,2,2,5,19
deepseek-coder-6.7b,command_exec_direct_00_unsafe,command_exec_direct_00,unsafe,clean_heldout,clean,-1,3,24281, vulnerable,191.36825561523438,1.0000002250339572,48,0.055784648152913806,0.029050204456042374,0.003848461435514942,0.05778323842184872,0.02717164963588914,0.020247229251102936,0.29443120457459865,0.5116835891060465,8,5,2,5,2,2,5,19
deepseek-coder-6.7b,command_exec_direct_00_unsafe,command_exec_direct_00,unsafe,clean_heldout,clean,-1,3,5723, safe,60.918067932128906,1.0000004997379817,48,0.09574262949537382,0.018218871526101382,0.008523158353163562,0.00378577278577416,0.03466104366088295,0.05279646530389298,0.3763893743253464,0.4098831842874466,8,5,2,5,2,2,5,19
deepseek-coder-6.7b,command_exec_direct_00_unsafe,command_exec_direct_00,unsafe,clean_heldout,clean,-1,7,24281, vulnerable,191.36825561523438,1.0000002145609237,48,0.06579233976685223,0.03500785560062146,0.0051994531481730465,0.06798419433744421,0.022495955431204057,0.02510611698172708,0.26122480404572496,0.5171894952491765,8,5,2,5,2,2,5,19
deepseek-coder-6.7b,command_exec_direct_00_unsafe,command_exec_direct_00,unsafe,clean_heldout,clean,-1,7,5723, safe,60.918067932128906,1.0000005086662422,48,0.1307454360855209,0.03688452739821631,-0.0022872897349139653,0.023888136584684708,0.024099911378428093,0.06746258650814256,0.3488531535316876,0.3703540469144762,8,5,2,5,2,2,5,19
deepseek-coder-6.7b,command_exec_direct_00_unsafe,command_exec_direct_00,unsafe,clean_heldout,clean,-1,11,24281, vulnerable,191.36825561523438,1.0000002602685127,48,0.07530259669938069,0.03476852556312248,0.016393921565266065,0.07935364242423759,0.02227518419333079,0.03440043553367975,0.18862481533822484,0.5488811389512707,8,5,2,5,2,2,5,19
deepseek-coder-6.7b,command_exec_direct_00_unsafe,command_exec_direct_00,unsafe,clean_heldout,clean,-1,11,5723, safe,60.918067932128906,1.0000006046756196,48,0.15038433840381826,0.05712446456267417,0.011173773867349026,0.02917956034689297,0.01891830314197749,0.08006864661181895,0.2715905378887473,0.3815609798523415,8,5,2,5,2,2,5,19
deepseek-coder-6.7b,command_exec_direct_00_unsafe,command_exec_direct_00,unsafe,clean_heldout,clean,-1,15,24281, vulnerable,191.36825561523438,1.0000002591394497,48,0.06175104198353109,0.016201782589128026,0.025019030553338473,0.061180124293246985,0.020797589738994746,0.029234630140230325,0.1217262713979417,0.6640897884430382,8,5,2,5,2,2,5,19
deepseek-coder-6.7b,command_exec_direct_00_unsafe,command_exec_direct_00,unsafe,clean_heldout,clean,-1,15,5723, safe,60.918067932128906,1.000000735847667,48,0.13914347183825648,0.04320290965524739,0.03592732736006186,0.023362014247636998,0.004385280777073218,0.06234934184052833,0.18435092666988784,0.5072794634589749,8,5,2,5,2,2,5,19
