model,arm,lens,layer,site,condition,condition_kind,condition_order,relative_depth,n_pairs,mean_delta_contrast_z,mean_delta_contrast_prob,sign_consistency_z,sign_consistency_prob,mean_contrast_prob_unsafe,mean_contrast_prob_safe,permutation_effect_size,permutation_p,permutation_null_sd,anchor_token_same_frac,corr_contrast_entropy,corr_contrast_norm,mean_delta_entropy,topk_enrichment_positive,topk_enrichment_negative,topk_enrichment_random,concept_rank_best
deepseek-coder-6.7b,main,jlens,0,last_token,rename_opaque_encode,cumulative,23,0.0,72,-0.004601748578809682,-2.250017592093638e-06,0.375,0.5138888888888888,-0.010359358543370605,-0.010357108525778511,-1.948493217356346,0.068,0.0024926341259302338,1.0,0.7657014423400177,-0.8213380353293774,-4.728235617801335e-05,0.0,0.0,0.0,173.0
deepseek-coder-6.7b,main,jlens,0,last_token,rename_opaque_encode_flatten,cumulative,24,0.0,72,0.00014418671708686504,4.520246133304562e-07,0.5972222222222222,0.6666666666666666,-0.008515313426716457,-0.008515765451329788,1.5111897964897039,0.114,9.35847268149717e-05,1.0,0.572433190311395,-0.49923240622661214,7.451664015710612e-07,0.125,0.0,0.03125,132.0
deepseek-coder-6.7b,main,jlens,3,last_token,clean_heldout,clean,-1,0.0968,72,0.003799625104846794,1.2324015177168401e-06,0.5416666666666666,0.4583333333333333,-0.010793099704083929,-0.010794332105601647,1.533516748868443,0.118,0.0024318784774939764,1.0,-0.4326957049496927,-0.048369975461115745,1.077390040700917e-06,0.0,0.0,0.03125,6.0
deepseek-coder-6.7b,main,jlens,3,last_token,normalize,baseline,0,0.0968,72,0.060137991550352154,8.166223877671921e-05,0.6527777777777778,0.5416666666666666,-0.010688065496019063,-0.01076972773479578,3.9664328863961815,0.0,0.01523539399804105,1.0,0.050670168160133186,-0.3748570399851533,-4.814390947665497e-05,0.0,0.0,0.03125,33.0
deepseek-coder-6.7b,main,jlens,3,last_token,rename_only,atomic,11,0.0968,72,0.03970919221630764,6.564926466101607e-05,0.5138888888888888,0.5277777777777778,-0.010681519865142508,-0.010747169129803523,2.4389941670697226,0.008,0.016300655650842554,1.0,-0.036750978023042905,0.06000686559306335,-1.9261114141522206e-05,0.0,0.0,0.0,70.0
deepseek-coder-6.7b,main,jlens,3,last_token,opaque_only,atomic,12,0.0968,72,0.0496244625948479,7.316975604182179e-05,0.6111111111111112,0.5277777777777778,-0.010492940256956176,-0.010566110012997997,3.7893549549554106,0.0,0.013195146542058675,1.0,-0.03367731962887778,-0.26913276868954905,-3.622134597375876e-05,0.0,0.0,0.03125,41.0
deepseek-coder-6.7b,main,jlens,3,last_token,encode_only,atomic,13,0.0968,72,0.0533788729394178,7.693953090991368e-05,0.6666666666666666,0.5555555555555556,-0.010642193478150527,-0.010719133009060442,3.9441696674574085,0.0,0.013637246362842886,1.0,0.14372664221153716,-0.3778156219877103,-3.3947466236367634e-05,0.0,0.0,0.03125,35.0
deepseek-coder-6.7b,main,jlens,3,last_token,flatten_only,atomic,14,0.0968,72,-0.00023500841329343275,4.922153270774101e-07,0.4861111111111111,0.5277777777777778,-0.010108520971487666,-0.010109013186814743,-0.23156205359297669,0.786,0.0008622813833777287,1.0,-0.2172287350456249,0.37462880433349893,-4.947564325329266e-06,0.125,0.25,0.0,157.0
deepseek-coder-6.7b,main,jlens,3,last_token,rename_cumulative,cumulative,21,0.0968,72,0.029232237470652518,6.972292449057777e-05,0.5416666666666666,0.6388888888888888,-0.010694897520796347,-0.010764620445286926,2.1604755730963876,0.018,0.013581680793240382,1.0,-0.2820291300527066,0.2679845212985638,-7.630100373280503e-05,0.0,0.0,0.03125,117.0
deepseek-coder-6.7b,main,jlens,3,last_token,rename_opaque,cumulative,22,0.0968,72,0.02067129314487817,3.350076081190989e-05,0.5833333333333334,0.5694444444444444,-0.010359518659361197,-0.010393019420173108,1.8596114948108433,0.056,0.011011472709623061,1.0,-0.16145018988650206,0.049245298090273046,1.2622244257021187e-05,0.0,0.0,0.0625,72.0
deepseek-coder-6.7b,main,jlens,3,last_token,rename_opaque_encode,cumulative,23,0.0968,72,0.006878635021106826,2.462061170328928e-05,0.5138888888888888,0.5277777777777778,-0.010457382954953623,-0.010482003566656913,0.4612964244668951,0.63,0.013781086903821821,1.0,0.06928423484753306,0.010533306691269829,-6.912004545764659e-05,0.0,0.125,0.03125,123.0
deepseek-coder-6.7b,main,jlens,3,last_token,rename_opaque_encode_flatten,cumulative,24,0.0968,72,-7.890927115761553e-06,-4.3665455952680435e-06,0.5,0.4861111111111111,-0.00998490398567411,-0.009980537440078843,0.04644908542429652,0.996,0.0013991793700963311,1.0,-0.5930046607982881,0.2588205791024407,1.1462464135648788e-05,0.0,0.0,0.03125,9.0
deepseek-coder-6.7b,main,jlens,7,last_token,clean_heldout,clean,-1,0.2258,72,-0.037980783025272274,-5.173061337647235e-05,0.3888888888888889,0.3611111111111111,-0.012871628152400364,-0.01281989753902389,-2.914961876404124,0.004,0.013340179321029533,1.0,0.06399509295435776,-0.6611590806472638,0.00013339493048484621,0.625,0.5,0.03125,154.0
deepseek-coder-6.7b,main,jlens,7,last_token,normalize,baseline,0,0.2258,72,0.006704540137683324,0.0001299043393234556,0.5694444444444444,0.625,-0.010028236818452493,-0.010158141157775948,0.39525938962853385,0.688,0.016426456414278496,1.0,-0.03560519929622984,-0.39438999747386544,0.0002686458382304228,0.125,0.125,0.03125,172.0
deepseek-coder-6.7b,main,jlens,7,last_token,rename_only,atomic,11,0.2258,72,-0.02913357390376381,4.277451362362603e-05,0.4861111111111111,0.5694444444444444,-0.010123657277446792,-0.01016643179107042,-1.390968574521144,0.172,0.020977315755657124,1.0,-0.23237978892866346,-0.042491163396800744,0.00044751038589252445,0.125,0.125,0.0,177.0
deepseek-coder-6.7b,main,jlens,7,last_token,opaque_only,atomic,12,0.2258,72,-0.004867498548682825,8.969445107010839e-05,0.4722222222222222,0.5972222222222222,-0.009781590473402673,-0.00987128492447278,-0.28886436880333843,0.746,0.01622858257138006,1.0,0.09365942015150558,-0.4208778277684011,0.0001685725541698978,0.125,0.125,0.03125,169.0
deepseek-coder-6.7b,main,jlens,7,last_token,encode_only,atomic,13,0.2258,72,-0.0025555526976062453,0.0001052179054393536,0.5,0.6111111111111112,-0.0100846920630673,-0.010189909968506654,-0.1105996205716377,0.874,0.017343107452504763,1.0,-0.09954748006635941,-0.40227689478236395,0.00023461865752763235,0.125,0.125,0.03125,172.0
deepseek-coder-6.7b,main,jlens,7,last_token,flatten_only,atomic,14,0.2258,72,-0.005714581342201823,-6.928029911749642e-06,0.3611111111111111,0.4722222222222222,-0.012969191705817708,-0.01296226367590596,-2.275021786293056,0.014,0.0025205509296012613,1.0,-0.2657885153458673,0.38377282771504334,5.166501602550512e-06,0.0,0.0,0.0,163.0
deepseek-coder-6.7b,main,jlens,7,last_token,rename_cumulative,cumulative,21,0.2258,72,-0.03168364150743028,4.7235750654070564e-05,0.3888888888888889,0.5,-0.010109288712458626,-0.010156524463112698,-1.7751198448579881,0.078,0.01766033789904595,1.0,-0.16487847676580641,0.043150225309657224,0.00011098275344079145,0.0,0.0,0.03125,186.0
deepseek-coder-6.7b,main,jlens,7,last_token,rename_opaque,cumulative,22,0.2258,72,0.0024315219408212463,8.283199328901393e-05,0.5555555555555556,0.5277777777777778,-0.009755841201753787,-0.0098386731950428,0.17872758086042023,0.866,0.01381778768675714,1.0,-0.053327449160245365,-0.022855488882304355,3.92732722130794e-06,0.0,0.125,0.09375,184.0
deepseek-coder-6.7b,main,jlens,7,last_token,rename_opaque_encode,cumulative,23,0.2258,72,-0.0384628039286362,-1.6801626045905055e-05,0.4583333333333333,0.5,-0.009795032963319752,-0.00977823133727385,-1.9419527620536685,0.048,0.01952839706224511,1.0,-0.14321447057695552,0.23360528786600654,7.682861174441847e-05,0.0,0.0,0.0,170.0
deepseek-coder-6.7b,main,jlens,7,last_token,rename_opaque_encode_flatten,cumulative,24,0.2258,72,0.004178669736367676,4.671087364769234e-06,0.5694444444444444,0.4861111111111111,-0.012906620920675075,-0.012911292008039844,0.9100795402579765,0.344,0.004629788990092167,1.0,-0.41362130328196656,0.4950662765101393,-3.675348799376316e-05,0.0,0.0,0.03125,34.0
deepseek-coder-6.7b,main,jlens,11,last_token,clean_heldout,clean,-1,0.3548,72,0.045674379398542686,0.00015432967570499915,0.5833333333333334,0.5694444444444444,-0.01494330540669813,-0.015097635082403126,2.0071265916444405,0.042,0.023268137927400095,1.0,0.5778195774575409,-0.699835984695599,0.0007816277825604617,0.75,0.75,0.03125,58.0
deepseek-coder-6.7b,main,jlens,11,last_token,normalize,baseline,0,0.3548,72,0.0769392156786143,0.00033274661433636507,0.6805555555555556,0.7083333333333334,-0.012740620946936862,-0.013073367561273226,2.6461637298115384,0.01,0.028813631369294972,1.0,0.1973668977462007,-0.6942679760765853,0.0006693862846575138,0.375,0.25,0.0,87.0
deepseek-coder-6.7b,main,jlens,11,last_token,rename_only,atomic,11,0.3548,72,0.064870817888878,8.868079725636707e-05,0.5972222222222222,0.5555555555555556,-0.011853608393507695,-0.011942289190764063,1.9204950352409307,0.056,0.03323594570810135,1.0,0.07822069752075818,-0.405763302201714,6.502690040634097e-05,0.25,0.125,0.0,58.0
deepseek-coder-6.7b,main,jlens,11,last_token,opaque_only,atomic,12,0.3548,72,0.04606926998165631,0.00014775657746265563,0.6666666666666666,0.5972222222222222,-0.012753142080259494,-0.012900898657722148,1.6329613481044651,0.124,0.029676223519319953,1.0,-0.14909789787033867,-0.5046937398313704,0.00030892391689469397,0.25,0.25,0.0,77.0
deepseek-coder-6.7b,main,jlens,11,last_token,encode_only,atomic,13,0.3548,72,0.08209696511089268,0.00021731478342541818,0.6388888888888888,0.6805555555555556,-0.01269033871995228,-0.0129076535033777,2.6880217999419918,0.002,0.030054817802732375,1.0,0.04213546509210862,-0.5471897366871566,0.0004210454705393755,0.375,0.125,0.0,70.0
deepseek-coder-6.7b,main,jlens,11,last_token,flatten_only,atomic,14,0.3548,72,0.008598354614126677,5.307364042691369e-05,0.5833333333333334,0.5277777777777778,-0.014888720016359852,-0.014941793656786764,1.3255177230621935,0.186,0.006435930788426919,1.0,0.07165034780713954,-0.22807660532484172,0.00012003184797393374,0.0,0.125,0.09375,122.0
deepseek-coder-6.7b,main,jlens,11,last_token,rename_cumulative,cumulative,21,0.3548,72,0.04953965161864445,0.000164968709447736,0.6111111111111112,0.6527777777777778,-0.011889458388134624,-0.012054427097582358,1.2006251044658753,0.196,0.039686605574286035,1.0,0.06082384419488824,-0.6966401962216279,0.00041349128419529733,0.25,0.25,0.03125,79.0
deepseek-coder-6.7b,main,jlens,11,last_token,rename_opaque,cumulative,22,0.3548,72,-0.015013022034717327,2.791027348188566e-05,0.5138888888888888,0.5694444444444444,-0.011732317521628581,-0.011760227795110467,-0.5697764978993188,0.602,0.028405031076819732,1.0,-0.09367693974528764,-0.38266856733460947,0.00026267598007969874,0.25,0.375,0.0625,108.0
deepseek-coder-6.7b,main,jlens,11,last_token,rename_opaque_encode,cumulative,23,0.3548,72,0.05444680136007957,0.0001379516130719064,0.4583333333333333,0.5416666666666666,-0.011574206137386918,-0.011712157750458823,1.2542544368518433,0.22,0.04399660007678666,1.0,-0.09434303842031913,-0.38130981285765514,0.0003949307901667254,0.125,0.125,0.0625,62.0
deepseek-coder-6.7b,main,jlens,11,last_token,rename_opaque_encode_flatten,cumulative,24,0.3548,72,0.007532210658921,3.3664598465298194e-05,0.5555555555555556,0.5694444444444444,-0.013877817624044764,-0.013911482222510062,1.2358181820097767,0.234,0.006208645530039191,1.0,0.20174264292102168,-0.06641541975112765,0.00013676964748983908,0.125,0.0,0.09375,74.0
deepseek-coder-6.7b,main,jlens,15,last_token,clean_heldout,clean,-1,0.4839,72,0.02888148173389519,-0.0013175474775014577,0.5416666666666666,0.2916666666666667,-0.020183221745679766,-0.01886567426817831,0.4168539015322085,0.684,0.0625216599800607,1.0,0.004105695491638043,-0.26484772250299304,-0.003782915641014986,0.875,1.0,0.0,46.0
deepseek-coder-6.7b,main,jlens,15,last_token,normalize,baseline,0,0.4839,72,0.19381621879879804,-0.00047481693767347996,0.7638888888888888,0.4444444444444444,-0.01727643697035543,-0.016801620032681954,3.571906487593253,0.0,0.05359703882602891,1.0,0.24737046105942873,-0.5171921437520408,-0.004163992137589951,0.5,0.125,0.0,8.0
deepseek-coder-6.7b,main,jlens,15,last_token,rename_only,atomic,11,0.4839,72,0.09953927021879139,-0.00021590454617768806,0.6388888888888888,0.5277777777777778,-0.015249120699897308,-0.01503321615371962,2.330970819909123,0.022,0.043210576420025223,1.0,0.5392059637243716,-0.5351469445800715,-0.002966678880678598,0.5,0.125,0.0,32.0
deepseek-coder-6.7b,main,jlens,15,last_token,opaque_only,atomic,12,0.4839,72,0.12806929071470127,-0.0008294455444867788,0.6944444444444444,0.4166666666666667,-0.01699162193815414,-0.016162176393667363,2.8127100211758895,0.006,0.04620454078511078,1.0,0.16262336819136344,-0.3992180441065309,-0.006530034847858968,0.375,0.0,0.0,12.0
deepseek-coder-6.7b,main,jlens,15,last_token,encode_only,atomic,13,0.4839,72,0.12558132649028625,-0.0012263923170688644,0.5972222222222222,0.375,-0.01776509976623108,-0.016538707449162214,2.4109487875360727,0.014,0.050851123664074106,1.0,0.3277950381589352,-0.5150617647205787,-0.0059283987410195926,0.5,0.125,0.0,9.0
deepseek-coder-6.7b,main,jlens,15,last_token,flatten_only,atomic,14,0.4839,72,0.007120172050586527,0.00010990195686515982,0.4861111111111111,0.625,-0.013446521889535615,-0.013556423846400774,0.5560572440528818,0.57,0.012378018982323682,1.0,0.42000167343649153,-0.2379951421099895,0.0001102434764667463,0.0,0.125,0.03125,154.0
