model,split,layer,question,arm,statistic,is_primary,n,n_bases,mean,median,sd,cohens_d,ci_lo,ci_hi,sign_consistency,n_nonzero,sign_test_p,permutation_p,permutation_effect_size
deepseek-coder-1.3b,test,0,scope/direct,ab,delta_contrast_prob,1,140,140,8.025239799797971e-06,2.20911847649205e-06,9.721126971611407e-05,0.08255462379242723,-8.127463073907816e-06,2.4196865119132975e-05,0.5142857142857142,140,0.7999564140878668,0.366,1.019407639361401
deepseek-coder-1.3b,test,0,scope/direct,ab,delta_contrast_z,0,140,140,0.0003383369662170276,1.4416258372534907e-05,0.004179740917188965,0.08094687515813112,-0.0003468481577007021,0.0010123864060667623,0.5,140,1.0,0.35,1.0006520815052564
deepseek-coder-1.3b,test,0,scope/direct,ab,delta_prob_control,0,140,140,8.00438709275204e-06,2.194564531714737e-06,7.745738779613944e-05,0.10333923361602167,-4.781300682851387e-06,2.082384417051482e-05,0.5285714285714286,140,0.5542689157763171,0.226,1.1921304128188968
deepseek-coder-1.3b,test,0,scope/direct,ab,delta_prob_mechanism,0,140,140,-3.7197630361807557e-06,-2.413558884058545e-06,0.0001056620755419691,-0.035204334356495406,-2.234298733435847e-05,1.3487859685637961e-05,0.4785714285714286,140,0.6727565036145107,0.706,-0.4035455777722908
deepseek-coder-1.3b,test,0,scope/direct,ab,delta_z_control,0,140,140,0.00026213721589360905,0.00032676498501110144,0.0014182073447684851,0.18483701756346604,2.9570069608363686e-05,0.0004934340827033311,0.5642857142857143,140,0.15052769717161288,0.034,2.125274790546896
deepseek-coder-1.3b,test,0,scope/direct,ab,delta_z_family_action,0,140,140,0.0006633530686423255,0.00046478716367623005,0.007716666889946965,0.08596367811425441,-0.0006535203715086942,0.002005343162575584,0.5071428571428571,140,0.9326867554513679,0.304,1.0297888713174321
deepseek-coder-1.3b,test,0,scope/direct,ab,delta_z_family_ordinal,0,140,140,0.0005058365695594421,0.0002729269869371614,0.006666539775189701,0.07587692965426704,-0.000567419413981627,0.0015892885081972624,0.5071428571428571,140,0.9326867554513679,0.38,0.9043353425888169
deepseek-coder-1.3b,test,0,scope/direct,ab,delta_z_family_scope,0,140,140,-8.228807666827241e-05,-0.0003792964672655417,0.00476908529102969,-0.01725447788133511,-0.0008881438645209537,0.0007194108500148268,0.44285714285714284,140,0.20473197633059367,0.836,-0.06646679284360762
deepseek-coder-1.3b,test,0,scope/direct,ab,delta_z_family_shadowing,0,140,140,0.0008683061228803646,0.0027101598696674944,0.013128230754410357,0.066140376348021,-0.0013875374759479457,0.0029236654483479,0.5428571428571428,140,0.35258382707227787,0.432,0.8090648582557383
deepseek-coder-1.3b,test,0,scope/direct,ab,delta_z_mechanism,0,140,140,-0.00021045988023947476,-1.1371816248442284e-05,0.0037690898086212925,-0.055838382985217205,-0.0008643402942579363,0.00039463672458148517,0.4928571428571429,140,0.9326867554513679,0.544,-0.6470600657268842
deepseek-coder-1.3b,test,0,scope/direct,ba,delta_contrast_prob,1,140,140,8.02054664914946e-06,2.2714524822269044e-06,9.718762414743881e-05,0.08252641958797,-8.144081895089916e-06,2.4191529730271363e-05,0.5142857142857142,140,0.7999564140878668,0.366,1.0191620908631993
deepseek-coder-1.3b,test,0,scope/direct,ba,delta_contrast_z,0,140,140,0.00033818787145872473,1.1993213657440771e-05,0.004179545779514349,0.08091498198591839,-0.00034710447770241,0.0010126342433997796,0.5,140,1.0,0.35,1.0003220458293938
deepseek-coder-1.3b,test,0,scope/direct,ba,delta_prob_control,0,140,140,8.011617594473675e-06,2.0856386626693854e-06,7.74424071896964e-05,0.10345258993369216,-4.773766845663962e-06,2.0822658752647224e-05,0.5285714285714286,140,0.5542689157763171,0.226,1.1933623021473974
deepseek-coder-1.3b,test,0,scope/direct,ba,delta_prob_mechanism,0,140,140,-3.6917683850777775e-06,-2.3004341033719573e-06,0.00010569898992374312,-0.034927186983917405,-2.2335531258938285e-05,1.3523236109388254e-05,0.4857142857142857,140,0.7999564140878668,0.71,-0.4003889288098721
deepseek-coder-1.3b,test,0,scope/direct,ba,delta_z_control,0,140,140,0.00026227347823563186,0.00032676498501110144,0.0014180589577024157,0.18495244983366257,2.979035711146536e-05,0.0004937075257579161,0.5642857142857143,140,0.15052769717161288,0.034,2.1267897135478124
deepseek-coder-1.3b,test,0,scope/direct,ba,delta_z_family_action,0,140,140,0.000663460830362051,0.00047019413602459106,0.007717939365598284,0.08596346757002805,-0.0006556937883369588,0.0020063988827334358,0.5071428571428571,140,0.9326867554513679,0.3,1.0297346122552833
deepseek-coder-1.3b,test,0,scope/direct,ba,delta_z_family_ordinal,0,140,140,0.0005041914105211096,0.0002606391105526942,0.006665188761653863,0.07564548110352426,-0.0005707437188377931,0.001588932443821733,0.5071428571428571,140,0.9326867554513679,0.38,0.9016943825250388
