layer,contrast,n,mean,lo,hi,excludes_zero
12,jlens_vs_offtarget,200,0.0009375,-0.007886339969129276,0.009892009493670872,False
12,rlens_vs_offtarget,200,0.0128125,0.0019754369138959933,0.024525422791615625,True
12,jlens_vs_random_matched,200,0.009375,0.0011272287412374279,0.017805232558139535,True
12,rlens_vs_random_matched,200,0.010625,-0.0002743398725887116,0.020313408430232553,False
12,jlens_vs_logit,200,0.0109375,0.0016191709844559584,0.020403918378775,True
12,rlens_vs_jlens,200,0.00125,-0.009427881804599195,0.012380832349662264,False
16,jlens_vs_offtarget,200,-0.019375,-0.032709885038860104,-0.008437054727979277,True
16,rlens_vs_offtarget,200,-0.0246875,-0.03888325597024256,-0.012498585972850687,True
16,jlens_vs_random_matched,200,-0.000625,-0.009746284227306827,0.007638065306767855,False
16,rlens_vs_random_matched,200,-0.0125,-0.022517314683269264,-0.0029123464351862825,True
16,jlens_vs_logit,200,0.003125,-0.005376455351420637,0.010463800904977375,False
16,rlens_vs_jlens,200,-0.011875,-0.020695785365008473,-0.00292945933119159,True
20,jlens_vs_offtarget,200,-0.0690625,-0.09391695347331004,-0.04656122819767443,True
20,rlens_vs_offtarget,200,-0.070625,-0.09294178337213085,-0.049254388804617265,True
20,jlens_vs_random_matched,200,-0.0178125,-0.03271039445823598,-0.0018101127590410483,True
20,rlens_vs_random_matched,200,-0.02375,-0.0374411231884058,-0.008357558139534883,True
20,jlens_vs_logit,200,0.0,-0.011296156127099069,0.012501745810055857,False
20,rlens_vs_jlens,200,-0.0059375,-0.015096618357487922,0.0036352838209552304,False
