model,item_id,family,pair_id,arm,layer,direction,edit,clean_logit_diff,ablated_logit_diff,delta_logit_diff,edit_norm_ratio
deepseek-coder-6.7b,alias-0,alias,,,16,rlens,erase,0.0625,-0.4375,-0.5,0.040914760098017255
deepseek-coder-6.7b,alias-0,alias,,,16,logit,erase,0.0625,-0.0625,-0.125,0.012241607052938586
deepseek-coder-6.7b,alias-0,alias,,,16,offtarget,erase,0.0625,0.1875,0.125,0.008576137969610098
deepseek-coder-6.7b,alias-0,alias,,,16,random,erase,0.0625,0.125,0.0625,0.01908894494945655
deepseek-coder-6.7b,alias-0,alias,,,20,jlens,erase,0.0625,-0.75,-0.8125,0.03496416528654893
deepseek-coder-6.7b,alias-0,alias,,,20,rlens,erase,0.0625,-0.875,-0.9375,0.043210409289308
deepseek-coder-6.7b,alias-0,alias,,,20,logit,erase,0.0625,-0.3125,-0.375,0.01853917474705145
deepseek-coder-6.7b,alias-0,alias,,,20,offtarget,erase,0.0625,0.75,0.6875,0.02511598463743169
deepseek-coder-6.7b,alias-0,alias,,,20,random,erase,0.0625,0.0625,0.0,0.02099433612357234
deepseek-coder-6.7b,call-0,call,,,12,jlens,erase,8.125,7.9375,-0.1875,0.0505938110306942
deepseek-coder-6.7b,call-0,call,,,12,rlens,erase,8.125,7.90625,-0.21875,0.06126328184562041
deepseek-coder-6.7b,call-0,call,,,12,logit,erase,8.125,8.0625,-0.0625,0.022286341657006194
deepseek-coder-6.7b,call-0,call,,,12,offtarget,erase,8.125,8.09375,-0.03125,0.002063194509717914
deepseek-coder-6.7b,call-0,call,,,12,random,erase,8.125,8.125,0.0,0.007356295234514522
deepseek-coder-6.7b,call-0,call,,,16,jlens,erase,8.125,7.65625,-0.46875,0.04247357092719934
deepseek-coder-6.7b,call-0,call,,,16,rlens,erase,8.125,7.53125,-0.59375,0.06386632677499587
deepseek-coder-6.7b,call-0,call,,,16,logit,erase,8.125,7.875,-0.25,0.03124741788565761
deepseek-coder-6.7b,call-0,call,,,16,offtarget,erase,8.125,7.96875,-0.15625,0.010201163662509295
deepseek-coder-6.7b,call-0,call,,,16,random,erase,8.125,8.03125,-0.09375,0.00016314460931406307
deepseek-coder-6.7b,call-0,call,,,20,jlens,erase,8.125,7.28125,-0.84375,0.05149360240033917
deepseek-coder-6.7b,call-0,call,,,20,rlens,erase,8.125,7.15625,-0.96875,0.06768399153973713
deepseek-coder-6.7b,call-0,call,,,20,logit,erase,8.125,7.6875,-0.4375,0.034126885756092476
deepseek-coder-6.7b,call-0,call,,,20,offtarget,erase,8.125,8.0625,-0.0625,0.0027992506087501363
deepseek-coder-6.7b,call-0,call,,,20,random,erase,8.125,8.09375,-0.03125,0.004504735969555735
deepseek-coder-6.7b,arith-0,arith,,,12,jlens,erase,-1.5625,-1.625,-0.0625,0.050718674643202316
deepseek-coder-6.7b,arith-0,arith,,,12,rlens,erase,-1.5625,-1.625,-0.0625,0.06321987438013234
deepseek-coder-6.7b,arith-0,arith,,,12,logit,erase,-1.5625,-1.5625,0.0,0.01739528192335638
deepseek-coder-6.7b,arith-0,arith,,,12,offtarget,erase,-1.5625,-1.5,0.0625,0.06037219620297976
deepseek-coder-6.7b,arith-0,arith,,,12,random,erase,-1.5625,-1.5,0.0625,0.00750716252076823
deepseek-coder-6.7b,arith-0,arith,,,16,jlens,erase,-1.5625,-1.6875,-0.125,0.03378024344789842
deepseek-coder-6.7b,arith-0,arith,,,16,rlens,erase,-1.5625,-1.75,-0.1875,0.045646116220741995
deepseek-coder-6.7b,arith-0,arith,,,16,logit,erase,-1.5625,-1.625,-0.0625,0.021598962289035413
deepseek-coder-6.7b,arith-0,arith,,,16,offtarget,erase,-1.5625,-1.4375,0.125,0.04318504616493324
deepseek-coder-6.7b,arith-0,arith,,,16,random,erase,-1.5625,-1.5,0.0625,0.010271459574356111
deepseek-coder-6.7b,arith-0,arith,,,20,jlens,erase,-1.5625,-1.875,-0.3125,0.03392923133275843
deepseek-coder-6.7b,arith-0,arith,,,20,rlens,erase,-1.5625,-1.875,-0.3125,0.04094986405986658
deepseek-coder-6.7b,arith-0,arith,,,20,logit,erase,-1.5625,-1.75,-0.1875,0.020187716204312606
deepseek-coder-6.7b,arith-0,arith,,,20,offtarget,erase,-1.5625,-1.4375,0.125,0.0436319669408749
deepseek-coder-6.7b,arith-0,arith,,,20,random,erase,-1.5625,-1.5,0.0625,0.02203765072849394
deepseek-coder-6.7b,binding-0-outer-answer,binding,binding-0,outer,12,jlens,erase,3.5,3.5,0.0,0.024231840795260345
deepseek-coder-6.7b,binding-0-outer-answer,binding,binding-0,outer,12,rlens,erase,3.5,3.5,0.0,0.03679028292030767
deepseek-coder-6.7b,binding-0-outer-answer,binding,binding-0,outer,12,logit,erase,3.5,3.5,0.0,0.03144559196847745
deepseek-coder-6.7b,binding-0-outer-answer,binding,binding-0,outer,12,offtarget,erase,3.5,3.5,0.0,0.021613860837895453
deepseek-coder-6.7b,binding-0-outer-answer,binding,binding-0,outer,12,random,erase,3.5,3.5,0.0,0.011587300359316823
deepseek-coder-6.7b,binding-0-outer-answer,binding,binding-0,outer,16,jlens,erase,3.5,3.5,0.0,0.010021415314867308
deepseek-coder-6.7b,binding-0-outer-answer,binding,binding-0,outer,16,rlens,erase,3.5,3.5,0.0,0.040315359879356485
deepseek-coder-6.7b,binding-0-outer-answer,binding,binding-0,outer,16,logit,erase,3.5,3.5,0.0,0.024207704511515986
deepseek-coder-6.7b,binding-0-outer-answer,binding,binding-0,outer,16,offtarget,erase,3.5,3.5,0.0,0.0018063618832479175
deepseek-coder-6.7b,binding-0-outer-answer,binding,binding-0,outer,16,random,erase,3.5,3.5,0.0,0.00901941082637977
deepseek-coder-6.7b,binding-0-outer-answer,binding,binding-0,outer,20,jlens,erase,3.5,3.5,0.0,0.0717804812530899
deepseek-coder-6.7b,binding-0-outer-answer,binding,binding-0,outer,20,rlens,erase,3.5,3.375,-0.125,0.0976522617430784
deepseek-coder-6.7b,binding-0-outer-answer,binding,binding-0,outer,20,logit,erase,3.5,3.5,0.0,0.07298135636176802
deepseek-coder-6.7b,binding-0-outer-answer,binding,binding-0,outer,20,offtarget,erase,3.5,3.625,0.125,0.020685133196243172
deepseek-coder-6.7b,binding-0-outer-answer,binding,binding-0,outer,20,random,erase,3.5,3.5,0.0,0.0223905918091126
deepseek-coder-6.7b,binding-0-inner-answer,binding,binding-0,inner,12,jlens,erase,3.5,3.5,0.0,0.023756183341844428
deepseek-coder-6.7b,binding-0-inner-answer,binding,binding-0,inner,12,rlens,erase,3.5,3.5,0.0,0.04346490215753993
deepseek-coder-6.7b,binding-0-inner-answer,binding,binding-0,inner,12,logit,erase,3.5,3.5,0.0,0.03979068720300935
deepseek-coder-6.7b,binding-0-inner-answer,binding,binding-0,inner,12,offtarget,erase,3.5,3.625,0.125,0.02548198092475427
deepseek-coder-6.7b,binding-0-inner-answer,binding,binding-0,inner,12,random,erase,3.5,3.5,0.0,0.004276454744194959
