edit,direction,layer,n,mean_delta,median_delta,mean_edit_norm
erase,jlens,12,200,0.0065625,0.0,0.03204679303804749
erase,jlens,16,200,-0.0025,0.0,0.02271354187866342
erase,jlens,20,200,-0.0165625,0.0,0.03768590373980571
erase,logit,12,200,-0.004375,0.0,0.014856414186677469
erase,logit,16,200,-0.005625,0.0,0.01638315185106978
erase,logit,20,200,-0.0165625,0.0,0.03278055872981703
erase,offtarget_j,12,200,0.005625,0.0,0.025506150190228748
erase,offtarget_j,16,200,0.016875,0.0,0.01944073527516837
erase,offtarget_j,20,200,0.0525,0.0,0.024897578948611273
erase,offtarget_r,12,200,-0.005,0.0,0.030818372957199375
erase,offtarget_r,16,200,0.0103125,0.0,0.028232767885267743
erase,offtarget_r,20,200,0.048125,0.0,0.031572048404079546
erase,random,12,200,0.0,0.0,0.01237326236774794
erase,random,16,200,0.0003125,0.0,0.012602291515051949
erase,random,20,200,0.0003125,0.0,0.011241607532741475
erase,random_matched,12,200,-0.0028125,0.0,0.032046793144886836
erase,random_matched,16,200,-0.001875,0.0,0.02271354178072971
erase,random_matched,20,200,0.00125,0.0,0.03768590447466242
erase,rlens,12,200,0.0078125,0.0,0.038831715886158275
erase,rlens,16,200,-0.014375,0.0,0.03628971416676609
erase,rlens,20,200,-0.0225,0.0,0.048694560783652634
