layer,lens,stratum,accuracy,mean_margin,n
-1,jlens,all,0.4994547437295529,0.0016221065427640792,917
-1,jlens,indent_matched,0.49133663366336633,-0.0026912017919049403,808
-1,jlens,non_dependent,0.5596330275229358,0.033595988509851855,109
-1,logit,all,0.5234460196292258,0.028970734461036998,917
-1,logit,indent_matched,0.5,0.0034529307723451075,808
-1,logit,non_dependent,0.6972477064220184,0.2181302333643677,109
-1,random,all,0.48091603053435117,-0.027280381780154312,917
-1,random,indent_matched,0.4975247524752475,-0.003939579766575653,808
-1,random,non_dependent,0.3577981651376147,-0.20030210679824198,109
0,jlens,all,0.5234460196292258,0.009164038212764744,917
0,jlens,indent_matched,0.5099009900990099,0.0017241353519482187,808
0,jlens,non_dependent,0.6238532110091743,0.06431487776817532,109
0,logit,all,0.5114503816793893,0.032172926534028194,917
0,logit,indent_matched,0.4938118811881188,0.003973108826961258,808
0,logit,non_dependent,0.6422018348623854,0.2412137770598088,109
0,random,all,0.46892039258451473,-0.04261321930322418,917
0,random,indent_matched,0.4938118811881188,-0.00025254689931574436,808
0,random,non_dependent,0.28440366972477066,-0.35662627712302253,109
3,jlens,all,0.5081788440567067,-0.004774451190798727,917
3,jlens,indent_matched,0.5037128712871287,-0.008982988351052351,808
3,jlens,non_dependent,0.5412844036697247,0.02642277840080611,109
3,logit,all,0.5169029443838604,0.03860345104203489,917
3,logit,indent_matched,0.4962871287128713,0.0009673038073400459,808
3,logit,non_dependent,0.6697247706422018,0.3175943406350022,109
3,random,all,0.48636859323882226,-0.08929604419071385,917
3,random,indent_matched,0.5111386138613861,0.011368335542813092,808
3,random,non_dependent,0.30275229357798167,-0.8355053912062164,109
7,jlens,all,0.49727371864776443,0.00923744026031203,917
7,jlens,indent_matched,0.4876237623762376,0.0033679149012164314,808
7,jlens,non_dependent,0.5688073394495413,0.052747316316727105,109
7,logit,all,0.5158124318429662,0.01999590249331983,917
7,logit,indent_matched,0.49876237623762376,-0.03119805532664356,808
7,logit,non_dependent,0.6422018348623854,0.39948872743396585,109
7,random,all,0.48636859323882226,-0.04201697804350629,917
7,random,indent_matched,0.5099009900990099,0.01602938679037708,808
7,random,non_dependent,0.3119266055045872,-0.4723056274543115,109
11,jlens,all,0.49727371864776443,-0.007889068893673896,917
11,jlens,indent_matched,0.5,0.0021278504097815786,808
11,jlens,non_dependent,0.47706422018348627,-0.08214292941837135,109
11,logit,all,0.4961832061068702,0.10380236427487567,917
11,logit,indent_matched,0.48267326732673266,0.05382239816728795,808
11,logit,non_dependent,0.5963302752293578,0.4742960579898379,109
11,random,all,0.49182115594329334,0.002540614378751299,917
11,random,indent_matched,0.5074257425742574,0.0482751701654184,808
11,random,non_dependent,0.3761467889908257,-0.3364825147554415,109
15,jlens,all,0.5016357688113413,0.0038411772628126903,917
15,jlens,indent_matched,0.5037128712871287,0.009422545754673457,808
15,jlens,non_dependent,0.48623853211009177,-0.037532636878687305,109
15,logit,all,0.49073064340239914,-0.013788562418330326,917
15,logit,indent_matched,0.47896039603960394,-0.11015733233699114,808
15,logit,non_dependent,0.5779816513761468,0.7005780989970636,109
15,random,all,0.48745910577971646,-0.020649658603392615,917
15,random,indent_matched,0.4962871287128713,-0.01289590695264316,808
15,random,non_dependent,0.42201834862385323,-0.07812701028968216,109
19,jlens,all,0.5081788440567067,-0.0008148512637472205,917
19,jlens,indent_matched,0.4900990099009901,-0.010502636580183954,808
19,jlens,non_dependent,0.6422018348623854,0.07099919034800398,109
19,logit,all,0.4983642311886587,-0.24908403865383652,917
19,logit,indent_matched,0.4777227722772277,-0.4819370631386738,808
19,logit,non_dependent,0.6513761467889908,1.4770191153255077,109
19,random,all,0.48527808069792805,-0.01612584167764387,917
19,random,indent_matched,0.4863861386138614,-0.017520347112181162,808
19,random,non_dependent,0.47706422018348627,-0.005788590383092197,109
23,jlens,all,0.4830970556161396,-0.027360337836141804,917
23,jlens,indent_matched,0.47896039603960394,-0.030427787637356485,808
23,jlens,non_dependent,0.5137614678899083,-0.004621810869339409,109
23,logit,all,0.46892039258451473,-0.6069769736464697,917
23,logit,indent_matched,0.46163366336633666,-0.8691635724193979,808
23,logit,non_dependent,0.5229357798165137,1.336571391569365,109
23,random,all,0.4787350054525627,-0.011972097267631356,917
23,random,indent_matched,0.46534653465346537,-0.04576982109632233,808
23,random,non_dependent,0.5779816513761468,0.23856515826982097,109
27,jlens,all,0.4580152671755725,-0.07637994616996241,917
27,jlens,indent_matched,0.4467821782178218,-0.08716225712606222,808
27,jlens,non_dependent,0.5412844036697247,0.0035476433027774915,109
27,logit,all,0.4318429661941112,-1.8420559735958553,917
27,logit,indent_matched,0.4146039603960396,-2.426180796162917,808
27,logit,non_dependent,0.5596330275229358,2.4879702340572254,109
27,random,all,0.4678298800436205,-0.06901599548050205,917
27,random,indent_matched,0.47277227722772275,-0.06481256256673006,808
27,random,non_dependent,0.43119266055045874,-0.10017538808901376,109
31,jlens,all,0.40458015267175573,-0.17277814491754528,917
31,jlens,indent_matched,0.3873762376237624,-0.17980253489890902,808
31,jlens,non_dependent,0.5321100917431193,-0.1207074375327574,109
31,logit,all,0.40458015267175573,-7.603194125476034,917
31,logit,indent_matched,0.3873762376237624,-7.911274296222347,808
31,logit,non_dependent,0.5321100917431193,-5.319443868934561,109
31,random,all,0.5027262813522355,-0.011367401256426081,917
31,random,indent_matched,0.4975247524752475,-0.03946189187688402,808
31,random,non_dependent,0.5412844036697247,0.19689267600348237,109
