layer,task,accuracy,f1,auc,control_accuracy,selectivity,n_train,n_test,n_groups,pos_frac,converged,control_converged,notes,tag,tag_value,features
-1,control_dep,0.8982219497240956,,,,,2450,612,289,0.27685275873326803,True,True,,stratum,non_dependent,hidden
-1,control_dep,1.0,,,,,2450,612,289,0.27685275873326803,True,True,,stratum,indent_matched,hidden
-1,control_dep,0.6132596685082873,,,,,2450,612,289,0.27685275873326803,True,True,,distance,dist_0_10,hidden
-1,control_dep,0.8395372233400402,,,,,2450,612,289,0.27685275873326803,True,True,,distance,dist_10_50,hidden
-1,control_dep,0.9857549857549858,,,,,2450,612,289,0.27685275873326803,True,True,,distance,dist_50_200,hidden
-1,taint_state,0.75,0.7333333333333334,0.875,0.5,0.25,320,80,200,0.5,True,True,,,,hidden
0,lexical_token_type,1.0,1.0,0.0,0.15711751328571882,0.8428824867142812,16020,4005,347,0.0,True,False,,,,hidden
0,binding,0.975445567384995,0.9594048303608844,0.9977273971586966,0.5845907513999852,0.3908548159850098,16063,4015,423,0.17550674834404104,True,True,,,,hidden
0,binding,0.989628349178911,,,,,16063,4015,423,0.17550674834404104,True,True,,stratum,positive,hidden
0,binding,0.8886539816772375,,,,,16063,4015,423,0.17550674834404104,True,True,,stratum,same_name_diff_binding,hidden
0,binding,0.996537795729948,,,,,16063,4015,423,0.17550674834404104,True,True,,stratum,diff_name,hidden
0,binding,0.983159828536436,,,,,16063,4015,423,0.17550674834404104,True,True,,stratum,distance_matched,hidden
0,binding,0.5283018867924528,,,,,16063,4015,423,0.17550674834404104,True,True,,stratum,context_matched,hidden
0,binding,0.9737892596219025,,,,,16063,4015,423,0.17550674834404104,True,True,,distance,dist_10_50,hidden
0,binding,0.924812030075188,,,,,16063,4015,423,0.17550674834404104,True,True,,distance,dist_50_200,hidden
0,binding,0.9934444652556659,,,,,16063,4015,423,0.17550674834404104,True,True,,distance,dist_0_10,hidden
0,defuse_edge,0.9745057444727682,0.9619551180152731,0.9974820196138307,0.5664992098998125,0.40800653457295566,16036,4009,607,0.20093784296118927,True,True,,,,hidden
0,defuse_edge,0.9989886219974715,,,,,16036,4009,607,0.20093784296118927,True,True,,stratum,positive,hidden
0,defuse_edge,0.8101851851851852,,,,,16036,4009,607,0.20093784296118927,True,True,,stratum,same_name_diff_binding,hidden
0,defuse_edge,0.998351195383347,,,,,16036,4009,607,0.20093784296118927,True,True,,stratum,diff_name,hidden
0,defuse_edge,0.9844357976653697,,,,,16036,4009,607,0.20093784296118927,True,True,,stratum,distance_matched,hidden
0,defuse_edge,0.5068493150684932,,,,,16036,4009,607,0.20093784296118927,True,True,,stratum,context_matched,hidden
0,defuse_edge,0.9816919191919192,,,,,16036,4009,607,0.20093784296118927,True,True,,distance,dist_0_10,hidden
0,defuse_edge,0.9764183446902993,,,,,16036,4009,607,0.20093784296118927,True,True,,distance,dist_10_50,hidden
0,defuse_edge,0.948051948051948,,,,,16036,4009,607,0.20093784296118927,True,True,,distance,dist_50_200,hidden
0,control_dep,0.8576364523092719,0.8415256729136811,0.9654314257245836,0.5830661411559618,0.2745703111533101,2450,612,289,0.27685275873326803,True,True,,,,hidden
0,control_dep,0.972877358490566,,,,,2450,612,289,0.27685275873326803,True,True,,stratum,positive,hidden
0,control_dep,0.9950950337216432,,,,,2450,612,289,0.27685275873326803,True,True,,stratum,non_dependent,hidden
0,control_dep,0.3065068493150685,,,,,2450,612,289,0.27685275873326803,True,True,,stratum,indent_matched,hidden
0,control_dep,0.8370165745856354,,,,,2450,612,289,0.27685275873326803,True,True,,distance,dist_0_10,hidden
0,control_dep,0.8621730382293763,,,,,2450,612,289,0.27685275873326803,True,True,,distance,dist_10_50,hidden
0,control_dep,0.8746438746438746,,,,,2450,612,289,0.27685275873326803,True,True,,distance,dist_50_200,hidden
0,taint_state,1.0,1.0,1.0,0.47750000000000004,0.5225,320,80,200,0.5,True,True,,,,hidden
3,lexical_token_type,1.0,1.0,0.0,0.17497867280430185,0.8250213271956981,16020,4005,347,0.0,True,False,,,,hidden
3,binding,0.9874519624543737,0.9789106134488265,0.9997279525668066,0.6296242139922277,0.35782774846214604,16063,4015,423,0.17550674834404104,True,True,,,,hidden
3,binding,0.9997118985883031,,,,,16063,4015,423,0.17550674834404104,True,True,,stratum,positive,hidden
3,binding,0.96723044397463,,,,,16063,4015,423,0.17550674834404104,True,True,,stratum,same_name_diff_binding,hidden
3,binding,0.991825351029044,,,,,16063,4015,423,0.17550674834404104,True,True,,stratum,diff_name,hidden
3,binding,0.9807103490508267,,,,,16063,4015,423,0.17550674834404104,True,True,,stratum,distance_matched,hidden
3,binding,0.9056603773584906,,,,,16063,4015,423,0.17550674834404104,True,True,,stratum,context_matched,hidden
3,binding,0.9871959026888605,,,,,16063,4015,423,0.17550674834404104,True,True,,distance,dist_10_50,hidden
3,binding,0.9678742310321258,,,,,16063,4015,423,0.17550674834404104,True,True,,distance,dist_50_200,hidden
3,binding,0.9934444652556659,,,,,16063,4015,423,0.17550674834404104,True,True,,distance,dist_0_10,hidden
3,defuse_edge,0.9899233198470405,0.9845913313687245,0.9993630951448539,0.5812351344334574,0.4086881854135831,16036,4009,607,0.20093784296118927,True,True,,,,hidden
3,defuse_edge,0.9987357774968394,,,,,16036,4009,607,0.20093784296118927,True,True,,stratum,positive,hidden
3,defuse_edge,0.9331275720164609,,,,,16036,4009,607,0.20093784296118927,True,True,,stratum,same_name_diff_binding,hidden
3,defuse_edge,0.9963359897407713,,,,,16036,4009,607,0.20093784296118927,True,True,,stratum,diff_name,hidden
3,defuse_edge,0.995136186770428,,,,,16036,4009,607,0.20093784296118927,True,True,,stratum,distance_matched,hidden
3,defuse_edge,0.9178082191780822,,,,,16036,4009,607,0.20093784296118927,True,True,,stratum,context_matched,hidden
3,defuse_edge,0.9947390572390572,,,,,16036,4009,607,0.20093784296118927,True,True,,distance,dist_0_10,hidden
3,defuse_edge,0.9890513743204962,,,,,16036,4009,607,0.20093784296118927,True,True,,distance,dist_10_50,hidden
3,defuse_edge,0.9847738468428123,,,,,16036,4009,607,0.20093784296118927,True,True,,distance,dist_50_200,hidden
3,control_dep,0.9141402797799089,0.8982284569769465,0.9796271726615997,0.6013325794527076,0.3128077003272013,2450,612,289,0.27685275873326803,True,True,,,,hidden
3,control_dep,0.9375,,,,,2450,612,289,0.27685275873326803,True,True,,stratum,positive,hidden
3,control_dep,1.0,,,,,2450,612,289,0.27685275873326803,True,True,,stratum,non_dependent,hidden
3,control_dep,0.6404109589041096,,,,,2450,612,289,0.27685275873326803,True,True,,stratum,indent_matched,hidden
3,control_dep,0.8715469613259669,,,,,2450,612,289,0.27685275873326803,True,True,,distance,dist_0_10,hidden
3,control_dep,0.9220321931589537,,,,,2450,612,289,0.27685275873326803,True,True,,distance,dist_10_50,hidden
3,control_dep,0.9572649572649573,,,,,2450,612,289,0.27685275873326803,True,True,,distance,dist_50_200,hidden
3,taint_state,1.0,1.0,1.0,0.5050000000000001,0.4949999999999999,320,80,200,0.5,True,True,,,,hidden
7,lexical_token_type,1.0,1.0,0.0,0.18882446403000894,0.811175535969991,16020,4005,347,0.0,True,False,,,,hidden
7,binding,0.9877014901705163,0.979328057481677,0.9998155526734862,0.6300506384969792,0.35765085167353716,16063,4015,423,0.17550674834404104,True,True,,,,hidden
7,binding,0.9991356957649092,,,,,16063,4015,423,0.17550674834404104,True,True,,stratum,positive,hidden
7,binding,0.9760394644115574,,,,,16063,4015,423,0.17550674834404104,True,True,,stratum,same_name_diff_binding,hidden
7,binding,0.9878822850548182,,,,,16063,4015,423,0.17550674834404104,True,True,,stratum,diff_name,hidden
7,binding,0.9856093080220453,,,,,16063,4015,423,0.17550674834404104,True,True,,stratum,distance_matched,hidden
7,binding,0.9716981132075472,,,,,16063,4015,423,0.17550674834404104,True,True,,stratum,context_matched,hidden
7,binding,0.9876478120057242,,,,,16063,4015,423,0.17550674834404104,True,True,,distance,dist_10_50,hidden
7,binding,0.9719753930280246,,,,,16063,4015,423,0.17550674834404104,True,True,,distance,dist_50_200,hidden
7,binding,0.992133358306799,,,,,16063,4015,423,0.17550674834404104,True,True,,distance,dist_0_10,hidden
7,defuse_edge,0.988825098423353,0.9829471049100601,0.9997135284496735,0.5962295630757094,0.3925955353476436,16036,4009,607,0.20093784296118927,True,True,,,,hidden
7,defuse_edge,0.9974715549936789,,,,,16036,4009,607,0.20093784296118927,True,True,,stratum,positive,hidden
7,defuse_edge,0.9418724279835391,,,,,16036,4009,607,0.20093784296118927,True,True,,stratum,same_name_diff_binding,hidden
7,defuse_edge,0.9941375835852341,,,,,16036,4009,607,0.20093784296118927,True,True,,stratum,diff_name,hidden
7,defuse_edge,0.9899481193255513,,,,,16036,4009,607,0.20093784296118927,True,True,,stratum,distance_matched,hidden
7,defuse_edge,0.958904109589041,,,,,16036,4009,607,0.20093784296118927,True,True,,stratum,context_matched,hidden
7,defuse_edge,0.9941077441077442,,,,,16036,4009,607,0.20093784296118927,True,True,,distance,dist_0_10,hidden
7,defuse_edge,0.9894341934001991,,,,,16036,4009,607,0.20093784296118927,True,True,,distance,dist_10_50,hidden
7,defuse_edge,0.974025974025974,,,,,16036,4009,607,0.20093784296118927,True,True,,distance,dist_50_200,hidden
7,control_dep,0.9582118874044729,0.9490190242947365,0.9944260773932576,0.600679444059318,0.357532443345155,2450,612,289,0.27685275873326803,True,True,,,,hidden
7,control_dep,0.9622641509433962,,,,,2450,612,289,0.27685275873326803,True,True,,stratum,positive,hidden
7,control_dep,1.0,,,,,2450,612,289,0.27685275873326803,True,True,,stratum,non_dependent,hidden
7,control_dep,0.8356164383561644,,,,,2450,612,289,0.27685275873326803,True,True,,stratum,indent_matched,hidden
7,control_dep,0.9599447513812155,,,,,2450,612,289,0.27685275873326803,True,True,,distance,dist_0_10,hidden
7,control_dep,0.9552313883299799,,,,,2450,612,289,0.27685275873326803,True,True,,distance,dist_10_50,hidden
7,control_dep,0.9715099715099715,,,,,2450,612,289,0.27685275873326803,True,True,,distance,dist_50_200,hidden
7,taint_state,1.0,1.0,1.0,0.52,0.48,320,80,200,0.5,True,True,,,,hidden
11,lexical_token_type,1.0,1.0,0.0,0.20537553741167117,0.7946244625883289,16020,4005,347,0.0,True,False,,,,hidden
11,binding,0.9886472837844884,0.9808363713205273,0.9997383671565891,0.6345511450683897,0.3540961387160987,16063,4015,423,0.17550674834404104,True,True,,,,hidden
11,binding,0.9974070872947277,,,,,16063,4015,423,0.17550674834404104,True,True,,stratum,positive,hidden
11,binding,0.9827343199436223,,,,,16063,4015,423,0.17550674834404104,True,True,,stratum,same_name_diff_binding,hidden
11,binding,0.9874014233506444,,,,,16063,4015,423,0.17550674834404104,True,True,,stratum,diff_name,hidden
11,binding,0.9883649724433557,,,,,16063,4015,423,0.17550674834404104,True,True,,stratum,distance_matched,hidden
11,binding,0.9905660377358491,,,,,16063,4015,423,0.17550674834404104,True,True,,stratum,context_matched,hidden
11,binding,0.9884009942004971,,,,,16063,4015,423,0.17550674834404104,True,True,,distance,dist_10_50,hidden
11,binding,0.9630895420369104,,,,,16063,4015,423,0.17550674834404104,True,True,,distance,dist_50_200,hidden
11,binding,0.9962539801460948,,,,,16063,4015,423,0.17550674834404104,True,True,,distance,dist_0_10,hidden
11,defuse_edge,0.9863301423907718,0.9791533207647699,0.9995231494241107,0.5983247219149886,0.3880054204757831,16036,4009,607,0.20093784296118927,True,True,,,,hidden
11,defuse_edge,0.9936788874841972,,,,,16036,4009,607,0.20093784296118927,True,True,,stratum,positive,hidden
11,defuse_edge,0.9490740740740741,,,,,16036,4009,607,0.20093784296118927,True,True,,stratum,same_name_diff_binding,hidden
11,defuse_edge,0.9901071723000825,,,,,16036,4009,607,0.20093784296118927,True,True,,stratum,diff_name,hidden
11,defuse_edge,0.9876783398184177,,,,,16036,4009,607,0.20093784296118927,True,True,,stratum,distance_matched,hidden
11,defuse_edge,0.9726027397260274,,,,,16036,4009,607,0.20093784296118927,True,True,,stratum,context_matched,hidden
11,defuse_edge,0.9955808080808081,,,,,16036,4009,607,0.20093784296118927,True,True,,distance,dist_0_10,hidden
11,defuse_edge,0.9866013322103974,,,,,16036,4009,607,0.20093784296118927,True,True,,distance,dist_10_50,hidden
11,defuse_edge,0.9650694133452754,,,,,16036,4009,607,0.20093784296118927,True,True,,distance,dist_50_200,hidden
11,control_dep,0.972273908930835,0.9660751127093388,0.9981632484966301,0.6101828286292024,0.3620910803016326,2450,612,289,0.27685275873326803,True,True,,,,hidden
11,control_dep,0.9823113207547169,,,,,2450,612,289,0.27685275873326803,True,True,,stratum,positive,hidden
11,control_dep,1.0,,,,,2450,612,289,0.27685275873326803,True,True,,stratum,non_dependent,hidden
11,control_dep,0.8801369863013698,,,,,2450,612,289,0.27685275873326803,True,True,,stratum,indent_matched,hidden
11,control_dep,0.9682320441988951,,,,,2450,612,289,0.27685275873326803,True,True,,distance,dist_0_10,hidden
11,control_dep,0.9723340040241448,,,,,2450,612,289,0.27685275873326803,True,True,,distance,dist_10_50,hidden
11,control_dep,0.98005698005698,,,,,2450,612,289,0.27685275873326803,True,True,,distance,dist_50_200,hidden
11,taint_state,1.0,1.0,1.0,0.5375,0.4625,320,80,200,0.5,True,True,,,,hidden
15,lexical_token_type,0.9999002738491043,0.9999340185298904,0.0,0.19949776097917876,0.8004025128699255,16020,4005,347,0.0,True,False,,,,hidden
