layer,arm,example,rho,abs_error
19,all,9,0.9999794960021973,2.0503997802734375e-05
19,no_attn,0,1.0820324420928955,0.08203244209289551
19,no_attn,1,1.156664490699768,0.15666449069976807
19,no_attn,2,1.1275358200073242,0.12753582000732422
19,no_attn,3,1.0318306684494019,0.031830668449401855
19,no_attn,4,1.1142804622650146,0.11428046226501465
19,no_attn,5,1.0067236423492432,0.006723642349243164
19,no_attn,6,1.175711750984192,0.1757117509841919
19,no_attn,7,1.0766767263412476,0.07667672634124756
19,no_attn,8,1.0564889907836914,0.056488990783691406
19,no_attn,9,0.9346151947975159,0.06538480520248413
19,no_ln,0,-0.02441360056400299,1.024413600564003
19,no_ln,1,-0.023394227027893066,1.023394227027893
19,no_ln,2,-0.007592272479087114,1.0075922724790871
19,no_ln,3,0.017081785947084427,0.9829182140529156
19,no_ln,4,0.010235106572508812,0.9897648934274912
19,no_ln,5,0.050946060568094254,0.9490539394319057
19,no_ln,6,0.07162845134735107,0.9283715486526489
19,no_ln,7,0.03131071478128433,0.9686892852187157
19,no_ln,8,0.09517230093479156,0.9048276990652084
19,no_ln,9,0.06934776902198792,0.9306522309780121
19,no_identity,0,0.7497302889823914,0.25026971101760864
19,no_identity,1,0.6655863523483276,0.33441364765167236
19,no_identity,2,0.6782111525535583,0.32178884744644165
19,no_identity,3,0.638762354850769,0.36123764514923096
19,no_identity,4,0.6899782419204712,0.3100217580795288
19,no_identity,5,0.6467750072479248,0.3532249927520752
19,no_identity,6,0.6171842217445374,0.38281577825546265
19,no_identity,7,0.6477360725402832,0.3522639274597168
19,no_identity,8,0.6145939826965332,0.3854060173034668
19,no_identity,9,0.5840699076652527,0.4159300923347473
19,no_half,0,4.354146480560303,3.3541464805603027
19,no_half,1,4.178506851196289,3.178506851196289
19,no_half,2,3.9968178272247314,2.9968178272247314
19,no_half,3,3.7006492614746094,2.7006492614746094
19,no_half,4,3.946580410003662,2.946580410003662
19,no_half,5,3.3956899642944336,2.3956899642944336
19,no_half,6,3.3515560626983643,2.3515560626983643
19,no_half,7,3.7056682109832764,2.7056682109832764
19,no_half,8,3.1847195625305176,2.1847195625305176
19,no_half,9,3.57236385345459,2.57236385345459
19,none,0,0.19989268481731415,0.8001073151826859
19,none,1,0.11501475423574448,0.8849852457642555
19,none,2,0.1716720014810562,0.8283279985189438
19,none,3,0.1257137805223465,0.8742862194776535
19,none,4,0.16662801802158356,0.8333719819784164
19,none,5,0.14316320419311523,0.8568367958068848
19,none,6,0.16833652555942535,0.8316634744405746
19,none,7,0.14550583064556122,0.8544941693544388
19,none,8,0.16906476020812988,0.8309352397918701
19,none,9,0.10280217230319977,0.8971978276968002
23,all,0,1.0001367330551147,0.0001367330551147461
23,all,1,1.0000637769699097,6.377696990966797e-05
23,all,2,0.9999456405639648,5.435943603515625e-05
23,all,3,0.9998342990875244,0.00016570091247558594
23,all,4,0.9999027252197266,9.72747802734375e-05
23,all,5,0.9999892115592957,1.0788440704345703e-05
23,all,6,0.9999515414237976,4.845857620239258e-05
23,all,7,0.999990701675415,9.298324584960938e-06
23,all,8,0.9998090267181396,0.00019097328186035156
23,all,9,1.0000882148742676,8.821487426757812e-05
23,no_attn,0,1.0012136697769165,0.001213669776916504
23,no_attn,1,1.0640716552734375,0.0640716552734375
23,no_attn,2,1.039671778678894,0.03967177867889404
23,no_attn,3,0.9325761198997498,0.06742388010025024
23,no_attn,4,1.0061522722244263,0.0061522722244262695
23,no_attn,5,0.882818877696991,0.11718112230300903
23,no_attn,6,1.1392713785171509,0.13927137851715088
23,no_attn,7,1.0343735218048096,0.03437352180480957
23,no_attn,8,1.0679103136062622,0.06791031360626221
23,no_attn,9,1.0353736877441406,0.035373687744140625
23,no_ln,0,-0.0715663880109787,1.0715663880109787
23,no_ln,1,-0.08153901249170303,1.081539012491703
23,no_ln,2,-0.05479132756590843,1.0547913275659084
23,no_ln,3,-0.06332133710384369,1.0633213371038437
23,no_ln,4,-0.022063132375478745,1.0220631323754787
23,no_ln,5,0.01916959322988987,0.9808304067701101
23,no_ln,6,0.035250142216682434,0.9647498577833176
23,no_ln,7,-0.027623798698186874,1.0276237986981869
23,no_ln,8,0.011277306824922562,0.9887226931750774
23,no_ln,9,-0.014762933366000652,1.0147629333660007
23,no_identity,0,0.7802977561950684,0.21970224380493164
23,no_identity,1,0.706655740737915,0.29334425926208496
23,no_identity,2,0.7223131060600281,0.2776868939399719
